symbol,strategy,strategy_key,total_days,total_trades,winners,losers,win_rate,total_pnl,avg_pnl_per_trade,max_win,max_loss,profit_factor
NIFTY,Short Straddle,short_straddle,14,14,8,6,57.14285714285714,16683.75,1191.6964285714287,6258.749999999999,-6202.499999999999,1.700850661625709
NIFTY,Short Strangle,short_strangle,7,7,4,3,57.14285714285714,4102.5,586.0714285714286,2805.0000000000005,-2752.499999999999,1.7623693379790941
NIFTY,Iron Condor,iron_condor,1,1,0,1,0.0,-1552.5000000000002,-1552.5000000000002,-1552.5000000000002,-1552.5000000000002,0.0
NIFTY,Iron Butterfly,iron_butterfly,1,1,0,1,0.0,-491.24999999999875,-491.24999999999875,-491.24999999999875,-491.24999999999875,0.0
NIFTY,Bull Put Spread,bull_put_spread,2,2,2,0,100.0,2411.2500000000005,1205.6250000000002,1627.5000000000005,783.75,inf
NIFTY,Bear Call Spread,bear_call_spread,1,1,0,1,0.0,-948.7500000000001,-948.7500000000001,-948.7500000000001,-948.7500000000001,0.0
NIFTY,9:30 Straddle,930_straddle,14,14,9,5,64.28571428571429,23190.000000000007,1656.428571428572,5865.000000000001,-4027.499999999999,2.512350207874787
NIFTY,10:15 Straddle,1015_straddle,14,14,6,8,42.857142857142854,-3802.500000000001,-271.60714285714295,4653.750000000001,-8422.500000000004,0.8602920914852576
NIFTY,Wide Strangle (3 OTM),wide_strangle,1,1,1,0,100.0,1503.7500000000002,1503.7500000000002,1503.7500000000002,1503.7500000000002,inf
NIFTY,Narrow Iron Condor,narrow_iron_condor,1,1,1,0,100.0,2261.2499999999995,2261.2499999999995,2261.2499999999995,2261.2499999999995,inf
BANKNIFTY,Short Straddle,short_straddle,13,13,10,3,76.92307692307693,36403.5,2800.269230769231,10921.499999999998,-5385.0,4.676007270524083
BANKNIFTY,Short Strangle,short_strangle,11,11,8,3,72.72727272727273,13991.999999999996,1271.9999999999998,6526.5,-5035.499999999999,2.7727099961991635
BANKNIFTY,Iron Condor,iron_condor,2,2,2,0,100.0,4554.0,2277.0,2608.5000000000005,1945.4999999999998,inf
BANKNIFTY,Iron Butterfly,iron_butterfly,4,4,1,3,25.0,-192.00000000000023,-48.00000000000006,3769.500000000001,-2152.500000000001,0.951533510034078
BANKNIFTY,Bull Put Spread,bull_put_spread,3,3,1,2,33.33333333333333,-392.9999999999993,-130.99999999999977,642.0000000000002,-874.4999999999995,0.6202898550724643
BANKNIFTY,Bear Call Spread,bear_call_spread,2,2,1,1,50.0,984.0000000000011,492.00000000000057,2518.5000000000005,-1534.4999999999993,1.6412512218963842
BANKNIFTY,9:30 Straddle,930_straddle,13,13,12,1,92.3076923076923,41769.0,3213.0,9378.0,-5090.999999999998,9.204478491455513
BANKNIFTY,10:15 Straddle,1015_straddle,13,13,7,6,53.84615384615385,10560.000000000007,812.3076923076928,7128.000000000001,-3787.5,1.697651372510158
BANKNIFTY,Wide Strangle (3 OTM),wide_strangle,4,4,3,1,75.0,2799.000000000001,699.7500000000002,4590.0,-4880.999999999999,1.573448063921328
BANKNIFTY,Narrow Iron Condor,narrow_iron_condor,4,4,2,2,50.0,2690.999999999999,672.7499999999998,2829.0,-1254.0000000000005,2.096577017114914
FINNIFTY,Short Straddle,short_straddle,11,11,9,2,81.81818181818183,32681.999999999985,2971.0909090909076,9597.250000000002,-3822.000000000001,6.156923076923075
FINNIFTY,Short Strangle,short_strangle,9,9,7,2,77.77777777777779,12896.000000000002,1432.8888888888891,4914.0,-3168.750000000001,3.5833333333333335
FINNIFTY,Iron Condor,iron_condor,3,3,3,0,100.0,5408.000000000001,1802.666666666667,2262.000000000001,1130.9999999999998,inf
FINNIFTY,Iron Butterfly,iron_butterfly,2,2,0,2,0.0,-3217.499999999998,-1608.749999999999,-1579.499999999997,-1638.0000000000011,0.0
FINNIFTY,Bull Put Spread,bull_put_spread,6,6,3,3,50.0,4420.0,736.6666666666666,2600.0,-1465.7500000000002,2.7965653896961684
FINNIFTY,Bear Call Spread,bear_call_spread,3,3,2,1,66.66666666666666,1059.5,353.1666666666667,1079.0,-188.49999999999997,6.620689655172415
FINNIFTY,9:30 Straddle,930_straddle,11,11,10,1,90.9090909090909,42308.5,3846.2272727272725,7725.25,-2118.9999999999986,20.96625766871167
FINNIFTY,10:15 Straddle,1015_straddle,11,11,10,1,90.9090909090909,26175.499999999985,2379.5909090909076,7045.999999999998,-3292.2499999999986,8.950641658440276
FINNIFTY,Wide Strangle (3 OTM),wide_strangle,2,2,2,0,100.0,5265.0,2632.5,3587.999999999999,1677.0000000000007,inf
FINNIFTY,Narrow Iron Condor,narrow_iron_condor,2,2,0,2,0.0,-2625.999999999998,-1312.999999999999,-1189.4999999999998,-1436.4999999999986,0.0
MIDCAPNIFTY,Short Straddle,short_straddle,10,10,6,4,60.0,16545.0,1654.5,8485.0,-4734.999999999999,2.0582027502398463
MIDCAPNIFTY,Short Strangle,short_strangle,8,8,4,4,50.0,3470.0000000000014,433.75000000000017,4035.0,-2374.999999999999,1.4673400673400676
MIDCAPNIFTY,Iron Condor,iron_condor,1,1,0,1,0.0,-2254.9999999999995,-2254.9999999999995,-2254.9999999999995,-2254.9999999999995,0.0
MIDCAPNIFTY,Bull Put Spread,bull_put_spread,4,4,3,1,75.0,2489.999999999999,622.4999999999998,2614.9999999999995,-1315.0000000000005,2.8935361216730024
MIDCAPNIFTY,Bear Call Spread,bear_call_spread,1,1,0,1,0.0,-2305.0,-2305.0,-2305.0,-2305.0,0.0
MIDCAPNIFTY,9:30 Straddle,930_straddle,10,10,4,6,40.0,6625.000000000002,662.5000000000002,8145.000000000002,-3704.9999999999995,1.4338572364112638
MIDCAPNIFTY,10:15 Straddle,1015_straddle,10,10,8,2,80.0,24520.000000000004,2452.0000000000005,5750.0,-3824.9999999999973,4.37044673539519
SENSEX,Short Straddle,short_straddle,9,9,6,3,66.66666666666666,25354.0,2817.1111111111113,9158.999999999998,-3632.9999999999995,3.59934385892967
SENSEX,Short Strangle,short_strangle,9,9,7,2,77.77777777777779,17033.0,1892.5555555555557,6283.000000000002,-3280.0,4.0221788502484035
SENSEX,Iron Condor,iron_condor,6,6,3,3,50.0,574.0000000000007,95.66666666666679,1890.0000000000011,-1264.0,1.1540939597315436
SENSEX,Iron Butterfly,iron_butterfly,7,7,2,5,28.57142857142857,-753.9999999999982,-107.71428571428545,2432.000000000001,-1605.9999999999986,0.8495910632355878
SENSEX,Bull Put Spread,bull_put_spread,7,7,3,4,42.857142857142854,1618.0000000000005,231.1428571428572,2150.000000000002,-1058.0000000000007,1.6923406076166023
SENSEX,Bear Call Spread,bear_call_spread,6,6,2,4,33.33333333333333,-1601.0,-266.8333333333333,768.9999999999998,-1425.0,0.4003745318352059
SENSEX,9:30 Straddle,930_straddle,9,9,7,2,77.77777777777779,29253.0,3250.3333333333335,6971.999999999998,-3518.9999999999986,5.652934627008114
SENSEX,10:15 Straddle,1015_straddle,9,9,5,4,55.55555555555556,3959.9999999999964,439.9999999999996,5306.999999999998,-5521.000000000002,1.2842989446478565
SENSEX,Wide Strangle (3 OTM),wide_strangle,7,7,5,2,71.42857142857143,7340.0,1048.5714285714287,4326.000000000002,-2861.0,2.3460480469466347
SENSEX,Narrow Iron Condor,narrow_iron_condor,7,7,2,5,28.57142857142857,-1568.0,-224.0,1572.9999999999998,-1290.0,0.6470058532192705
