Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1054.9,1057.5,5352000,-12500,724,2026-06-30,1100.0,217500,1100.0,108500,0.3751,0.3421
2026-06-09,1075.0,1081.5,5358000,6000,519,2026-06-30,1100.0,242500,1100.0,100500,0.3257,0.3291
2026-06-10,1052.0,1058.1,5471500,113500,664,2026-06-30,1100.0,238000,1100.0,99500,0.3329,0.3171
2026-06-11,1064.1,1068.0,5458500,-13000,1122,2026-06-30,1100.0,225500,1100.0,95000,0.315,0.3087
2026-06-12,1096.8,1102.8,5635500,177000,2154,2026-06-30,1140.0,288000,1020.0,123500,0.4775,0.2823
2026-06-15,1130.8,1133.5,5792500,157000,2102,2026-06-30,1200.0,291000,1080.0,338000,0.7661,0.2728
2026-06-16,1133.6,1137.7,5801500,9000,1660,2026-06-30,1160.0,546000,1080.0,400000,0.6645,0.2659
2026-06-17,1136.9,1139.8,5735500,-66000,1451,2026-06-30,1160.0,552500,1080.0,403500,0.6416,0.259
2026-06-18,1141.3,1146.2,5972500,237000,2862,2026-06-30,1200.0,502000,1080.0,386500,0.6956,0.2515
2026-06-19,1145.1,1146.9,6072500,100000,1643,2026-06-30,1200.0,503500,1080.0,386000,0.7177,0.2425
2026-06-22,1139.2,1142.0,6124000,51500,861,2026-06-30,1200.0,525500,1080.0,362500,0.6552,0.2693
2026-06-23,1117.3,1115.7,5737000,-387000,1878,2026-06-30,1200.0,441000,1080.0,480000,0.717,0.2568
2026-06-24,1099.9,1100.0,3463500,-2273500,5541,2026-06-30,1140.0,427500,1060.0,472500,0.7107,0.2283
2026-06-25,1085.4,1083.4,1924000,-1539500,3670,2026-06-30,1140.0,382500,1060.0,489000,0.6876,0.2121
2026-06-29,1089.8,1090.2,816000,-1108000,2946,2026-06-30,1140.0,374500,1060.0,474500,0.6972,0.0
2026-07-01,1065.9,1076.0,7353500,1071500,3751,2026-07-28,1160.0,233000,1100.0,80500,0.4066,0.3331
2026-07-02,1070.3,1075.0,7359000,5500,1616,2026-07-28,1160.0,294500,1100.0,86000,0.3863,0.3239
2026-07-03,1109.5,1113.7,7510000,151000,3950,2026-07-28,1200.0,206000,1100.0,113500,0.4427,0.3205
2026-07-06,1133.3,1135.4,6951500,-558500,2027,2026-07-28,1200.0,243000,1100.0,126000,0.5069,0.321
