Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2970.1,2978.1,18765261,-38625,8224,2026-06-30,3000.0,1649442,2900.0,599769,0.7321,0.3678
2026-06-09,2979.8,2991.0,18692028,-73233,7066,2026-06-30,3000.0,1770570,2900.0,613983,0.7053,0.3462
2026-06-10,2931.1,2936.5,18620340,-71688,6835,2026-06-30,3000.0,1874085,2900.0,632832,0.7036,0.3543
2026-06-11,2908.8,2918.4,18556068,-64272,4146,2026-06-30,3000.0,1778295,2900.0,664041,0.7063,0.3333
2026-06-12,2921.6,2940.0,19081059,524991,8344,2026-06-30,3000.0,2102436,2900.0,682890,0.6676,0.3316
2026-06-15,2942.5,2957.4,19006281,-74778,4798,2026-06-30,3000.0,2104908,2900.0,694632,0.6616,0.3457
2026-06-16,2943.6,2952.4,18734052,-272229,9230,2026-06-30,3000.0,2186793,3000.0,731712,0.6452,0.3358
2026-06-17,2951.9,2965.3,18629301,-104751,4443,2026-06-30,3000.0,2150331,3000.0,711009,0.6591,0.3274
2026-06-18,3013.4,3028.3,18737451,108150,9737,2026-06-30,3000.0,1949481,3000.0,874779,0.7014,0.3291
2026-06-19,3038.4,3039.8,18716748,-20703,9359,2026-06-30,3000.0,1989651,3000.0,807417,0.6701,0.3251
2026-06-22,3059.6,3069.4,18184341,-532407,6997,2026-06-30,3000.0,1814139,3000.0,811434,0.6894,0.353
2026-06-23,2962.9,2963.8,17301219,-883122,9773,2026-06-30,3000.0,2051760,3000.0,667440,0.6204,0.3669
2026-06-24,3069.6,3072.6,13984413,-3316806,17913,2026-06-30,3000.0,1259793,2900.0,852840,0.8115,0.3286
2026-06-25,3038.0,3040.0,9888000,-4096413,19773,2026-06-30,3100.0,993744,3000.0,957900,0.8663,0.2233
2026-06-29,2962.5,2973.9,5143305,-4744695,19032,2026-06-30,3100.0,808035,2900.0,507996,0.7529,0.0
2026-07-01,3143.6,3154.6,17785731,180765,16691,2026-07-28,3100.0,1028970,3000.0,716571,0.8259,0.3167
2026-07-02,3177.5,3185.9,17278971,-506760,16967,2026-07-28,3100.0,912168,3000.0,619854,0.7565,0.3202
2026-07-03,3212.1,3219.7,17849694,570723,19817,2026-07-28,3200.0,1375977,3000.0,707610,0.7044,0.3299
2026-07-06,3206.6,3213.4,17683143,-166551,7483,2026-07-28,3200.0,1426344,3000.0,734493,0.7004,0.3428
2026-07-07,3107.2,3117.0,17838570,155427,10118,2026-07-28,3200.0,2041872,3000.0,678873,0.6038,0.3473
2026-07-13,3177.5,3182.7,17114892,-437544,5565,2026-07-28,3200.0,1670454,3100.0,619854,0.6747,0.3519
