Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,225.85,226.68,96109150,1143100,6405,2026-06-30,250.0,8672650,230.0,3826900,0.5772,0.4944
2026-06-09,226.14,227.75,98697100,2587950,3999,2026-06-30,250.0,8633600,220.0,4178350,0.5988,0.4732
2026-06-10,220.58,221.43,98437950,-259150,3530,2026-06-30,250.0,9077350,230.0,4082500,0.5807,0.4417
2026-06-11,215.52,216.48,100315900,1877950,4057,2026-06-30,250.0,9350700,220.0,5339200,0.5376,0.4504
2026-06-12,223.06,224.21,102506250,2190350,6040,2026-06-30,250.0,9428800,220.0,5676450,0.5634,0.4071
2026-06-15,220.52,221.34,105271700,2765450,4092,2026-06-30,250.0,9986150,220.0,5942700,0.5275,0.4547
2026-06-16,222.6,223.68,113362150,8090450,6187,2026-06-30,250.0,10195600,220.0,5949800,0.5133,0.4867
2026-06-17,220.4,221.48,116592650,3230500,3636,2026-06-30,250.0,11178950,220.0,6006600,0.488,0.4489
2026-06-18,230.58,231.77,120756800,4164150,12196,2026-06-30,250.0,10113950,220.0,6670450,0.6014,0.4623
2026-06-19,231.75,231.91,118541600,-2215200,9633,2026-06-30,250.0,10124600,220.0,6240900,0.5443,0.4326
2026-06-22,233.77,234.17,119301300,759700,4817,2026-06-30,250.0,9886750,220.0,6127300,0.5365,0.4644
2026-06-23,231.94,231.57,106411250,-12890050,8837,2026-06-30,250.0,10291450,220.0,6333200,0.49,0.4119
2026-06-24,229.76,230.4,87337100,-19074150,7977,2026-06-30,250.0,10337600,220.0,5896550,0.4897,0.3985
2026-06-25,229.27,229.37,64180450,-23156650,9321,2026-06-30,250.0,9272600,220.0,5495400,0.519,0.3935
2026-06-29,227.05,226.72,29965550,-34214900,11602,2026-06-30,250.0,6798250,220.0,4341650,0.5503,0.0
2026-07-01,226.86,228.35,128879200,7660900,8085,2026-07-28,230.0,9230000,230.0,4228050,0.6288,0.4646
2026-07-02,224.55,225.83,128946650,67450,4192,2026-07-28,230.0,9812200,230.0,4455250,0.6429,0.4766
2026-07-03,221.79,222.6,129152550,205900,4438,2026-07-28,230.0,10735200,230.0,4565300,0.6281,0.4597
