Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,5356.5,5375.5,1350250,27750,1809,2026-06-30,5700.0,96750,4800.0,51750,0.5924,0.2584
2026-06-09,5355.5,5371.5,1344875,-5375,1247,2026-06-30,5700.0,101750,4800.0,50375,0.5828,0.2374
2026-06-10,5299.5,5310.5,1358750,13875,1100,2026-06-30,5800.0,103125,4800.0,51500,0.5705,0.2442
2026-06-11,5301.5,5318.0,1360375,1625,823,2026-06-30,5800.0,107250,4800.0,51500,0.5538,0.2375
2026-06-12,5298.0,5323.5,1364750,4375,805,2026-06-30,5700.0,111375,4800.0,51000,0.5441,0.2311
2026-06-15,5334.0,5358.5,1354125,-10625,526,2026-06-30,5700.0,111000,5100.0,47125,0.5474,0.253
2026-06-16,5348.0,5359.5,1345500,-8625,432,2026-06-30,5700.0,101875,5100.0,44875,0.5206,0.2372
2026-06-17,5347.5,5370.5,1313875,-31625,774,2026-06-30,5700.0,94375,5100.0,37125,0.5185,0.2359
2026-06-18,5372.0,5395.5,1301250,-12625,583,2026-06-30,5700.0,104000,5500.0,36875,0.5461,0.2305
2026-06-19,5373.5,5394.0,1327750,26500,1235,2026-06-30,5700.0,101625,5800.0,36125,0.5104,0.222
2026-06-22,5367.0,5386.5,1319500,-8250,1096,2026-06-30,5700.0,97125,5800.0,36125,0.5018,0.2283
2026-06-23,5415.5,5417.0,1319375,-125,1635,2026-06-30,5500.0,144625,5800.0,35875,0.5045,0.2366
2026-06-24,5428.5,5428.5,1152125,-167250,2479,2026-06-30,5500.0,144375,5500.0,37125,0.5104,0.2407
2026-06-25,5425.0,5430.5,544250,-607875,5692,2026-06-30,5500.0,135750,5500.0,36250,0.5191,0.1913
2026-06-29,5416.5,5420.5,417125,-127125,3237,2026-06-30,5700.0,85250,5800.0,35750,0.6291,0.0
2026-07-01,5567.5,5589.0,1207750,-10625,856,2026-07-28,5500.0,29750,5500.0,22250,0.7211,0.2352
2026-07-02,5500.5,5534.0,1188000,-19750,1331,2026-07-28,5500.0,30750,5500.0,19375,0.6039,0.2313
2026-07-03,5562.5,5594.0,1323250,135250,4234,2026-07-28,5600.0,43625,5500.0,23875,0.5345,0.2361
2026-07-06,5598.5,5629.0,1322125,-1125,1009,2026-07-28,6000.0,41875,5500.0,24375,0.5365,0.2354
2026-07-07,5667.5,5685.5,1331625,9500,1707,2026-07-28,6000.0,40000,5500.0,25750,0.5509,0.2325
2026-07-13,5571.0,5590.5,1423500,82375,1709,2026-07-28,6000.0,101125,5500.0,27000,0.4025,0.2631
2026-07-15,5659.0,5681.0,1559750,9250,835,2026-07-28,6000.0,64125,5500.0,29750,0.4468,0.2587
2026-07-16,5709.0,5728.0,1564250,4500,742,2026-07-28,6000.0,123625,5500.0,30125,0.3786,0.269
2026-07-21,5681.5,5688.5,1558750,-3000,471,2026-07-28,6000.0,85625,5500.0,28875,0.4038,0.2518
2026-07-23,5602.0,5608.0,1162750,-337625,3580,2026-07-28,6000.0,66250,5500.0,30000,0.4427,0.2187
2026-07-27,5613.0,5606.5,241625,-577625,5223,2026-07-28,6000.0,58375,5500.0,18000,0.4584,0.0
2026-07-29,5672.5,5696.0,1368000,7875,614,2026-08-25,5700.0,19250,5600.0,7375,0.3468,0.2969
2026-07-31,5751.5,5764.5,1389500,7625,1049,2026-08-25,6000.0,139875,5600.0,61000,0.5372,0.4173
2026-08-03,5706.97,5692.0,1411250,21750,1053,2026-08-25,6000.0,163625,5600.0,63750,0.5077,0.3008
2026-08-04,5606.21,5680.0,1397875,-13375,564,2026-08-25,6000.0,147875,5600.0,64625,0.5064,0.3152
2026-08-06,5597.5,5616.5,1410500,11500,764,2026-08-25,6000.0,112625,5600.0,67750,0.6011,0.3187
2026-08-07,5620.0,5661.5,1421000,10500,1378,2026-08-25,6000.0,107125,5600.0,70375,0.6137,0.3197
2026-08-11,5527.43,5530.0,1446000,21000,1185,2026-08-25,6000.0,102125,5500.0,80875,0.593,0.3623
2026-08-12,5479.99,5457.0,1465250,19250,1395,2026-08-25,6000.0,87500,5500.0,67125,0.6253,0.3622
2026-08-13,5449.44,5445.5,1468375,3125,944,2026-08-25,6000.0,93250,5500.0,63500,0.5356,0.3718
2026-08-14,5369.19,5344.0,1444000,-24375,7475,2026-08-25,5900.0,234000,5000.0,94875,0.4121,0.3012
