Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,415.25,413.85,72289350,-100800,5029,2026-06-30,450.0,2600850,510.0,1963500,0.5862,0.323
2026-06-09,416.0,416.85,72100350,-189000,2311,2026-06-30,450.0,2857050,510.0,1963500,0.5579,0.3036
2026-06-10,409.8,408.95,72425850,325500,2761,2026-06-30,450.0,3025050,510.0,1963500,0.5398,0.3052
2026-06-11,406.05,405.3,72341850,-84000,1939,2026-06-30,450.0,3393600,510.0,1963500,0.5239,0.2923
2026-06-12,423.1,425.0,72244200,-97650,6670,2026-06-30,450.0,2691150,510.0,1958250,0.5666,0.2736
2026-06-15,428.85,430.85,72579150,334950,7307,2026-06-30,450.0,2682750,510.0,1958250,0.5826,0.2723
2026-06-16,426.05,427.45,72852150,273000,2907,2026-06-30,450.0,3342150,510.0,1958250,0.5491,0.2676
2026-06-17,426.45,428.15,72774450,-77700,3543,2026-06-30,450.0,3720150,510.0,1951950,0.5313,0.2747
2026-06-18,430.0,432.8,72682050,-92400,5434,2026-06-30,450.0,3844050,510.0,1894200,0.5208,0.2804
2026-06-19,423.95,425.1,72980250,298200,3473,2026-06-30,450.0,4453050,510.0,1894200,0.4867,0.2812
2026-06-22,428.0,428.25,70063350,-2916900,6524,2026-06-30,450.0,4541250,510.0,1822800,0.4749,0.3083
2026-06-23,414.85,414.95,59994900,-10068450,12965,2026-06-30,450.0,4842600,510.0,1778700,0.4567,0.2935
2026-06-24,426.85,428.05,46554900,-13440000,20475,2026-06-30,450.0,3764250,510.0,1341900,0.4715,0.2819
2026-06-25,423.75,423.75,34606950,-11947950,15319,2026-06-30,450.0,2879100,510.0,1307250,0.4795,0.1906
2026-06-29,424.25,424.2,13183800,-21423150,24445,2026-06-30,450.0,2395050,510.0,1054200,0.4589,0.0
2026-07-01,418.85,421.55,83756400,1177200,4190,2026-07-28,450.0,1515600,510.0,1119600,0.6739,0.28
2026-07-02,428.95,431.55,85375200,1618800,5560,2026-07-28,430.0,1676400,510.0,1119600,0.6548,0.2843
2026-07-03,443.4,445.15,85352400,-22800,10880,2026-07-28,450.0,2432400,510.0,1102800,0.6451,0.2906
2026-07-06,441.4,443.25,84928800,-423600,2872,2026-07-28,450.0,2491200,510.0,1104000,0.6124,0.2992
2026-07-07,435.9,437.8,84532800,-396000,1992,2026-07-28,450.0,2437200,510.0,1104000,0.6021,0.2911
2026-07-13,432.15,433.85,83064000,-337200,1369,2026-07-28,450.0,1970400,510.0,1070400,0.6241,0.3084
2026-07-15,435.25,435.6,81627600,-800400,3721,2026-07-28,440.0,2295600,510.0,1048800,0.5585,0.2891
2026-07-16,433.6,434.45,81297600,-330000,2292,2026-07-28,440.0,2108400,510.0,1048800,0.4996,0.2803
2026-07-21,440.85,441.05,74595600,-3189600,7572,2026-07-28,440.0,1854000,430.0,1183200,0.5119,0.3222
2026-07-23,423.55,423.3,54024000,-17676000,16443,2026-07-28,440.0,1897200,510.0,918000,0.4847,0.2726
2026-07-27,430.7,431.6,11922000,-24247200,22301,2026-07-28,440.0,1611600,420.0,610800,0.4369,0.0
2026-07-29,435.3,438.1,79498800,-530400,11741,2026-08-25,430.0,2406000,500.0,1962000,0.7403,0.2356
