Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,325.7,326.7,20342500,807500,2440,2026-06-30,380.0,4052500,320.0,2920000,0.6251,0.4396
2026-06-09,337.55,339.3,21122500,780000,2586,2026-06-30,380.0,3775000,320.0,2905000,0.6491,0.4265
2026-06-10,329.85,330.4,20807500,-315000,1862,2026-06-30,380.0,4027500,320.0,2937500,0.6396,0.4336
2026-06-11,323.75,325.1,21617500,810000,2128,2026-06-30,380.0,3910000,320.0,3005000,0.6035,0.4332
2026-06-12,339.5,341.35,22437500,820000,4279,2026-06-30,380.0,3277500,320.0,3035000,0.6807,0.4066
2026-06-15,352.3,353.35,23220000,782500,4221,2026-06-30,360.0,3480000,320.0,3062500,0.7222,0.4236
2026-06-16,348.25,349.0,23140000,-80000,2354,2026-06-30,360.0,3640000,320.0,3080000,0.6551,0.4055
2026-06-17,348.7,349.95,23837500,697500,3034,2026-06-30,350.0,4142500,340.0,2057500,0.6842,0.4031
2026-06-18,352.8,354.35,24732500,895000,3760,2026-06-30,350.0,4247500,340.0,2015000,0.6478,0.3882
2026-06-19,353.7,353.7,25222500,490000,3680,2026-06-30,360.0,6340000,340.0,2745000,0.5939,0.386
2026-06-22,354.75,355.85,24675000,-547500,1707,2026-06-30,360.0,6052500,340.0,2712500,0.5516,0.3956
2026-06-23,342.1,342.45,22570000,-2105000,3299,2026-06-30,360.0,5920000,340.0,2347500,0.4737,0.3743
2026-06-24,340.65,341.2,17270000,-5300000,3589,2026-06-30,360.0,5417500,340.0,2212500,0.4904,0.3439
2026-06-25,335.25,336.1,11457500,-5812500,4005,2026-06-30,360.0,4822500,340.0,2005000,0.473,0.2606
