Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,8358.5,8400.5,1711750,-11375,2669,2026-06-30,8500.0,171000,8000.0,94500,0.7205,0.2117
2026-06-09,8524.0,8564.5,1935000,223250,4867,2026-06-30,8500.0,180375,8300.0,135000,0.8684,0.2015
2026-06-10,8488.5,8520.0,1971500,36500,3364,2026-06-30,9100.0,160500,8300.0,136125,0.8935,0.1983
2026-06-11,8493.0,8527.5,2001500,30000,1575,2026-06-30,9100.0,171500,8000.0,125500,0.8998,0.1954
2026-06-12,8498.0,8545.0,2038125,36625,1624,2026-06-30,9100.0,174750,8300.0,139125,0.9007,0.189
2026-06-15,8468.5,8510.0,2090500,52375,2309,2026-06-30,9100.0,167250,8400.0,241250,0.9985,0.2134
2026-06-16,8390.5,8430.0,2070625,-19875,1735,2026-06-30,8500.0,179375,8000.0,133750,0.8799,0.194
2026-06-17,8427.5,8460.5,2076625,6000,902,2026-06-30,8500.0,199250,8400.0,129125,0.8913,0.196
2026-06-18,8411.5,8446.0,2076250,-375,1744,2026-06-30,8500.0,230500,8400.0,145250,0.8487,0.1879
2026-06-19,8489.5,8505.0,2089000,12750,1870,2026-06-30,8500.0,234625,8400.0,149000,0.8611,0.1786
2026-06-22,8469.0,8493.5,2073000,-16000,1056,2026-06-30,8500.0,301625,8400.0,161000,0.861,0.1867
2026-06-23,8487.5,8506.0,2019000,-54000,1527,2026-06-30,8500.0,250375,8400.0,176875,0.8423,0.1701
2026-06-24,8573.5,8570.5,1447750,-571250,5992,2026-06-30,8500.0,150875,8400.0,213250,1.0487,0.1719
2026-06-25,8592.0,8597.5,763375,-684375,6817,2026-06-30,9100.0,143375,8400.0,187125,1.1488,0.1575
2026-06-29,8655.0,8654.0,370625,-392750,4103,2026-06-30,9100.0,139875,8400.0,141125,1.1494,0.0
2026-07-01,8618.5,8672.5,2291500,-750,1111,2026-07-28,8700.0,98375,8000.0,119750,0.7498,0.1844
2026-07-02,8696.0,8766.0,2299375,7875,1211,2026-07-28,9200.0,99500,8000.0,115875,0.9685,0.1825
2026-07-03,8893.5,8924.0,2330750,31375,2778,2026-07-28,9400.0,121875,8000.0,113625,1.0878,0.185
2026-07-06,8888.5,8912.0,2350250,19500,1295,2026-07-28,9400.0,123625,8000.0,112375,1.0075,0.1911
2026-07-07,8837.0,8862.5,2335500,-14750,840,2026-07-28,9400.0,122500,8000.0,111875,0.9986,0.188
2026-07-13,8782.5,8821.0,2362625,14000,1414,2026-07-28,8900.0,151125,8000.0,111375,0.8245,0.2084
2026-07-15,8934.0,8940.5,2153875,-36000,2907,2026-07-28,9000.0,318000,8800.0,114500,0.8987,0.2002
2026-07-16,8888.0,8916.0,2114000,-39875,1023,2026-07-28,9000.0,302750,8800.0,110500,0.892,0.1987
2026-07-21,8925.5,8950.5,1994875,13375,1004,2026-07-28,9000.0,229000,8700.0,125875,0.92,0.2046
2026-07-23,8863.0,8867.0,1127375,-770125,6970,2026-07-28,9000.0,209250,8000.0,108875,0.9591,0.1778
2026-07-27,8843.0,8849.5,176000,-360875,3589,2026-07-28,9000.0,135750,8000.0,107375,0.881,0.0
2026-07-29,8935.0,8963.5,1920750,-7875,774,2026-08-25,9000.0,54875,8200.0,58875,0.7131,0.2121
2026-07-31,8957.0,8992.5,1909750,2125,961,2026-08-25,9700.0,143250,8300.0,94875,0.6702,0.2226
2026-08-03,8820.0,8820.5,1926375,16625,1957,2026-08-25,9000.0,176375,8300.0,94625,0.6001,0.2527
2026-08-04,9048.96,8886.0,1940000,13625,1279,2026-08-25,9000.0,168875,8300.0,94750,0.6509,0.2493
