Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,141.02,141.64,194325000,1540000,4614,2026-06-30,160.0,24870000,160.0,10190000,0.4851,0.383
2026-06-09,143.8,144.79,198450000,4125000,4598,2026-06-30,160.0,25325000,160.0,10755000,0.4749,0.3643
2026-06-10,141.54,142.03,199960000,1510000,4007,2026-06-30,160.0,25945000,160.0,10765000,0.4758,0.3644
2026-06-11,138.58,139.33,199005000,-955000,4099,2026-06-30,160.0,25640000,160.0,10750000,0.4641,0.3604
2026-06-12,152.46,152.98,183105000,-15900000,18835,2026-06-30,160.0,22455000,140.0,10915000,0.647,0.3546
2026-06-15,157.7,158.06,172735000,-10370000,14183,2026-06-30,160.0,20280000,145.0,12200000,0.7279,0.3503
2026-06-16,158.5,158.79,173365000,630000,5345,2026-06-30,160.0,20870000,160.0,12035000,0.7436,0.3361
2026-06-17,159.57,159.77,169235000,-4130000,3871,2026-06-30,170.0,20040000,160.0,12210000,0.727,0.3357
2026-06-18,158.45,158.92,169405000,170000,2766,2026-06-30,160.0,20920000,150.0,11825000,0.7044,0.3197
2026-06-19,156.66,157.28,169935000,530000,3064,2026-06-30,160.0,21105000,160.0,11185000,0.7013,0.3221
2026-06-22,157.19,157.52,168610000,-1325000,3257,2026-06-30,160.0,20650000,160.0,10850000,0.6881,0.3481
2026-06-23,151.46,151.29,164475000,-4135000,7849,2026-06-30,160.0,21980000,160.0,9685000,0.6221,0.3601
2026-06-24,154.91,155.15,128330000,-36145000,10984,2026-06-30,160.0,21225000,160.0,9165000,0.6171,0.2869
2026-06-25,160.68,161.06,89895000,-38435000,15912,2026-06-30,165.0,12570000,160.0,9090000,0.6694,0.2762
2026-06-29,157.36,157.87,53860000,-36035000,10253,2026-06-30,165.0,10905000,160.0,6640000,0.6872,0.0
2026-07-01,162.32,163.2,168185000,2145000,14291,2026-07-28,165.0,17850000,160.0,9915000,0.6171,0.3558
2026-07-02,164.73,165.21,168010000,-175000,6718,2026-07-28,165.0,10925000,160.0,10425000,0.7163,0.33
2026-07-03,164.35,164.92,164870000,-3140000,5311,2026-07-28,170.0,11350000,160.0,10315000,0.746,0.3287
2026-07-06,166.12,166.46,162210000,-2660000,3374,2026-07-28,170.0,11035000,160.0,10475000,0.7762,0.326
2026-07-07,164.16,164.32,161020000,-1190000,2519,2026-07-28,170.0,13100000,160.0,10235000,0.721,0.3187
2026-07-13,159.22,159.46,144590000,115000,4002,2026-07-28,170.0,15100000,160.0,10155000,0.6956,0.3752
