Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2659.2,2640.1,10158500,-175250,4035,2026-06-30,2700.0,910500,2300.0,323250,0.5225,0.2398
2026-06-09,2708.1,2701.1,10146250,-12250,4773,2026-06-30,2700.0,941000,2300.0,316500,0.5181,0.2142
2026-06-10,2715.1,2692.4,10069000,-77250,2885,2026-06-30,2700.0,954750,2300.0,318250,0.5191,0.2222
2026-06-11,2690.9,2674.6,10127000,58000,2512,2026-06-30,2700.0,921250,2300.0,306500,0.5076,0.2221
2026-06-12,2747.4,2728.5,9995000,-132000,4430,2026-06-30,2800.0,913500,2700.0,292750,0.5148,0.2033
2026-06-15,2739.3,2720.5,9993250,-1750,9416,2026-06-30,2800.0,1312250,2300.0,281500,0.3765,0.2233
2026-06-16,2748.1,2727.0,9890000,-103250,3140,2026-06-30,2800.0,1257500,2300.0,280750,0.3689,0.2049
2026-06-17,2738.0,2723.8,9813000,-77000,2601,2026-06-30,2800.0,1299000,2300.0,274750,0.3593,0.2114
2026-06-18,2755.0,2734.0,9659000,-154000,2512,2026-06-30,2800.0,1250500,2300.0,273500,0.3704,0.2139
2026-06-19,2732.9,2718.6,9605500,-53500,4090,2026-06-30,2800.0,1228750,2300.0,270750,0.3758,0.2021
2026-06-22,2674.0,2656.0,9697250,91750,4004,2026-06-30,2800.0,1156750,2300.0,270750,0.3648,0.2454
2026-06-23,2661.2,2658.6,9620000,-77250,3399,2026-06-30,2800.0,1057750,2300.0,270250,0.3785,0.2151
2026-06-24,2667.5,2665.1,6815750,-2804250,14044,2026-06-30,2800.0,1020250,2300.0,270250,0.3821,0.1923
2026-06-25,2645.2,2648.2,3975000,-2840750,15508,2026-06-30,2700.0,947500,2300.0,268250,0.3971,0.1763
2026-06-29,2656.9,2666.1,1551000,-2424000,12498,2026-06-30,2700.0,961750,2300.0,268250,0.4164,0.0
2026-07-01,2716.3,2725.4,8611000,-136250,4653,2026-07-28,3000.0,336000,2400.0,313250,0.7387,0.2389
2026-07-02,2744.4,2750.2,8601500,-9500,4373,2026-07-28,3000.0,458000,2400.0,304750,0.7942,0.2314
2026-07-03,2737.9,2744.0,8634000,32500,1880,2026-07-28,3000.0,593500,2400.0,298000,0.7571,0.2264
2026-07-06,2755.0,2760.2,8583250,-50750,1813,2026-07-28,3000.0,586000,2400.0,279000,0.7791,0.216
2026-07-07,2731.5,2739.6,8513000,-70250,2003,2026-07-28,3000.0,591250,2400.0,279250,0.7787,0.2056
