Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1511.2,1517.8,5908775,-103700,1860,2026-06-30,1600.0,250750,1500.0,268175,0.6165,0.2954
2026-06-09,1526.0,1534.2,5882850,-25925,1193,2026-06-30,1600.0,266475,1500.0,269875,0.6126,0.2878
2026-06-10,1501.4,1506.3,5856500,-26350,1066,2026-06-30,1600.0,221000,1500.0,273700,0.6228,0.2986
2026-06-11,1490.2,1494.5,5885400,28900,916,2026-06-30,1600.0,243950,1500.0,286450,0.6532,0.2806
2026-06-12,1508.6,1516.7,5782550,-102850,1990,2026-06-30,1600.0,252025,1500.0,284325,0.6434,0.2705
2026-06-15,1544.8,1552.0,5632950,-149600,1360,2026-06-30,1600.0,315775,1500.0,250750,0.5864,0.2817
2026-06-16,1563.9,1565.4,5568775,-64175,1700,2026-06-30,1600.0,356575,1500.0,294525,0.5436,0.2622
2026-06-17,1565.2,1571.3,5534350,-34425,1530,2026-06-30,1600.0,351900,1500.0,285600,0.4882,0.2776
2026-06-18,1565.7,1569.4,5483350,-51000,880,2026-06-30,1600.0,401200,1500.0,277100,0.4944,0.2653
2026-06-19,1542.1,1543.3,5403450,-79900,1444,2026-06-30,1600.0,496825,1500.0,208250,0.4726,0.2696
2026-06-22,1557.8,1559.5,5409825,6375,932,2026-06-30,1600.0,442425,1500.0,216750,0.4917,0.2943
2026-06-23,1523.4,1523.7,5357975,-51850,943,2026-06-30,1600.0,623050,1500.0,187850,0.4582,0.2906
2026-06-24,1536.7,1542.4,4340100,-1017875,4457,2026-06-30,1600.0,672775,1500.0,177225,0.4477,0.2805
2026-06-25,1486.9,1486.4,2840275,-1499825,6462,2026-06-30,1600.0,750975,1500.0,121550,0.3759,0.2387
2026-06-29,1368.0,1366.4,1497700,-1342575,8003,2026-06-30,1600.0,806225,1320.0,210800,0.4589,0.0
2026-07-01,1362.1,1353.3,6367775,24225,3278,2026-07-28,1400.0,613275,1400.0,230350,0.5957,0.3169
2026-07-02,1363.2,1349.9,6449375,81600,1758,2026-07-28,1400.0,659600,1400.0,235875,0.5643,0.3021
2026-07-03,1385.0,1366.9,6730300,280925,3012,2026-07-28,1400.0,613700,1400.0,254150,0.6359,0.3144
2026-07-06,1389.0,1364.9,7081350,351050,3477,2026-07-28,1400.0,772225,1400.0,298350,0.5961,0.3081
