Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,958.9,959.1,27475000,17000,3066,2026-06-30,1000.0,756000,980.0,469000,0.7157,0.3008
2026-06-09,978.5,982.7,26676000,-799000,3114,2026-06-30,1000.0,710000,980.0,480000,0.7363,0.2812
2026-06-10,959.2,961.05,26131000,-545000,3301,2026-06-30,1000.0,906000,980.0,470000,0.6614,0.2851
2026-06-11,963.3,966.4,26169000,38000,2609,2026-06-30,1000.0,878000,980.0,452000,0.6635,0.2791
2026-06-12,1015.5,1018.4,25860000,-309000,5869,2026-06-30,1100.0,761000,1000.0,553000,0.7588,0.2774
2026-06-15,1033.6,1036.5,25831000,-29000,4285,2026-06-30,1050.0,573000,1000.0,610000,0.8577,0.2681
2026-06-16,1023.1,1025.4,25430000,-401000,1980,2026-06-30,1050.0,611000,1000.0,542000,0.7529,0.2594
2026-06-17,1020.85,1024.35,25610000,180000,1429,2026-06-30,1050.0,671000,1000.0,572000,0.7363,0.2559
2026-06-18,1025.35,1026.8,25238000,-372000,1599,2026-06-30,1050.0,697000,1000.0,578000,0.685,0.2503
2026-06-19,1033.0,1035.55,25037000,-201000,2384,2026-06-30,1050.0,820000,1000.0,521000,0.6077,0.2496
2026-06-22,1045.1,1044.95,24315000,-722000,2325,2026-06-30,1050.0,721000,1020.0,495000,0.6476,0.2565
2026-06-23,1026.35,1028.9,23489000,-826000,2031,2026-06-30,1050.0,800000,1020.0,536000,0.6585,0.2409
2026-06-24,1067.2,1067.15,18955000,-4534000,7425,2026-06-30,1100.0,650000,1020.0,656000,0.9004,0.2397
2026-06-25,1033.85,1035.75,12871000,-6084000,8065,2026-06-30,1080.0,875000,1020.0,412000,0.6962,0.2051
2026-06-29,1030.45,1035.45,5870000,-7001000,9285,2026-06-30,1080.0,640000,1000.0,324000,0.6986,0.0
2026-07-01,1051.4,1053.9,22626000,33000,2177,2026-07-28,1100.0,669000,1030.0,293000,0.6292,0.3095
2026-07-02,1057.0,1062.5,22493000,-133000,2219,2026-07-28,1100.0,590000,1030.0,375000,0.7244,0.3041
2026-07-03,1058.4,1061.3,22514000,21000,2505,2026-07-28,1100.0,639000,1000.0,371000,0.7038,0.2977
2026-07-06,1061.4,1065.8,22734000,220000,5193,2026-07-28,1100.0,1024000,1030.0,401000,0.6449,0.3011
2026-07-07,1066.9,1070.8,22448000,-286000,2245,2026-07-28,1100.0,896000,1060.0,395000,0.7389,0.292
2026-07-13,1060.5,1063.5,22217000,154000,2028,2026-07-28,1100.0,815000,1050.0,488000,0.7394,0.3352
2026-07-15,1040.6,1043.6,21785000,-374000,1757,2026-07-28,1100.0,904000,1050.0,547000,0.6789,0.3559
