Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1893.2,1896.1,6487500,-146000,1575,2026-06-30,2000.0,385000,1900.0,236000,0.7554,0.3195
2026-06-09,1925.4,1938.3,6568500,81000,2251,2026-06-30,2000.0,361500,1900.0,231000,0.6543,0.3112
2026-06-10,1949.2,1951.3,6996500,428000,6424,2026-06-30,2000.0,436500,1900.0,267000,0.6739,0.3233
2026-06-11,1942.8,1946.3,6953500,-43000,2338,2026-06-30,2000.0,419000,1900.0,278500,0.6685,0.3102
2026-06-12,1945.1,1954.2,6849500,-104000,2660,2026-06-30,2000.0,482500,1900.0,301500,0.6739,0.2959
2026-06-15,2020.5,2028.9,6938000,88500,4293,2026-06-30,2000.0,405500,1900.0,254000,0.7437,0.3125
2026-06-16,2012.3,2015.6,7082500,144500,1925,2026-06-30,2000.0,392000,1900.0,250000,0.6941,0.3056
2026-06-17,2034.5,2042.5,7176500,94000,2066,2026-06-30,2000.0,336000,2000.0,267000,0.7529,0.3016
2026-06-18,2019.9,2021.8,7311500,135000,2003,2026-06-30,2000.0,329500,2000.0,250000,0.6872,0.2903
2026-06-19,2041.4,2035.0,7675500,364000,3481,2026-06-30,2060.0,429000,2000.0,262000,0.6059,0.2945
2026-06-22,2103.8,2097.6,7754000,78500,4207,2026-06-30,2100.0,331500,2000.0,333000,0.8771,0.3138
2026-06-23,2152.3,2138.3,8007000,253000,4916,2026-06-30,2200.0,304000,2040.0,307000,0.9988,0.3128
2026-06-24,2122.8,2118.7,5794500,-2212500,6778,2026-06-30,2200.0,256500,2080.0,326500,1.0771,0.2726
2026-06-25,2145.3,2147.3,3354000,-2440500,6472,2026-06-30,2200.0,210500,2040.0,234000,1.0299,0.2175
2026-06-29,2170.9,2093.7,1581000,-1773000,10655,2026-06-30,2200.0,200500,1900.0,229000,0.8938,0.0
2026-07-01,2108.8,2111.1,9153000,-176500,2797,2026-07-28,2200.0,264000,2100.0,233000,0.7677,0.2925
2026-07-02,2148.9,2151.5,9088500,-64500,1787,2026-07-28,2200.0,251000,2100.0,247000,0.8545,0.2885
2026-07-03,2136.7,2145.0,8961000,-127500,1596,2026-07-28,2200.0,273500,2100.0,307000,0.859,0.2884
2026-07-06,2138.7,2146.9,8834000,-127000,1855,2026-07-28,2200.0,328000,2100.0,327500,0.753,0.2905
2026-07-07,2111.6,2118.8,8690500,-143500,1662,2026-07-28,2200.0,321000,2100.0,326500,0.7166,0.2838
2026-07-13,2145.6,2153.9,8262500,-101500,1192,2026-07-28,2200.0,298000,2100.0,215000,0.669,0.3116
2026-07-15,2100.4,2107.6,8144000,-20500,1530,2026-07-28,2200.0,343000,2000.0,227500,0.5908,0.3246
2026-07-16,2104.7,2113.5,8250500,106500,1689,2026-07-28,2200.0,336000,2100.0,237000,0.6223,0.3194
2026-07-21,2201.8,2211.1,7842500,-69500,1623,2026-07-28,2200.0,316500,2200.0,181000,0.749,0.2985
2026-07-23,2175.4,2181.6,4973500,-2675000,6447,2026-07-28,2200.0,311000,2120.0,160000,0.6739,0.2692
2026-07-27,2181.3,2182.0,624500,-2114000,5288,2026-07-28,2200.0,164500,2120.0,149000,0.7949,0.0
2026-07-29,2171.5,2177.9,7526000,117500,1219,2026-08-25,2200.0,267000,2000.0,200500,0.8872,0.3118
2026-07-31,2199.8,2211.5,7622500,99000,2631,2026-08-25,2300.0,402500,2100.0,370500,0.8711,0.316
2026-08-03,2210.96,2207.1,7608500,-14000,1469,2026-08-25,2300.0,451000,2000.0,375500,0.7968,0.3306
