Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,409.25,409.7,40287500,-580000,1699,2026-06-30,440.0,2550000,400.0,1665000,0.5992,0.2952
2026-06-09,416.35,419.1,40270000,-17500,2116,2026-06-30,440.0,2540000,400.0,1655000,0.629,0.2792
2026-06-10,414.6,415.3,38942500,-1327500,1886,2026-06-30,440.0,2597500,400.0,1735000,0.6016,0.2731
2026-06-11,415.95,416.7,38707500,-235000,1156,2026-06-30,440.0,2665000,400.0,1735000,0.5998,0.2628
2026-06-12,419.0,420.05,38745000,37500,1497,2026-06-30,440.0,2612500,400.0,1727500,0.573,0.2503
2026-06-15,416.05,416.9,37825000,-920000,1847,2026-06-30,440.0,2725000,400.0,1770000,0.5773,0.2655
2026-06-16,416.45,417.3,36715000,-1110000,1698,2026-06-30,440.0,2867500,400.0,1747500,0.549,0.25
2026-06-17,411.85,413.25,36562500,-152500,1180,2026-06-30,440.0,3182500,400.0,1795000,0.5133,0.2627
2026-06-18,413.85,414.65,36795000,232500,1069,2026-06-30,440.0,3510000,400.0,1847500,0.5008,0.2424
2026-06-19,415.5,416.1,36887500,92500,1467,2026-06-30,440.0,3555000,410.0,1830000,0.5018,0.2448
2026-06-22,421.1,422.3,35742500,-1145000,2406,2026-06-30,440.0,3545000,410.0,1905000,0.5006,0.2634
2026-06-23,423.2,422.85,33517500,-2225000,4293,2026-06-30,430.0,4600000,410.0,1750000,0.4793,0.2942
2026-06-24,420.65,421.95,22985000,-10532500,5624,2026-06-30,440.0,3772500,420.0,1800000,0.4888,0.2579
2026-06-25,416.15,416.05,14732500,-8252500,4368,2026-06-30,440.0,3230000,410.0,1650000,0.5138,0.2034
2026-06-29,415.25,415.8,5305000,-9427500,4510,2026-06-30,440.0,3005000,410.0,1480000,0.5356,0.0
2026-07-01,418.2,420.3,40475000,885000,3822,2026-07-28,430.0,2885000,390.0,2125000,0.6307,0.2741
2026-07-02,418.6,421.05,41040000,565000,1493,2026-07-28,450.0,3085000,390.0,2167500,0.5764,0.2724
2026-07-03,426.8,429.55,43405000,2365000,3888,2026-07-28,430.0,3000000,390.0,2170000,0.672,0.2775
2026-07-06,424.3,425.3,43305000,-100000,3269,2026-07-28,430.0,3360000,390.0,2210000,0.7542,0.2897
