Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1552.2,1555.5,2694250,-26325,1695,2026-06-30,1700.0,282750,1460.0,99775,0.6692,0.3785
2026-06-09,1570.8,1580.1,2700425,6175,989,2026-06-30,1700.0,292825,1460.0,102700,0.6647,0.3488
2026-06-10,1581.6,1575.9,2660775,-39650,1905,2026-06-30,1700.0,267475,1460.0,102700,0.6552,0.3504
2026-06-11,1556.8,1561.9,2659800,-975,865,2026-06-30,1700.0,270725,1460.0,102700,0.6746,0.3356
2026-06-12,1583.7,1589.4,2537925,-121875,1684,2026-06-30,1700.0,272675,1460.0,102375,0.6316,0.3109
2026-06-15,1611.2,1608.7,2615925,78000,1400,2026-06-30,1700.0,272350,1580.0,107575,0.7672,0.3318
2026-06-16,1621.4,1622.7,2611700,-4225,1221,2026-06-30,1700.0,297700,1640.0,111150,0.7007,0.3225
2026-06-17,1695.6,1698.9,2703350,91650,4489,2026-06-30,1700.0,366275,1580.0,182650,0.7699,0.3231
2026-06-18,1706.3,1698.5,2711475,8125,2235,2026-06-30,1700.0,358800,1580.0,186550,0.7447,0.3148
2026-06-19,1668.3,1671.1,2680600,-30875,1384,2026-06-30,1700.0,315900,1580.0,281450,0.7319,0.3015
2026-06-22,1664.8,1662.1,2584400,-96200,3863,2026-06-30,1700.0,421200,1580.0,322075,0.6809,0.3327
2026-06-23,1661.9,1655.2,2506725,-77675,2278,2026-06-30,1700.0,375050,1580.0,311675,0.7358,0.3075
2026-06-24,1652.8,1655.1,1841125,-665600,4009,2026-06-30,1700.0,306150,1580.0,305500,0.8365,0.2469
2026-06-25,1637.1,1635.2,1054300,-786825,3583,2026-06-30,1700.0,237900,1580.0,167700,0.767,0.2121
2026-06-29,1635.5,1642.5,318825,-735475,4401,2026-06-30,1700.0,197925,1580.0,162500,0.8033,0.0
2026-07-01,1606.5,1605.3,3237000,54925,857,2026-07-28,1700.0,158600,1620.0,53625,0.8022,0.3289
2026-07-02,1599.1,1598.6,3216525,-20475,1004,2026-07-28,1700.0,173875,1600.0,65975,0.7265,0.3257
2026-07-03,1583.2,1571.9,3284450,67925,971,2026-07-28,1700.0,192725,1400.0,124800,0.7245,0.3266
2026-07-06,1597.8,1588.0,3356925,72475,984,2026-07-28,1600.0,267475,1400.0,103675,0.5197,0.3368
2026-07-07,1605.4,1603.2,3237650,-119275,1572,2026-07-28,1700.0,202150,1600.0,117325,0.6359,0.3116
2026-07-13,1716.1,1709.0,3100500,-71825,3290,2026-07-28,1700.0,228800,1600.0,268775,0.7789,0.3228
2026-07-15,1753.9,1744.6,2971150,-50050,1565,2026-07-28,2000.0,942500,1600.0,269750,0.4917,0.3214
2026-07-16,1741.7,1728.6,2914600,-56550,938,2026-07-28,2000.0,780975,1600.0,268125,0.5736,0.3028
2026-07-21,1702.8,1700.1,2926625,-12350,690,2026-07-28,2000.0,414700,1600.0,303550,0.6715,0.2792
2026-07-23,1633.9,1639.1,2076750,-711100,3415,2026-07-28,2000.0,317850,1600.0,279500,0.6501,0.2346
2026-07-27,1643.2,1648.4,427050,-698425,3241,2026-07-28,1740.0,301600,1600.0,241800,0.6281,0.0
2026-07-29,1680.8,1681.0,3118375,-5200,1018,2026-08-25,1700.0,96525,1500.0,83850,0.9504,0.3983
2026-07-31,1681.2,1678.5,3117400,21775,919,2026-08-25,1700.0,80925,1500.0,79300,1.0376,0.3509
2026-08-03,1729.17,1722.0,3120000,2600,1027,2026-08-25,1700.0,88400,1500.0,83200,0.955,0.3743
2026-08-04,1685.0,1668.9,3433625,313625,3418,2026-08-25,1700.0,109200,1500.0,108875,0.8819,0.3882
2026-08-06,1571.05,1554.6,4486950,735800,13516,2026-08-25,1900.0,444275,1500.0,174200,0.5705,0.388
2026-08-07,1514.03,1511.7,4831125,344175,9733,2026-08-25,1700.0,552825,1500.0,213850,0.3963,0.3296
2026-08-11,1498.64,1495.8,4885400,88075,2189,2026-08-25,1700.0,517400,1500.0,231075,0.4054,0.3341
2026-08-12,1490.0,1493.8,4797650,-87750,2117,2026-08-25,1700.0,503750,1500.0,226525,0.3925,0.3239
2026-08-13,1513.97,1520.3,4798950,1300,1242,2026-08-25,1900.0,547625,1500.0,212550,0.3965,0.3068
2026-08-14,1508.0,1511.1,4769375,-29575,1493,2026-08-25,1900.0,518700,1500.0,202800,0.3884,0.2937
2026-08-19,1493.24,1494.2,4628650,-207025,4612,2026-08-25,1500.0,336700,1500.0,196950,0.4582,0.2692
