Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,285.15,286.55,49169600,229100,1931,2026-06-30,300.0,3090875,300.0,1587900,0.7376,0.3164
2026-06-09,289.1,291.1,48968150,-201450,2805,2026-06-30,300.0,3104700,270.0,1601725,0.6392,0.3039
2026-06-10,288.0,288.65,46910200,-2057950,4349,2026-06-30,295.0,3082975,300.0,1621475,0.6141,0.3072
2026-06-11,286.35,286.9,44962850,-1947350,4563,2026-06-30,300.0,3248875,270.0,1556300,0.6662,0.2967
2026-06-12,302.35,303.85,44058300,-904550,5492,2026-06-30,305.0,3608325,300.0,2318650,0.6816,0.3186
2026-06-15,310.6,311.1,43137950,-920350,6874,2026-06-30,320.0,4560275,300.0,3017800,0.6738,0.3307
2026-06-16,312.1,312.75,41909500,-1228450,3334,2026-06-30,320.0,3651775,300.0,3057300,0.6773,0.3052
2026-06-17,317.95,318.15,39108950,-2800550,5482,2026-06-30,320.0,3495750,300.0,3039525,0.7633,0.3115
2026-06-18,316.3,316.75,39622450,513500,3149,2026-06-30,320.0,4076400,300.0,3019775,0.7417,0.2922
2026-06-19,306.6,307.7,39241275,-381175,3162,2026-06-30,320.0,5289050,300.0,2291000,0.5977,0.2944
2026-06-22,308.6,308.9,38682350,-558925,2013,2026-06-30,320.0,5289050,300.0,2292975,0.5621,0.3065
2026-06-23,308.55,309.1,37080625,-1601725,2716,2026-06-30,320.0,4947375,300.0,1925625,0.5969,0.2801
2026-06-24,315.7,316.65,28017350,-9063275,6699,2026-06-30,320.0,4483250,310.0,1864400,0.6785,0.2619
2026-06-25,309.75,310.6,16842800,-11174550,8100,2026-06-30,320.0,4530650,310.0,1817000,0.6067,0.1932
2026-06-29,300.8,301.15,4763700,-12079100,7498,2026-06-30,320.0,3395025,300.0,1398300,0.5937,0.0
2026-07-01,304.2,304.95,44561925,-43450,1862,2026-07-28,320.0,3011875,300.0,1558275,0.6001,0.2874
2026-07-02,310.45,312.0,45373650,811725,4865,2026-07-28,320.0,3375275,300.0,1518775,0.6168,0.2955
2026-07-03,308.15,309.65,45221575,-152075,2349,2026-07-28,320.0,3553025,300.0,1528650,0.6008,0.29
2026-07-06,308.15,309.7,45468450,246875,1478,2026-07-28,320.0,3839400,300.0,1504950,0.5623,0.3023
2026-07-07,313.95,314.35,44818675,-649775,3039,2026-07-28,320.0,3558950,300.0,1856500,0.6166,0.2917
2026-07-13,307.55,308.0,41933200,335750,2113,2026-07-28,320.0,3254800,300.0,1982900,0.7533,0.3028
