Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,131.91,132.22,284512500,425250,5614,2026-06-30,137.0,29099250,135.0,7654500,0.6124,0.3391
2026-06-09,137.51,138.49,285795000,1282500,9625,2026-06-30,137.0,24745500,130.0,8329500,0.6922,0.3221
2026-06-10,133.46,133.78,277823250,-7971750,6466,2026-06-30,137.0,25569000,130.0,7371000,0.6461,0.3271
2026-06-11,131.52,131.93,279281250,1458000,5012,2026-06-30,137.0,17786250,135.0,7202250,0.7051,0.3275
2026-06-12,131.67,132.34,278694000,-587250,6614,2026-06-30,135.8,17131500,125.8,7809750,0.7479,0.3042
2026-06-15,132.2,132.87,283338000,4644000,4576,2026-06-30,132.8,15646500,130.8,7121250,0.7353,0.3405
2026-06-16,132.83,133.46,283432500,94500,2564,2026-06-30,132.8,15774750,135.8,7040250,0.743,0.3096
2026-06-17,135.24,135.88,284451750,1019250,5822,2026-06-30,132.8,14701500,130.8,6905250,0.7569,0.3055
2026-06-18,134.97,135.46,283311000,-1140750,3400,2026-06-30,132.8,14667750,130.8,6480000,0.7576,0.2991
2026-06-19,133.74,134.23,281967750,-1343250,3416,2026-06-30,132.8,14782500,130.8,6399000,0.7326,0.2995
2026-06-22,134.88,135.03,277924500,-4043250,2227,2026-06-30,132.8,12494250,130.8,6068250,0.6994,0.3059
2026-06-23,130.37,130.43,264789000,-13135500,4675,2026-06-30,132.8,13560750,130.8,5994000,0.6881,0.3014
2026-06-24,130.15,130.49,214501500,-50287500,9800,2026-06-30,132.8,9058500,130.8,5366250,0.7095,0.277
2026-06-25,128.96,129.02,145233000,-69268500,12788,2026-06-30,132.8,8957250,125.8,4596750,0.6538,0.2293
2026-06-29,125.86,126.37,45569250,-99663750,16935,2026-06-30,132.8,9018000,125.8,3024000,0.5903,0.0
2026-07-01,126.28,126.89,338451750,-688500,3281,2026-07-28,130.0,10786500,125.0,7485750,0.8352,0.3181
2026-07-02,126.64,127.27,338256000,-195750,8220,2026-07-28,130.0,14499000,130.0,8154000,0.7834,0.3176
