Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1193.4,1188.0,10968225,95475,2244,2026-06-30,1400.0,1260175,1200.0,794675,0.6227,0.3419
2026-06-09,1212.3,1216.7,10788200,-180025,1862,2026-06-30,1300.0,920550,1200.0,787075,0.6351,0.3234
2026-06-10,1200.9,1200.2,10722175,-66025,2328,2026-06-30,1260.0,969000,1200.0,778525,0.6123,0.3147
2026-06-11,1190.2,1188.6,10975350,253175,2479,2026-06-30,1400.0,994175,1200.0,755725,0.6194,0.3131
2026-06-12,1227.9,1234.0,10210125,-765225,4440,2026-06-30,1400.0,864025,1200.0,662150,0.6452,0.3003
2026-06-15,1265.7,1272.2,9728950,-481175,5888,2026-06-30,1260.0,868775,1200.0,679250,0.6257,0.3179
2026-06-16,1264.0,1267.0,9759825,30875,2055,2026-06-30,1360.0,910100,1220.0,655500,0.6108,0.3064
2026-06-17,1290.9,1296.9,9097200,-662625,4790,2026-06-30,1300.0,872100,1220.0,634600,0.6901,0.3046
2026-06-18,1350.4,1355.0,8209425,-887775,13174,2026-06-30,1400.0,1530925,1300.0,602300,0.6438,0.3315
2026-06-19,1370.3,1373.6,7831800,-377625,5104,2026-06-30,1400.0,1367050,1300.0,539125,0.6504,0.3129
2026-06-22,1371.8,1373.2,7752475,-79325,3184,2026-06-30,1400.0,1416450,1300.0,473100,0.6523,0.329
2026-06-23,1351.1,1352.4,7694050,-58425,2937,2026-06-30,1400.0,1314325,1300.0,495900,0.672,0.3109
2026-06-24,1331.7,1334.9,5802600,-1891450,5807,2026-06-30,1400.0,1469175,1300.0,569525,0.6788,0.2859
2026-06-25,1317.0,1318.9,3375350,-2427250,8914,2026-06-30,1400.0,980875,1300.0,512525,0.7686,0.2075
2026-06-29,1297.9,1303.4,1915200,-1460150,6685,2026-06-30,1400.0,791350,1200.0,370025,0.7113,0.0
