Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,5610.5,5639.5,3789600,35600,3387,2026-06-30,6000.0,280600,5200.0,122600,0.6485,0.2993
2026-06-09,5625.5,5664.5,3877200,87600,2552,2026-06-30,6000.0,301400,5200.0,122000,0.6576,0.2887
2026-06-10,5609.5,5628.0,3924600,47400,2677,2026-06-30,6000.0,305400,5200.0,123200,0.6772,0.2852
2026-06-11,5557.0,5567.5,3998600,74000,2898,2026-06-30,6000.0,355000,5200.0,123200,0.6532,0.2838
2026-06-12,5621.5,5652.5,4025200,26600,1985,2026-06-30,6000.0,375000,5200.0,121800,0.6779,0.2611
2026-06-15,5754.0,5772.5,4030800,5600,2950,2026-06-30,6000.0,293200,5200.0,123800,0.7358,0.2742
2026-06-16,5723.5,5749.0,4081200,50400,1485,2026-06-30,6000.0,297000,5200.0,121200,0.7182,0.2718
2026-06-17,5831.5,5860.5,4069800,-11400,2811,2026-06-30,6000.0,242600,5700.0,121200,0.7496,0.26
2026-06-18,5858.0,5884.0,4132800,63000,2011,2026-06-30,6000.0,257800,5700.0,114400,0.7328,0.2465
2026-06-19,5865.0,5878.5,4126200,-6600,1732,2026-06-30,6000.0,259600,5800.0,118400,0.7144,0.2552
2026-06-22,5764.0,5783.0,4070200,-56000,3292,2026-06-30,6000.0,277600,5700.0,135000,0.686,0.2878
2026-06-23,5735.5,5745.0,3974800,-95400,2587,2026-06-30,6000.0,247000,5700.0,136200,0.6752,0.2688
2026-06-24,5555.5,5568.0,3038600,-936200,6447,2026-06-30,6000.0,258000,5700.0,114800,0.617,0.2568
2026-06-25,5642.0,5648.5,1608000,-1430600,9007,2026-06-30,6000.0,191400,5700.0,109200,0.6732,0.2059
2026-06-29,5541.5,5557.0,569400,-1038600,6987,2026-06-30,5800.0,131600,5700.0,98200,0.7535,0.0
2026-07-01,5663.0,5643.0,4241600,24200,2444,2026-07-28,6200.0,87000,5200.0,90600,0.7786,0.2668
2026-07-02,5578.5,5562.5,4290400,48800,2279,2026-07-28,5700.0,103000,5200.0,89600,0.6992,0.2702
2026-07-03,5478.0,5461.0,4404400,114000,3952,2026-07-28,6000.0,199200,5200.0,124200,0.5911,0.2834
2026-07-06,5578.5,5556.0,4390800,-13600,2452,2026-07-28,6000.0,202800,5200.0,124000,0.6091,0.2801
2026-07-07,5471.5,5431.5,4399200,8400,2794,2026-07-28,6000.0,225600,5200.0,149600,0.6251,0.342
2026-07-13,5555.0,5520.0,4323600,5400,1248,2026-07-28,5700.0,164000,5200.0,157600,0.6597,0.2884
2026-07-15,5549.5,5523.0,4471800,146800,3478,2026-07-28,5700.0,227000,5200.0,157600,0.6868,0.2964
2026-07-16,5592.0,5570.0,4805400,333600,4678,2026-07-28,5600.0,186000,5200.0,158200,0.6847,0.3114
2026-07-21,5583.0,5588.5,4576000,-172400,1997,2026-07-28,5700.0,183000,5200.0,154800,0.6805,0.277
2026-07-23,5599.0,5595.5,3143800,-1042200,6348,2026-07-28,5700.0,147200,5500.0,89800,0.6006,0.2301
2026-07-27,5629.5,5638.5,1152600,-911000,5456,2026-07-28,5700.0,91000,5200.0,77600,0.6294,0.0
2026-07-29,5383.0,5414.0,3980400,64400,3478,2026-08-25,6000.0,132600,5200.0,109000,0.8604,0.3448
2026-07-31,5519.0,5549.0,3918200,-47600,3529,2026-08-25,6000.0,140600,5200.0,113400,0.8231,0.3452
2026-08-03,5549.87,5526.0,3944800,26600,1293,2026-08-25,6000.0,162800,5500.0,123400,0.7749,0.3582
2026-08-04,5549.95,5510.5,4065000,120200,4442,2026-08-25,6000.0,236400,5200.0,200400,0.9013,0.3778
2026-08-06,5402.0,5432.0,4444400,12600,14818,2026-08-25,6000.0,404400,5000.0,317800,1.0249,0.3317
2026-08-07,5426.0,5457.5,4359200,-85200,3257,2026-08-25,6000.0,377600,5000.0,288000,0.8923,0.2838
2026-08-11,5378.5,5407.0,4319600,22200,1586,2026-08-25,6000.0,363000,5200.0,284600,0.866,0.2653
2026-08-12,5365.0,5387.0,4414600,95000,2638,2026-08-25,6000.0,360200,5200.0,270000,0.8282,0.2727
2026-08-13,5315.02,5349.5,4471400,56800,1068,2026-08-25,6000.0,347000,5000.0,261400,0.7967,0.2712
2026-08-14,5400.02,5409.5,4498400,27000,1935,2026-08-25,6000.0,326800,5200.0,246400,0.7743,0.2624
2026-08-19,5220.12,5236.0,4433600,-106600,1805,2026-08-25,5500.0,483600,5100.0,199200,0.5697,0.2571
