Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,419.75,421.85,20836250,60000,952,2026-06-30,500.0,1620000,400.0,1078750,0.7194,0.2471
2026-06-09,426.15,428.0,20621250,-215000,962,2026-06-30,500.0,1631250,400.0,1058750,0.713,0.2354
2026-06-10,427.9,430.25,20326250,-295000,2920,2026-06-30,500.0,1620000,400.0,928750,0.704,0.2436
2026-06-11,421.7,423.75,20420000,93750,1492,2026-06-30,500.0,1575000,400.0,930000,0.6795,0.2429
2026-06-12,426.4,428.85,20866250,446250,2952,2026-06-30,500.0,1825000,400.0,971250,0.6595,0.247
2026-06-15,429.15,430.6,20828750,-37500,1655,2026-06-30,500.0,1865000,400.0,920000,0.6456,0.2566
2026-06-16,435.45,436.45,20726250,-102500,1548,2026-06-30,500.0,1781250,420.0,896250,0.6612,0.2339
2026-06-17,429.0,429.3,20413750,-312500,2406,2026-06-30,500.0,1745000,410.0,913750,0.5914,0.2497
2026-06-18,428.7,429.9,20585000,171250,1927,2026-06-30,500.0,1797500,410.0,966250,0.5817,0.2449
2026-06-19,423.5,424.95,20703750,118750,1587,2026-06-30,500.0,1573750,410.0,951250,0.5794,0.2472
2026-06-22,422.25,423.7,20666250,-37500,1032,2026-06-30,500.0,1487500,410.0,955000,0.5799,0.2634
2026-06-23,419.8,420.75,19870000,-796250,1620,2026-06-30,500.0,1448750,410.0,892500,0.5823,0.2469
2026-06-24,424.1,424.9,15512500,-4357500,5583,2026-06-30,500.0,1288750,410.0,848750,0.595,0.2269
2026-06-25,423.9,424.6,9372500,-6140000,5731,2026-06-30,500.0,1246250,410.0,778750,0.5735,0.2179
2026-06-29,426.3,426.55,2516250,-6856250,6248,2026-06-30,500.0,1230000,410.0,698750,0.5504,0.0
2026-07-01,444.75,442.2,30600000,3745000,12748,2026-07-28,480.0,1302500,420.0,972500,0.6547,0.2641
2026-07-02,447.0,444.15,31422500,822500,4483,2026-07-28,450.0,1373750,400.0,886250,0.6614,0.2603
2026-07-03,444.35,441.3,31781250,358750,3147,2026-07-28,450.0,1598750,400.0,1001250,0.6294,0.2736
2026-07-06,449.75,445.65,31446250,-335000,5177,2026-07-28,450.0,1663750,400.0,1101250,0.6265,0.2562
2026-07-07,453.5,449.6,30672500,-773750,2231,2026-07-28,450.0,1877500,400.0,1023750,0.668,0.2468
2026-07-13,438.9,434.2,30377500,-18750,972,2026-07-28,450.0,2518750,400.0,993750,0.5669,0.2676
2026-07-15,431.3,425.9,30796250,13750,1794,2026-07-28,450.0,3232500,400.0,1042500,0.5817,0.2658
2026-07-16,429.45,425.6,31122500,326250,884,2026-07-28,450.0,3263750,400.0,1027500,0.5843,0.2673
2026-07-21,426.1,426.0,29266250,-1842500,2849,2026-07-28,450.0,2952500,400.0,877500,0.5845,0.2755
2026-07-23,423.15,422.75,20136250,-8098750,7114,2026-07-28,450.0,2873750,400.0,841250,0.5468,0.2546
2026-07-27,427.35,426.95,4020000,-7575000,6614,2026-07-28,450.0,1836250,400.0,570000,0.5632,0.0
2026-07-29,433.7,435.6,29375000,-521250,3845,2026-08-25,450.0,2081250,430.0,1025000,0.6515,0.2915
2026-07-31,421.45,422.45,29940000,187500,3316,2026-08-25,450.0,2887500,380.0,1387500,0.616,0.2263
2026-08-03,425.79,426.65,29388750,-551250,2594,2026-08-25,450.0,2792500,380.0,1366250,0.6421,0.2302
2026-08-04,409.64,408.95,28775000,-613750,7119,2026-08-25,450.0,3755000,400.0,2005000,0.6057,0.2497
2026-08-06,411.32,413.5,28270000,-232500,1351,2026-08-25,450.0,3836250,400.0,1657500,0.6188,0.2399
