Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,11393.0,11443.0,2541150,26300,7448,2026-06-30,12000.0,271300,11000.0,165000,0.7212,0.4174
2026-06-09,11611.0,11675.0,2498850,-42300,7091,2026-06-30,12000.0,240850,11000.0,191450,0.7632,0.3967
2026-06-10,11487.0,11507.0,2444150,-54700,12245,2026-06-30,12000.0,274300,11000.0,161200,0.7012,0.4052
2026-06-11,11371.0,11414.0,2512350,68200,7002,2026-06-30,12000.0,281850,11000.0,158850,0.6744,0.3966
2026-06-12,11546.0,11612.0,2536350,24000,5589,2026-06-30,12000.0,269700,11000.0,153150,0.6978,0.3779
2026-06-15,11957.0,12018.0,2584500,48150,18170,2026-06-30,12000.0,272300,11000.0,158150,0.7655,0.3964
2026-06-16,12234.0,12277.0,2564350,-20150,23712,2026-06-30,12000.0,211550,11000.0,175150,0.7932,0.394
2026-06-17,12833.0,12859.0,2443300,-121050,26824,2026-06-30,13000.0,214050,12000.0,196000,1.1715,0.3809
2026-06-18,12666.0,12716.0,2388550,-54750,7093,2026-06-30,13000.0,248650,12000.0,166100,0.9972,0.374
2026-06-19,12517.0,12539.0,2510500,121950,15545,2026-06-30,13000.0,376000,12000.0,170600,0.765,0.3911
2026-06-22,12336.0,12373.0,2642600,132100,12160,2026-06-30,13000.0,439550,11500.0,160000,0.6728,0.4149
2026-06-23,11932.0,11913.0,2357200,-285400,21021,2026-06-30,13000.0,416500,11500.0,136900,0.5665,0.3825
2026-06-24,12086.0,12106.0,1516350,-840850,25985,2026-06-30,13000.0,350800,11500.0,157550,0.5923,0.343
2026-06-25,12013.0,12036.0,806050,-710300,22166,2026-06-30,13000.0,318900,11500.0,140650,0.5913,0.2271
2026-06-29,11805.0,11871.0,352550,-453500,17056,2026-06-30,13000.0,278400,11500.0,126900,0.6221,0.0
2026-07-01,11956.0,12018.0,2820650,65750,8328,2026-07-28,13000.0,213650,12000.0,123800,0.781,0.4092
2026-07-02,12373.0,12465.0,2822650,2000,17103,2026-07-28,13000.0,310750,12000.0,137350,0.7426,0.4111
2026-07-03,12456.0,12518.0,2844750,22100,9226,2026-07-28,13000.0,298500,12000.0,149750,0.7426,0.4048
2026-07-06,13304.0,13358.0,2661600,-183150,27752,2026-07-28,13000.0,193500,13000.0,223650,1.0112,0.4054
2026-07-07,13242.0,13279.0,2569100,-92500,10650,2026-07-28,13000.0,172350,13000.0,215450,1.0022,0.3866
2026-07-13,13490.0,13398.0,2406900,12400,10074,2026-07-28,14000.0,356700,12500.0,231550,0.7937,0.4249
2026-07-15,13652.0,13639.0,2439850,-2650,10976,2026-07-28,14000.0,257500,13000.0,191000,0.8448,0.4285
2026-07-16,14507.0,14391.0,2247300,-192550,35994,2026-07-28,14500.0,232250,14000.0,209000,0.9307,0.414
2026-07-21,14118.0,14025.0,2233700,-19100,11408,2026-07-28,15000.0,290550,14000.0,204650,0.7749,0.3355
2026-07-23,13829.0,13818.0,1517350,-524700,13231,2026-07-28,15000.0,212650,14000.0,167100,0.7466,0.2972
2026-07-27,13810.0,13815.0,285650,-503050,14594,2026-07-28,14000.0,192050,12500.0,110150,0.7309,0.0
2026-07-29,14275.0,14094.0,2265600,108200,10092,2026-08-25,14500.0,155300,13000.0,143150,0.8455,0.4117
2026-07-31,14052.0,13816.0,2473450,197350,22303,2026-08-25,15000.0,295850,13500.0,136800,0.6442,0.4034
