Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,561.3,563.8,40594125,691350,3408,2026-06-30,600.0,1806750,590.0,886875,0.6402,0.3348
2026-06-09,575.15,578.55,40238550,-355575,2640,2026-06-30,600.0,1702800,590.0,886875,0.6836,0.3243
2026-06-10,563.3,564.9,40200600,-37950,2533,2026-06-30,600.0,1963500,590.0,885225,0.6404,0.3405
2026-06-11,563.0,565.15,40096650,-103950,1792,2026-06-30,600.0,1868625,590.0,882750,0.6456,0.3173
2026-06-12,587.05,590.45,40542975,446325,6287,2026-06-30,600.0,1563375,590.0,926475,0.6643,0.3162
2026-06-15,613.9,617.25,41721900,1178925,10708,2026-06-30,600.0,1296900,590.0,1037025,0.7852,0.3155
2026-06-16,629.4,632.35,42421500,699600,8255,2026-06-30,630.0,1313400,590.0,1353825,0.8747,0.3056
2026-06-17,623.55,626.25,42413250,-8250,4500,2026-06-30,630.0,1347225,590.0,1278750,0.8333,0.3009
2026-06-18,640.3,643.35,42671475,258225,6838,2026-06-30,650.0,1002375,590.0,1050225,0.8701,0.2989
2026-06-19,624.5,626.75,42421500,-249975,4805,2026-06-30,640.0,1249875,590.0,1126950,0.7318,0.2948
2026-06-22,627.6,627.8,42065100,-356400,2048,2026-06-30,640.0,1413225,590.0,1042800,0.7439,0.307
2026-06-23,612.35,613.2,38353425,-3711675,10034,2026-06-30,640.0,1404975,590.0,1338150,0.7697,0.3017
2026-06-24,618.15,620.1,32553675,-5799750,13259,2026-06-30,640.0,1451175,590.0,1307625,0.7843,0.2763
2026-06-25,621.35,622.35,25711125,-6842550,12168,2026-06-30,640.0,1381875,590.0,1249050,0.7629,0.2299
2026-06-29,614.75,615.7,13440075,-12271050,20462,2026-06-30,640.0,1147575,590.0,1236675,0.7886,0.0
2026-07-01,648.7,649.85,38868300,822700,8762,2026-07-28,650.0,1830650,600.0,1194150,0.7928,0.3327
2026-07-02,658.2,656.55,39236900,368600,9092,2026-07-28,650.0,1870550,600.0,1123850,0.7379,0.3256
2026-07-03,675.9,674.65,39420250,183350,11029,2026-07-28,650.0,1448750,600.0,1334750,0.8352,0.288
2026-07-06,673.3,670.0,40199250,779000,9487,2026-07-28,700.0,1139050,600.0,1198900,0.8495,0.2639
2026-07-07,651.1,652.7,40566900,367650,5546,2026-07-28,700.0,1155200,600.0,1060200,0.8412,0.3072
2026-07-13,682.35,677.6,41913050,954750,8386,2026-07-28,680.0,1777450,600.0,982300,0.7759,0.3553
2026-07-15,657.75,651.8,41897850,431300,6653,2026-07-28,680.0,2255300,600.0,1028850,0.6779,0.3702
2026-07-16,648.1,642.5,42302550,404700,4771,2026-07-28,680.0,2480450,600.0,982300,0.6399,0.3586
2026-07-21,673.65,665.85,39362300,-1384150,3898,2026-07-28,680.0,2280950,650.0,1111500,0.6404,0.2701
2026-07-23,642.2,635.4,25072400,-13446300,18927,2026-07-28,670.0,2364550,650.0,1151400,0.649,0.3154
2026-07-27,650.85,650.1,9650100,-9906600,12165,2026-07-28,670.0,1754650,600.0,783750,0.6625,0.0
2026-07-29,670.25,672.25,46946150,-462650,4559,2026-08-25,660.0,1319550,660.0,650750,0.7263,0.3441
2026-07-31,659.3,660.75,46305850,-576650,3370,2026-08-25,660.0,1725200,600.0,901550,0.7333,0.347
2026-08-03,668.52,666.25,46391350,85500,4185,2026-08-25,660.0,1843000,660.0,1572250,0.7593,0.3646
2026-08-04,643.4,649.0,46746650,355300,9457,2026-08-25,660.0,2197350,600.0,1174200,0.6377,0.3213
2026-08-06,642.01,647.0,48040550,644100,6281,2026-08-25,660.0,2438650,600.0,1290100,0.6149,0.3277
2026-08-07,642.09,644.2,48665650,625100,4140,2026-08-25,660.0,2511800,600.0,1991200,0.687,0.3199
2026-08-11,650.11,654.55,48638100,291650,3026,2026-08-25,700.0,2300900,600.0,1990250,0.759,0.323
2026-08-12,661.74,660.9,49150150,512050,5056,2026-08-25,700.0,2393050,600.0,1936100,0.7583,0.3193
2026-08-13,664.0,666.3,49080800,-69350,4273,2026-08-25,700.0,2831000,650.0,1295800,0.6361,0.3126
2026-08-14,664.95,667.7,49173900,93100,3044,2026-08-25,700.0,2932650,650.0,1415500,0.6194,0.2951
