Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1275.6,1280.9,15168125,-155000,1617,2026-06-30,1340.0,970000,1200.0,750000,0.4587,0.2387
2026-06-09,1268.5,1271.3,14952500,-215625,2032,2026-06-30,1340.0,1176875,1200.0,752500,0.4354,0.2301
2026-06-10,1271.7,1272.9,14693125,-259375,2054,2026-06-30,1340.0,1178750,1200.0,736875,0.4494,0.2256
2026-06-11,1276.0,1275.6,14821875,128750,2125,2026-06-30,1340.0,1170625,1200.0,729375,0.4395,0.2214
2026-06-12,1275.4,1273.9,15082500,260625,2400,2026-06-30,1340.0,1208750,1200.0,733750,0.4188,0.2145
2026-06-15,1279.5,1280.6,15202500,120000,2040,2026-06-30,1300.0,1160625,1200.0,710625,0.4401,0.2275
2026-06-16,1276.9,1275.9,15115000,-87500,1169,2026-06-30,1300.0,1261875,1200.0,711250,0.4255,0.2221
2026-06-17,1269.0,1269.5,15228125,113125,1568,2026-06-30,1300.0,1415625,1200.0,698750,0.3877,0.2256
2026-06-18,1267.5,1269.4,15281875,53750,2763,2026-06-30,1300.0,1428750,1200.0,685625,0.3907,0.2193
2026-06-19,1272.1,1268.5,15433125,151250,2271,2026-06-30,1300.0,1583750,1200.0,683125,0.3838,0.2166
2026-06-22,1290.7,1292.4,14890000,-543125,3405,2026-06-30,1300.0,1595625,1200.0,662500,0.4291,0.2215
2026-06-23,1301.3,1303.0,13870000,-1020000,5811,2026-06-30,1350.0,1110000,1280.0,744375,0.4584,0.2281
2026-06-24,1328.4,1326.4,9568750,-4301250,12011,2026-06-30,1340.0,1382500,1280.0,646875,0.6113,0.2253
2026-06-25,1350.5,1354.1,4176875,-5391875,13905,2026-06-30,1340.0,898125,1300.0,632500,0.8065,0.1647
2026-06-29,1375.7,1372.6,2352500,-1824375,10833,2026-06-30,1340.0,859375,1200.0,606875,0.6016,0.0
2026-07-01,1339.9,1328.9,13701875,-645000,4537,2026-07-28,1400.0,1345625,1300.0,415625,0.5088,0.2691
2026-07-02,1345.7,1341.2,13314375,-387500,2615,2026-07-28,1400.0,1382500,1340.0,415625,0.5222,0.2628
2026-07-03,1374.1,1363.7,13105625,-208750,2938,2026-07-28,1400.0,2178750,1340.0,409375,0.4616,0.2505
2026-07-06,1367.9,1363.5,13099375,-6250,1757,2026-07-28,1400.0,2296875,1340.0,403750,0.4544,0.2519
2026-07-07,1354.6,1351.4,12964375,-135000,2153,2026-07-28,1400.0,2310625,1340.0,398750,0.4508,0.2515
2026-07-13,1234.5,1233.3,15441250,89375,3948,2026-07-28,1400.0,3944375,1250.0,885625,0.4289,0.3254
2026-07-15,1229.5,1227.9,15094375,300000,2567,2026-07-28,1400.0,3576875,1250.0,803750,0.4318,0.3192
2026-07-16,1224.4,1228.8,14983750,-110625,1890,2026-07-28,1400.0,3485625,1200.0,803750,0.436,0.3314
2026-07-21,1206.0,1210.2,14555625,-211875,4532,2026-07-28,1400.0,3166875,1200.0,1003125,0.4377,0.3801
2026-07-23,1166.3,1164.2,9255000,-4085625,16413,2026-07-28,1400.0,2613750,1100.0,1825625,0.6361,0.247
2026-07-27,1150.8,1153.7,4221875,-2399375,8422,2026-07-28,1400.0,2526875,1100.0,645625,0.4752,0.0
2026-07-29,1142.3,1144.7,13909375,303125,4769,2026-08-25,1300.0,1216250,1150.0,719375,0.6653,0.219
2026-07-31,1148.1,1148.5,13827500,66250,2281,2026-08-25,1300.0,1270000,1100.0,737500,0.6043,0.1961
2026-08-03,1179.98,1164.4,12777500,-1050000,6919,2026-08-25,1200.0,1329375,1150.0,738750,0.6196,0.215
2026-08-04,1172.43,1154.7,13485625,708125,4006,2026-08-25,1200.0,1418125,1150.0,733750,0.6016,0.2184
2026-08-06,1171.02,1164.2,14141875,480625,2052,2026-08-25,1300.0,1243750,1140.0,821250,0.6579,0.2129
2026-08-07,1172.0,1165.4,14282500,140625,1840,2026-08-25,1300.0,1231875,1140.0,788125,0.6325,0.2104
2026-08-11,1205.0,1207.4,13149375,-1020625,6802,2026-08-25,1300.0,1045625,1140.0,623125,0.6638,0.2308
2026-08-12,1200.0,1192.8,13653125,503750,3588,2026-08-25,1200.0,1223750,1000.0,603125,0.5942,0.228
2026-08-13,1206.0,1200.0,14308125,655000,3778,2026-08-25,1200.0,1376875,1000.0,598750,0.5413,0.2236
2026-08-14,1200.0,1194.1,15261250,953125,3685,2026-08-25,1200.0,1447500,1150.0,710625,0.526,0.217
2026-08-19,1170.01,1170.0,15053750,-975625,3962,2026-08-25,1200.0,1458750,1150.0,1104375,0.5926,0.2091
