Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,7050.0,7080.0,3409600,92600,3961,2026-06-30,8000.0,214700,6800.0,237700,0.8006,0.2629
2026-06-09,7203.0,7247.5,3443500,33900,6656,2026-06-30,8000.0,224300,6800.0,228900,0.8411,0.2543
2026-06-10,7219.0,7210.5,3458200,14700,4479,2026-06-30,8000.0,234000,6800.0,227300,0.8208,0.2521
2026-06-11,7179.5,7186.5,3494600,36400,3693,2026-06-30,8000.0,225000,6800.0,228100,0.7872,0.245
2026-06-12,7312.0,7338.5,3495800,1200,4839,2026-06-30,8000.0,228800,6800.0,223000,0.8164,0.2285
2026-06-15,7624.5,7641.0,3446600,-49200,8191,2026-06-30,8000.0,209000,6800.0,214400,1.0424,0.2422
2026-06-16,7560.5,7589.5,3475800,29200,3508,2026-06-30,8000.0,199200,6800.0,214200,0.9962,0.2283
2026-06-17,7509.0,7541.5,3462300,-13500,3032,2026-06-30,8000.0,198000,6800.0,213000,0.9055,0.2353
2026-06-18,7601.0,7614.5,3415300,-47000,4063,2026-06-30,8000.0,200800,6800.0,197100,0.8493,0.236
2026-06-19,7611.5,7616.5,3413000,-2300,6341,2026-06-30,7600.0,204700,6800.0,150500,0.8306,0.2384
2026-06-22,7639.5,7660.0,3380700,-32300,2929,2026-06-30,7700.0,242300,7200.0,144800,0.8147,0.2621
2026-06-23,7578.0,7585.5,3273000,-107700,2984,2026-06-30,7700.0,219900,7200.0,147300,0.8202,0.2481
2026-06-24,7572.0,7589.0,2580800,-692200,9025,2026-06-30,7700.0,182300,7200.0,156700,0.8642,0.2235
2026-06-25,7598.0,7610.0,1538000,-1042800,13869,2026-06-30,8000.0,178000,7200.0,145200,0.8599,0.1906
2026-06-29,7426.0,7453.5,596100,-941900,13043,2026-06-30,8000.0,136300,6500.0,113400,0.7355,0.0
2026-07-01,7139.0,7181.5,3757600,24200,5870,2026-07-28,8000.0,390300,7000.0,182200,0.7663,0.2637
2026-07-02,7250.0,7295.0,3975700,218100,7957,2026-07-28,8000.0,362400,6800.0,208800,0.8661,0.2485
2026-07-03,7339.5,7361.0,3949700,-26000,3695,2026-07-28,8000.0,350800,6800.0,221900,0.8528,0.2375
2026-07-06,7471.5,7485.0,3893300,-56400,3443,2026-07-28,8000.0,325100,6800.0,308100,0.9203,0.248
2026-07-07,7535.5,7544.5,3794800,-98500,4815,2026-07-28,8000.0,280000,6800.0,303900,0.9152,0.2465
