Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,248.3,249.45,224819325,2395900,8639,2026-06-30,260.0,8378375,250.0,4425625,0.6862,0.3611
2026-06-09,245.65,247.2,224552575,-266750,12460,2026-06-30,260.0,10218950,250.0,4163725,0.6662,0.3588
2026-06-10,239.8,240.7,225452250,899675,6931,2026-06-30,260.0,11004650,250.0,4481400,0.6352,0.3647
2026-06-11,235.2,236.45,228219175,2766925,7887,2026-06-30,260.0,11140450,240.0,4100675,0.636,0.3579
2026-06-12,243.8,244.95,225845100,-2374075,11818,2026-06-30,260.0,10248050,240.0,4217075,0.637,0.3379
2026-06-15,251.95,252.45,222670775,-3174325,13745,2026-06-30,260.0,10315950,240.0,4066725,0.6471,0.3456
2026-06-16,253.6,254.7,222857500,186725,6181,2026-06-30,260.0,10206825,240.0,4435325,0.6579,0.3266
2026-06-17,258.4,259.5,222542250,-315250,11204,2026-06-30,260.0,11261700,240.0,4988225,0.6872,0.3312
2026-06-18,258.55,259.05,219421275,-3120975,5764,2026-06-30,260.0,10034650,240.0,4910625,0.6556,0.3272
2026-06-19,264.3,264.5,215766800,-3654475,10971,2026-06-30,260.0,11096800,250.0,5950950,0.7487,0.3106
2026-06-22,263.65,264.15,210531225,-5235575,5793,2026-06-30,260.0,10582700,250.0,5558100,0.6952,0.3332
2026-06-23,258.95,258.95,197091875,-13439350,10299,2026-06-30,260.0,10432350,250.0,4859700,0.6648,0.3252
2026-06-24,256.35,256.7,144799175,-52292700,25980,2026-06-30,260.0,9692725,250.0,4934875,0.7001,0.3049
2026-06-25,255.15,255.3,85015650,-59783525,27959,2026-06-30,260.0,9151950,250.0,5196775,0.6843,0.2603
2026-06-29,259.4,259.35,31733550,-53282100,25799,2026-06-30,265.0,5470800,250.0,3935775,0.7155,0.0
