Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1654.4,1655.7,8019275,136125,3384,2026-06-30,1900.0,422950,1700.0,216700,0.6248,0.364
2026-06-09,1684.3,1695.1,7921650,-97625,2134,2026-06-30,1800.0,424875,1700.0,228250,0.6061,0.3379
2026-06-10,1641.5,1647.2,8024775,103125,2385,2026-06-30,1800.0,435600,1700.0,229075,0.5875,0.3591
2026-06-11,1618.1,1625.2,8096275,71500,2208,2026-06-30,1800.0,443025,1700.0,204325,0.5893,0.3483
2026-06-12,1691.3,1700.6,8035775,-60500,3248,2026-06-30,1800.0,441100,1700.0,215600,0.6558,0.317
2026-06-15,1766.2,1775.7,8029725,-6050,4599,2026-06-30,1800.0,446050,1700.0,265650,0.7013,0.3229
2026-06-16,1794.5,1801.2,8044575,14850,2303,2026-06-30,1800.0,443850,1700.0,293700,0.7254,0.3014
2026-06-17,1788.3,1793.3,8038800,-5775,3535,2026-06-30,1800.0,428725,1700.0,273625,0.744,0.3115
2026-06-18,1810.2,1817.8,7966475,-72325,2516,2026-06-30,1900.0,423225,1800.0,275000,0.7305,0.3055
2026-06-19,1795.9,1799.8,7929350,-37125,2940,2026-06-30,1800.0,432575,1700.0,272800,0.7158,0.3069
2026-06-22,1798.9,1800.7,7813300,-116050,1853,2026-06-30,1800.0,429000,1700.0,252725,0.7137,0.3296
2026-06-23,1789.7,1790.4,7429950,-383350,4290,2026-06-30,1800.0,414425,1800.0,252175,0.6659,0.3207
2026-06-24,1820.6,1825.0,5749700,-1680250,10108,2026-06-30,1900.0,396825,1800.0,258500,0.7436,0.3026
2026-06-25,1850.5,1851.2,2998600,-2751100,14063,2026-06-30,1900.0,369325,1800.0,403700,0.8154,0.2203
2026-06-29,1830.1,1833.2,1133275,-1865325,9877,2026-06-30,1920.0,229075,1800.0,307450,0.7312,0.0
2026-07-01,1959.5,1958.8,8481525,345800,4728,2026-07-28,2000.0,499525,1700.0,195000,0.8255,0.3392
2026-07-02,1968.7,1966.0,8499400,17875,2993,2026-07-28,2000.0,512525,1800.0,183300,0.6909,0.3268
2026-07-03,1996.4,1994.4,8341125,-158275,2850,2026-07-28,2000.0,524550,1800.0,190125,0.7545,0.3255
2026-07-06,2046.4,2041.0,8120775,-220350,3467,2026-07-28,2000.0,529100,1800.0,218725,0.6977,0.3293
2026-07-07,2043.1,2037.1,8013200,-107575,2836,2026-07-28,2000.0,542425,1800.0,289575,0.7678,0.327
2026-07-13,2162.5,2155.9,7987525,-191425,4731,2026-07-28,2000.0,509600,2000.0,423475,0.8833,0.3739
2026-07-15,2104.4,2095.9,7805850,-24375,3527,2026-07-28,2000.0,500825,1900.0,406250,0.8304,0.3561
2026-07-16,2090.3,2087.9,7781475,-24375,1607,2026-07-28,2000.0,498550,2000.0,398125,0.8162,0.3426
2026-07-21,2164.3,2153.5,7336225,-136500,2981,2026-07-28,2000.0,492050,1900.0,481975,0.9201,0.3339
