Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,4743.5,4754.0,695625,55250,2215,2026-06-30,4800.0,134625,4500.0,84375,0.7462,0.5306
2026-06-09,4931.0,4961.5,720500,24875,1546,2026-06-30,4600.0,125250,4500.0,89125,0.7019,0.5012
2026-06-10,4866.0,4880.5,780125,59625,1913,2026-06-30,4600.0,76375,4500.0,79125,0.7644,0.4711
2026-06-11,4735.0,4749.0,805375,25250,1292,2026-06-30,4600.0,77125,4500.0,76250,0.7537,0.4646
2026-06-12,4942.0,4967.5,828750,23375,1256,2026-06-30,4600.0,77375,4500.0,77750,0.7232,0.4183
2026-06-15,4805.5,4827.5,876500,47750,1962,2026-06-30,4600.0,86875,4500.0,87250,0.6847,0.4782
2026-06-16,4872.5,4896.0,887000,10500,902,2026-06-30,4600.0,82500,4500.0,87250,0.7122,0.4479
2026-06-17,5152.5,5178.5,950000,63000,2345,2026-06-30,5000.0,143375,4500.0,85750,0.6667,0.5015
2026-06-18,5250.0,5264.0,974125,24125,1733,2026-06-30,5000.0,124250,4500.0,73750,0.7083,0.4878
2026-06-19,5534.0,5533.5,1069000,94875,3843,2026-06-30,5400.0,123375,4500.0,69875,0.6616,0.4868
2026-06-22,5494.5,5507.0,1064500,-4500,1523,2026-06-30,5400.0,125000,4500.0,69875,0.6897,0.5014
2026-06-23,5404.0,5404.0,1050500,-14000,3017,2026-06-30,5400.0,103750,4500.0,34250,0.6043,0.4817
2026-06-24,5052.5,5048.0,838875,-211625,4525,2026-06-30,5400.0,120750,5000.0,56250,0.5129,0.5598
2026-06-25,5043.0,5047.0,419125,-419750,4980,2026-06-30,5400.0,102500,5000.0,54500,0.5457,0.5048
2026-06-29,4956.5,4956.0,125000,-294125,3763,2026-06-30,5500.0,71750,4800.0,39000,0.5379,0.0
2026-07-01,4895.6,4924.4,1340625,18250,1790,2026-07-28,5500.0,108000,5000.0,67000,0.4983,0.5335
2026-07-02,4822.8,4835.9,1264375,-76250,3259,2026-07-28,5500.0,114250,4800.0,66375,0.5327,0.5628
2026-07-03,4401.2,4435.2,1499625,235250,9425,2026-07-28,5000.0,194250,4000.0,83500,0.4692,0.5731
2026-07-06,4554.5,4573.4,1500375,750,4497,2026-07-28,5000.0,179625,4000.0,69125,0.4848,0.5358
2026-07-07,4440.7,4445.9,1519875,19500,2724,2026-07-28,5000.0,196625,4000.0,62125,0.4602,0.5193
2026-07-13,4525.5,4533.6,1414875,6500,2149,2026-07-28,5000.0,153250,4800.0,56750,0.4866,0.5181
2026-07-15,4696.3,4711.6,1575625,40625,3430,2026-07-28,5000.0,156000,5000.0,55125,0.5106,0.4924
2026-07-16,4584.1,4586.5,1542750,-32875,3186,2026-07-28,5000.0,175375,4300.0,127000,0.5872,0.4521
2026-07-21,4487.3,4509.1,1730375,-6125,2396,2026-07-28,5000.0,143375,4300.0,129500,0.6712,0.4499
