Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1140.3,1145.1,9355500,-34000,2110,2026-06-30,1300.0,1068000,1200.0,296000,0.503,0.2739
2026-06-09,1150.5,1157.3,9410000,54500,1172,2026-06-30,1300.0,1005500,1200.0,294500,0.491,0.2678
2026-06-10,1155.5,1158.0,9298500,-111500,1725,2026-06-30,1300.0,1058500,1200.0,288000,0.49,0.2629
2026-06-11,1129.0,1135.4,9340500,42000,1162,2026-06-30,1300.0,1060500,1200.0,284500,0.4697,0.2591
2026-06-12,1154.1,1157.1,9327000,-13500,1614,2026-06-30,1300.0,1148500,1200.0,280000,0.4712,0.244
2026-06-15,1171.2,1175.6,9240500,-86500,2945,2026-06-30,1300.0,1150000,1200.0,266000,0.4365,0.2465
2026-06-16,1180.2,1182.6,9232000,-8500,1916,2026-06-30,1300.0,1032500,1200.0,270000,0.4398,0.2351
2026-06-17,1196.8,1199.9,9377000,145000,3454,2026-06-30,1300.0,981000,1200.0,321000,0.4833,0.241
2026-06-18,1194.4,1198.8,9439500,62500,1590,2026-06-30,1300.0,998000,1200.0,306500,0.4614,0.2388
2026-06-19,1176.3,1180.4,9500000,60500,1451,2026-06-30,1300.0,990000,1200.0,313000,0.4309,0.2375
2026-06-22,1181.3,1184.0,9443500,-56500,1814,2026-06-30,1300.0,1036000,1200.0,314000,0.3983,0.2571
2026-06-23,1174.8,1174.0,9295500,-148000,1553,2026-06-30,1300.0,711000,1200.0,293500,0.4362,0.2313
2026-06-24,1186.2,1189.3,6699000,-2596500,6436,2026-06-30,1200.0,535500,1200.0,224500,0.4678,0.2445
2026-06-25,1178.3,1180.9,3820000,-2879000,6923,2026-06-30,1200.0,429000,1200.0,184000,0.5111,0.198
2026-06-29,1156.1,1155.8,1514000,-2306000,6604,2026-06-30,1200.0,349500,1200.0,162000,0.5363,0.0
2026-07-01,1188.8,1196.0,10236000,40000,4857,2026-07-28,1200.0,493500,1200.0,263500,0.8062,0.2854
2026-07-02,1186.7,1190.1,10265000,29000,1490,2026-07-28,1200.0,530000,1200.0,267500,0.7568,0.2817
2026-07-03,1181.1,1184.1,10201000,-64000,1226,2026-07-28,1200.0,583000,1200.0,275500,0.7379,0.2794
2026-07-06,1181.5,1184.4,10154500,-46500,1068,2026-07-28,1200.0,652500,1200.0,281000,0.7535,0.2966
2026-07-07,1225.0,1230.3,10023000,-131500,5356,2026-07-28,1200.0,461000,1200.0,366500,0.7093,0.3053
