Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1151.3,1153.5,36058400,-436100,5745,2026-06-30,1200.0,1270150,1060.0,585200,0.5988,0.2832
2026-06-09,1146.3,1150.4,35893550,-164850,4181,2026-06-30,1200.0,1264200,1060.0,588000,0.5834,0.2829
2026-06-10,1132.1,1134.8,35596750,-296800,4277,2026-06-30,1200.0,1315300,1060.0,590450,0.6115,0.2888
2026-06-11,1110.2,1114.1,34786150,-810600,8515,2026-06-30,1200.0,1362200,1060.0,591150,0.6104,0.2965
2026-06-12,1109.6,1113.9,35033250,247100,5628,2026-06-30,1200.0,1529500,1060.0,653100,0.572,0.2891
2026-06-15,1119.3,1124.0,35062650,29400,6571,2026-06-30,1200.0,1465800,1060.0,654500,0.5815,0.3009
2026-06-16,1159.0,1158.0,36406300,1343650,15908,2026-06-30,1200.0,1779750,1100.0,866950,0.6187,0.2909
2026-06-17,1166.8,1165.0,36656550,250250,6296,2026-06-30,1200.0,1670200,1100.0,897050,0.6486,0.2831
2026-06-18,1161.8,1158.7,37693600,1037050,9283,2026-06-30,1200.0,1697500,1150.0,920500,0.6435,0.2956
2026-06-19,1131.7,1129.7,37866500,172900,22170,2026-06-30,1200.0,1982400,1100.0,683200,0.61,0.2744
2026-06-22,1130.5,1127.7,37828350,-38150,8081,2026-06-30,1200.0,1807400,1100.0,673400,0.583,0.2757
2026-06-23,1109.5,1108.4,36624350,-1204000,16376,2026-06-30,1200.0,1946700,1150.0,627900,0.5877,0.2895
2026-06-24,1113.9,1115.4,23069550,-13554800,53700,2026-06-30,1200.0,1618050,1100.0,595000,0.5836,0.2632
2026-06-25,1100.7,1103.2,10268300,-12801250,49010,2026-06-30,1200.0,1353450,1100.0,664650,0.5943,0.2631
2026-06-29,1102.4,1100.6,3582600,-6685700,33161,2026-06-30,1200.0,1051050,1060.0,425250,0.6355,0.0
