Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2452.9,2458.5,5953200,-343800,3143,2026-06-30,2746.0,206100,2446.0,109500,0.7932,0.3218
2026-06-09,2503.3,2513.1,5947200,-6000,2719,2026-06-30,2746.0,214500,2446.0,107100,0.7564,0.2892
2026-06-10,2447.7,2452.9,5933700,-13500,2500,2026-06-30,2746.0,244200,2446.0,110100,0.7202,0.3105
2026-06-11,2389.8,2402.7,6031500,97800,2464,2026-06-30,2746.0,239700,2446.0,95400,0.6773,0.3508
2026-06-12,2455.9,2469.3,6222300,190800,4672,2026-06-30,2746.0,227700,2446.0,91800,0.7209,0.2773
2026-06-15,2622.9,2626.6,6034800,-187500,6196,2026-06-30,2746.0,145500,2500.0,128400,0.7509,0.5607
2026-06-16,2658.6,2662.8,5870700,-164100,2648,2026-06-30,2746.0,135600,2500.0,145800,0.8367,0.2772
2026-06-17,2711.1,2715.4,5614800,-255900,3032,2026-06-30,2946.0,134700,2500.0,139800,0.871,0.2739
2026-06-18,2728.1,2731.4,5558400,-56400,1831,2026-06-30,2946.0,134700,2500.0,142800,0.8801,0.4393
2026-06-19,2718.9,2720.3,5544900,-13500,2077,2026-06-30,2946.0,136500,2646.0,96600,0.8023,0.256
2026-06-22,2689.9,2695.7,5515800,-29100,1349,2026-06-30,2700.0,159900,2646.0,97500,0.7367,0.269
2026-06-23,2679.9,2681.5,5400000,-115800,1760,2026-06-30,2700.0,129600,2646.0,90600,0.7356,0.2598
2026-06-24,2625.1,2630.7,3950400,-1449600,7008,2026-06-30,2700.0,158400,2646.0,68400,0.6944,0.2497
2026-06-25,2649.7,2646.0,1918200,-2032200,8535,2026-06-30,2700.0,115200,2646.0,67800,0.7092,0.2073
2026-06-29,2606.6,2615.6,516000,-1402200,5869,2026-06-30,2700.0,87300,2646.0,58200,0.7181,0.0
2026-07-01,2745.8,2754.6,5541300,-168000,3074,2026-07-28,2800.0,114300,2500.0,87300,0.8254,0.3061
2026-07-02,2761.0,2772.1,5463300,-78000,1725,2026-07-28,2800.0,127500,2500.0,88800,0.8879,0.2964
2026-07-03,2800.1,2812.1,5360400,-102900,2227,2026-07-28,2800.0,174900,2700.0,95100,0.9127,0.2968
2026-07-06,2773.4,2780.2,5343000,-17400,1995,2026-07-28,2800.0,173700,2500.0,95400,0.8708,0.3025
2026-07-07,2783.5,2798.0,5407200,64200,2500,2026-07-28,2800.0,250200,2700.0,122100,0.828,0.3028
2026-07-13,2749.0,2757.9,6063300,71400,3386,2026-07-28,2800.0,338100,2600.0,206700,0.8226,0.3739
2026-07-15,2729.4,2740.8,6271500,190500,6757,2026-07-28,2800.0,660300,2700.0,291300,0.633,0.3897
2026-07-16,2602.2,2604.1,6790200,518700,9993,2026-07-28,2800.0,948600,2600.0,321000,0.5337,0.3468
2026-07-21,2581.1,2580.1,5606100,-574800,5032,2026-07-28,2800.0,767100,2600.0,308400,0.5852,0.3442
2026-07-23,2508.7,2505.6,3579900,-1472100,7356,2026-07-28,2700.0,526200,2600.0,218700,0.6567,0.2909
2026-07-27,2551.8,2548.4,875400,-1243500,5034,2026-07-28,2700.0,299700,2600.0,147000,0.7334,0.0
2026-07-29,2541.9,2555.5,6114000,-10200,1464,2026-08-25,2700.0,301800,2500.0,220200,0.7654,0.2861
2026-07-31,2615.8,2627.0,5926200,-208200,3829,2026-08-25,2700.0,255300,2500.0,234900,0.8144,0.269
2026-08-03,2600.53,2581.8,6048000,121800,2282,2026-08-25,2700.0,330000,2500.0,372900,0.8273,0.2837
2026-08-04,2555.98,2551.1,6356100,308100,3243,2026-08-25,2600.0,425100,2500.0,385800,0.7984,0.2812
2026-08-06,2538.11,2549.3,6632100,105900,1079,2026-08-25,2600.0,493500,2500.0,396600,0.7953,0.2815
2026-08-07,2544.89,2553.6,6650700,18600,1119,2026-08-25,2600.0,501600,2500.0,405900,0.774,0.2753
2026-08-11,2515.1,2528.7,6851100,195000,2973,2026-08-25,2600.0,489000,2500.0,423900,0.7462,0.2864
2026-08-12,2490.07,2501.0,7061700,210600,2522,2026-08-25,2600.0,510900,2500.0,378000,0.6696,0.2793
2026-08-13,2499.41,2499.6,7239300,177600,1284,2026-08-25,2600.0,524100,2500.0,388500,0.6801,0.2743
