Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,738.65,729.95,367522650,-1186900,34839,2026-06-30,800.0,19650950,750.0,7000950,0.5649,0.2551
2026-06-09,738.35,730.85,371100400,3577750,55647,2026-06-30,800.0,20093150,750.0,7306750,0.5563,0.2591
2026-06-10,746.85,738.8,373354300,2253900,71220,2026-06-30,800.0,20519400,750.0,7667000,0.5787,0.2438
2026-06-11,744.6,735.4,376410650,3056350,49026,2026-06-30,800.0,21059500,750.0,7847400,0.5621,0.2517
2026-06-12,772.45,761.75,372958850,-3451800,64751,2026-06-30,800.0,17380550,750.0,8132850,0.6257,0.2397
2026-06-15,777.35,766.6,364823800,-8135050,73698,2026-06-30,800.0,16429050,750.0,7296300,0.6186,0.249
2026-06-16,784.9,773.7,360881400,-3942400,34815,2026-06-30,800.0,15453350,750.0,6905800,0.6386,0.2483
2026-06-17,787.1,775.6,355238950,-5642450,40321,2026-06-30,800.0,15074950,750.0,6707250,0.6488,0.2407
2026-06-18,798.95,787.9,345084850,-10154100,90185,2026-06-30,800.0,14591500,750.0,6575800,0.7075,0.25
2026-06-19,779.8,781.3,333979250,-11105600,67747,2026-06-30,800.0,14968800,750.0,6288700,0.6519,0.2131
2026-06-22,786.4,786.6,312883450,-21095800,60060,2026-06-30,800.0,14524400,750.0,6103350,0.6834,0.2184
2026-06-23,774.65,775.15,278401200,-34482250,86709,2026-06-30,800.0,13747800,750.0,4755300,0.6371,0.2189
2026-06-24,793.2,792.7,195261000,-83140200,187686,2026-06-30,800.0,11721050,780.0,4992350,0.774,0.2162
2026-06-25,796.25,796.55,115621000,-79640000,182503,2026-06-30,800.0,7279800,780.0,4741550,0.8771,0.1763
2026-06-29,798.9,798.45,54853150,-60767850,132777,2026-06-30,800.0,6542800,780.0,4054050,0.933,0.0
2026-07-01,796.15,801.3,328784300,398450,24659,2026-07-28,800.0,18006950,800.0,8090550,0.6445,0.249
2026-07-02,795.95,800.25,328745950,-38350,31090,2026-07-28,800.0,18255900,800.0,8503950,0.6353,0.2486
2026-07-03,801.05,805.2,326141400,-2604550,20830,2026-07-28,800.0,16575650,800.0,9002500,0.6601,0.2416
2026-07-06,829.85,831.65,320654750,-5486650,63431,2026-07-28,800.0,13973700,800.0,10264150,0.6437,0.2228
2026-07-07,829.3,831.05,311862200,-8792550,55701,2026-07-28,800.0,13436800,800.0,10179000,0.6079,0.2066
2026-07-13,817.95,820.05,291788250,-1429350,30214,2026-07-28,800.0,11575200,800.0,9623250,0.5937,0.2379
2026-07-15,815.45,816.0,279261450,-4452500,25923,2026-07-28,800.0,11898900,800.0,9522500,0.5631,0.2448
2026-07-16,808.3,810.75,275375750,-3885700,20276,2026-07-28,800.0,11872900,800.0,9043450,0.5385,0.259
2026-07-21,761.45,762.95,239511350,-19186050,65024,2026-07-28,800.0,15643550,780.0,7398950,0.4655,0.258
2026-07-23,747.3,748.4,142971400,-55670550,104491,2026-07-28,800.0,14633450,780.0,6788600,0.4983,0.2299
2026-07-27,739.55,741.1,42729700,-42473600,83636,2026-07-28,800.0,11245650,800.0,4217850,0.4462,0.0
2026-07-29,748.2,750.75,297655800,-790400,29245,2026-08-25,800.0,15260700,750.0,7361900,0.5568,0.2292
2026-07-31,748.15,752.0,297540100,3604900,25005,2026-08-25,800.0,17219800,750.0,8563750,0.5122,0.2167
2026-08-03,753.0,753.9,297734450,195000,22258,2026-08-25,800.0,17938700,750.0,8481850,0.4982,0.2177
2026-08-04,741.98,743.7,300145300,2410850,28638,2026-08-25,800.0,19190600,750.0,8637200,0.476,0.2298
2026-08-06,734.82,739.4,314632500,5504850,35603,2026-08-25,750.0,21776950,750.0,10726300,0.4847,0.2438
2026-08-07,731.02,736.45,313832350,-800150,22139,2026-08-25,750.0,23688600,750.0,10767900,0.4751,0.248
2026-08-11,729.0,732.6,314560350,884000,18827,2026-08-25,750.0,23802350,750.0,10570950,0.4811,0.2474
2026-08-12,729.0,733.0,314848950,288600,28398,2026-08-25,750.0,23693800,750.0,10407150,0.5049,0.2437
2026-08-13,725.61,729.9,316305600,1456650,15985,2026-08-25,750.0,24522550,750.0,10580050,0.5126,0.2467
2026-08-14,727.0,729.5,316098900,-206700,12433,2026-08-25,750.0,24259950,750.0,10423400,0.5117,0.2316
2026-08-19,720.0,722.2,265762250,-35706450,71264,2026-08-25,750.0,21746400,720.0,9654450,0.525,0.1836
2026-08-27,711.44,716.85,351559650,-449150,47970,2026-09-29,730.0,16572400,730.0,9207250,0.6663,0.1933
