Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,564.55,562.75,47608000,-794200,4224,2026-06-30,600.0,2894100,585.0,1879900,0.6,0.2509
2026-06-09,560.6,562.2,47206500,-401500,4674,2026-06-30,600.0,3199900,540.0,1861200,0.5965,0.2414
2026-06-10,549.55,548.2,46891900,-314600,4283,2026-06-30,600.0,3437500,540.0,1848000,0.553,0.2475
2026-06-11,545.3,544.05,45131900,-1760000,6187,2026-06-30,600.0,3251600,540.0,1905200,0.6157,0.2442
2026-06-12,555.35,556.15,44584100,-547800,4845,2026-06-30,600.0,3326400,550.0,1893100,0.63,0.2246
2026-06-15,581.2,580.55,41200500,-3383600,7044,2026-06-30,650.0,2944700,550.0,2576200,0.7416,0.2212
2026-06-16,574.4,574.65,41493100,292600,3272,2026-06-30,580.0,4085400,550.0,2588300,0.6462,0.2296
2026-06-17,581.8,581.35,41518400,25300,2124,2026-06-30,600.0,3092100,550.0,2475000,0.6764,0.2173
2026-06-18,591.3,590.75,40602100,-916300,4136,2026-06-30,600.0,3202100,550.0,2184600,0.6464,0.2036
2026-06-19,591.85,592.2,38328400,-2273700,4760,2026-06-30,650.0,2773100,550.0,2065800,0.6393,0.194
2026-06-22,598.15,598.55,36353900,-1974500,5311,2026-06-30,650.0,2747800,550.0,2038300,0.6578,0.1998
2026-06-23,597.45,596.2,34849100,-1504800,4674,2026-06-30,650.0,2600400,600.0,2054800,0.6577,0.1815
2026-06-24,591.75,592.3,26556200,-8292900,9215,2026-06-30,650.0,2319900,550.0,1992100,0.7231,0.1903
2026-06-25,585.45,585.85,15240500,-11315700,11559,2026-06-30,600.0,2425500,550.0,1987700,0.7354,0.161
2026-06-29,583.25,584.05,6317300,-8923200,9633,2026-06-30,600.0,2127400,550.0,1978900,0.7216,0.0
2026-07-01,569.95,573.5,37455000,382800,3953,2026-07-28,580.0,1956900,570.0,1771000,0.7228,0.2575
