Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,372.75,374.2,32003100,-577125,2178,2026-06-30,450.0,2697300,380.0,1142100,0.6481,0.3409
2026-06-09,382.0,384.4,34135425,2132325,3319,2026-06-30,450.0,2624400,380.0,1202850,0.6649,0.3366
2026-06-10,374.4,376.05,34435125,299700,2503,2026-06-30,450.0,2571750,380.0,1298025,0.6345,0.3341
2026-06-11,365.7,367.5,35016300,581175,4228,2026-06-30,450.0,2547450,380.0,1265625,0.6213,0.3443
2026-06-12,388.9,390.6,36741600,1725300,7271,2026-06-30,450.0,2425950,350.0,1460025,0.7053,0.3503
2026-06-15,401.65,402.4,36539100,-202500,5186,2026-06-30,450.0,2466450,350.0,1417500,0.6393,0.3614
2026-06-16,401.8,403.45,36642375,103275,2158,2026-06-30,450.0,2415825,400.0,1196775,0.6089,0.3339
2026-06-17,402.65,404.15,36889425,247050,2966,2026-06-30,410.0,2640600,400.0,1221075,0.555,0.3344
2026-06-18,401.6,402.2,36727425,-162000,2080,2026-06-30,400.0,2891700,400.0,1178550,0.5314,0.3273
2026-06-19,392.1,393.6,36863100,135675,1869,2026-06-30,400.0,3229875,400.0,1166400,0.5067,0.3208
2026-06-22,393.25,393.5,36373050,-490050,2306,2026-06-30,400.0,3375675,400.0,1190700,0.5073,0.3312
2026-06-23,396.75,396.9,34396650,-1976400,3790,2026-06-30,400.0,3343275,400.0,1162350,0.484,0.3121
2026-06-24,412.9,413.65,27199800,-7196850,6895,2026-06-30,450.0,2446200,400.0,1010475,0.5142,0.3111
2026-06-25,409.25,408.75,17113275,-10086525,6683,2026-06-30,450.0,2423925,400.0,807975,0.532,0.2102
2026-06-29,389.6,391.05,8237700,-8875575,5375,2026-06-30,450.0,2170800,395.0,506250,0.525,0.0
2026-07-01,392.1,394.3,40747050,1221075,1772,2026-07-28,400.0,3377700,400.0,1573425,0.6588,0.2955
2026-07-02,399.55,402.0,41316075,569025,3822,2026-07-28,400.0,3242025,400.0,1545075,0.6562,0.2975
2026-07-03,399.25,400.25,41443650,127575,1238,2026-07-28,400.0,3233925,400.0,1547100,0.6665,0.2996
2026-07-06,400.35,401.3,41502375,58725,1396,2026-07-28,400.0,3304800,400.0,1532925,0.6365,0.299
2026-07-07,405.95,406.6,40803750,-698625,2277,2026-07-28,400.0,3140775,400.0,1624050,0.6245,0.2833
2026-07-13,391.6,393.4,38126700,1393200,2783,2026-07-28,400.0,4025700,400.0,1518750,0.7388,0.3229
2026-07-15,394.4,395.95,39398400,1097550,3097,2026-07-28,400.0,4056075,380.0,1518750,0.7972,0.3725
2026-07-16,399.4,400.7,39744675,346275,2459,2026-07-28,400.0,3918375,400.0,1504575,0.7465,0.369
2026-07-21,406.95,406.85,37851300,-2124225,3749,2026-07-28,400.0,3264300,400.0,2804625,0.792,0.3888
2026-07-23,385.15,384.65,27459000,-8577900,8840,2026-07-28,400.0,3235950,380.0,1589625,0.857,0.2999
2026-07-27,393.9,394.95,12245175,-5303475,4440,2026-07-28,400.0,1251450,390.0,1237275,1.0264,0.0
2026-07-29,392.7,395.1,41964075,637875,1698,2026-08-25,400.0,2205225,400.0,1387125,0.9022,0.2934
2026-07-31,389.75,391.8,44471025,1010475,2540,2026-08-25,400.0,3804975,400.0,1417500,0.7645,0.2786
2026-08-03,394.97,395.0,44924625,453600,1753,2026-08-25,400.0,4047975,400.0,1300050,0.7141,0.2922
2026-08-04,391.51,393.45,44618850,-305775,1042,2026-08-25,400.0,4080375,400.0,1293975,0.6918,0.2873
2026-08-06,395.01,397.05,45285075,291600,1486,2026-08-25,400.0,4244400,400.0,1316250,0.6011,0.2834
2026-08-07,393.05,394.7,45266850,-18225,1665,2026-08-25,400.0,3517425,400.0,1312200,0.6113,0.2883
