Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2110.1,2101.0,15724800,706800,5691,2026-06-30,2300.0,1432200,2100.0,595500,0.4615,0.2112
2026-06-09,2132.8,2124.9,15966900,242100,3768,2026-06-30,2300.0,1433400,2100.0,590700,0.4487,0.1971
2026-06-10,2169.5,2156.0,15850800,-116100,8792,2026-06-30,2300.0,1350900,2100.0,561600,0.4621,0.1982
2026-06-11,2139.8,2128.3,16023300,172500,2828,2026-06-30,2300.0,1279800,2100.0,539400,0.4533,0.1983
2026-06-12,2168.8,2157.9,16320300,297000,4806,2026-06-30,2200.0,1439700,2100.0,514500,0.4458,0.1901
2026-06-15,2156.1,2144.7,16916100,595800,6003,2026-06-30,2200.0,1459500,2100.0,524100,0.4502,0.212
2026-06-16,2200.0,2184.8,17072400,156300,6379,2026-06-30,2300.0,1328100,2100.0,543600,0.4494,0.1946
2026-06-17,2197.6,2183.9,17164800,92400,5170,2026-06-30,2300.0,1230600,2100.0,561000,0.442,0.2063
2026-06-18,2218.5,2200.5,17201400,36600,3314,2026-06-30,2300.0,1290000,2100.0,614700,0.4502,0.2046
2026-06-19,2194.6,2181.4,17213700,12300,4926,2026-06-30,2300.0,1248900,2100.0,607200,0.411,0.2109
2026-06-22,2184.9,2169.0,17142600,-71100,2781,2026-06-30,2200.0,1484400,2100.0,646800,0.4019,0.2201
2026-06-23,2160.1,2162.8,16896600,-246000,3671,2026-06-30,2200.0,1418100,2100.0,594900,0.4314,0.2049
2026-06-24,2157.8,2162.1,13641900,-3254700,12983,2026-06-30,2200.0,1357200,2100.0,569400,0.4294,0.2029
2026-06-25,2174.1,2176.8,7653300,-5988600,22973,2026-06-30,2220.0,917700,2100.0,406800,0.4877,0.1614
2026-06-29,2151.3,2158.0,2899800,-4753500,18770,2026-06-30,2180.0,821700,2100.0,368400,0.508,0.0
2026-07-01,2182.0,2195.7,17538000,567300,10741,2026-07-28,2200.0,1264200,2200.0,469500,0.6705,0.2196
2026-07-02,2210.6,2223.8,18390900,852900,9317,2026-07-28,2200.0,1060200,2200.0,476100,0.7359,0.2194
2026-07-03,2201.2,2214.6,18157200,-233700,6842,2026-07-28,2200.0,1033800,2200.0,483600,0.7598,0.2166
2026-07-06,2202.0,2214.0,18501000,343800,5618,2026-07-28,2200.0,1054500,2200.0,471600,0.7565,0.2235
2026-07-07,2208.8,2217.9,18520200,19200,6234,2026-07-28,2200.0,1030800,2100.0,454800,0.7543,0.2197
2026-07-13,2130.6,2139.9,17824500,161400,3613,2026-07-28,2200.0,1269300,2140.0,575400,0.7095,0.2426
2026-07-15,2102.6,2110.4,18104700,221400,4928,2026-07-28,2200.0,1559700,2100.0,649800,0.683,0.2468
2026-07-16,2098.4,2106.7,18668100,563400,4517,2026-07-28,2200.0,1554600,2100.0,684300,0.669,0.2483
2026-07-21,2142.5,2143.3,18122400,-304500,2706,2026-07-28,2200.0,1481100,2100.0,669600,0.7235,0.2673
2026-07-23,2161.8,2161.2,13860300,-3410700,15653,2026-07-28,2200.0,1391700,2100.0,582000,0.7348,0.2451
2026-07-27,2174.5,2174.8,4868400,-3907800,17530,2026-07-28,2200.0,1355700,2140.0,555000,0.7646,0.0
2026-07-29,2117.8,2130.5,15471000,-2023500,26952,2026-08-25,2200.0,1716300,2100.0,964800,0.6295,0.1878
2026-07-31,2101.3,2106.1,15000900,-231600,3803,2026-08-25,2200.0,2214000,2100.0,920100,0.5418,0.1769
2026-08-03,2137.97,2119.6,14829900,-171000,3399,2026-08-25,2200.0,2216700,2100.0,843300,0.5417,0.1815
