Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,556.0,557.5,30890825,-188650,3082,2026-06-30,700.0,5588450,540.0,1674575,0.5212,0.3526
2026-06-09,563.65,567.2,30323650,-567175,2860,2026-06-30,700.0,5540675,540.0,1700300,0.5333,0.3392
2026-06-10,547.55,548.5,28966350,-1357300,5942,2026-06-30,700.0,5208700,540.0,1738275,0.5071,0.3505
2026-06-11,545.0,547.7,29094975,128625,2985,2026-06-30,700.0,4885300,540.0,1738275,0.5039,0.3568
2026-06-12,559.9,562.9,29422050,327075,2560,2026-06-30,700.0,4843650,540.0,1750525,0.5187,0.3286
2026-06-15,563.85,566.85,30050475,628425,3958,2026-06-30,700.0,4761575,580.0,1358525,0.4783,0.3624
2026-06-16,564.3,565.95,29959825,-90650,1824,2026-06-30,700.0,3761975,580.0,1359750,0.5093,0.3443
2026-06-17,572.55,573.55,29832425,-127400,2306,2026-06-30,700.0,3245025,560.0,1259300,0.5031,0.3317
2026-06-18,571.45,572.35,29542100,-290325,2353,2026-06-30,700.0,3025750,570.0,1271550,0.509,0.3143
2026-06-19,563.55,563.9,29080275,-461825,2660,2026-06-30,650.0,2846900,560.0,1200500,0.5125,0.3235
2026-06-22,573.1,573.75,28488600,-591675,1947,2026-06-30,650.0,2930200,570.0,1392825,0.5212,0.3445
2026-06-23,546.8,546.3,26916925,-1571675,4758,2026-06-30,650.0,2783200,550.0,1087800,0.5134,0.3817
2026-06-24,541.95,542.95,22340325,-4576600,5832,2026-06-30,650.0,2377725,540.0,972650,0.521,0.3035
2026-06-25,518.05,518.3,14802900,-7537425,9305,2026-06-30,650.0,2261350,600.0,779100,0.5082,0.3379
2026-06-29,525.5,524.7,7138075,-7664825,7535,2026-06-30,650.0,2066575,600.0,645575,0.52,0.0
2026-07-01,524.4,527.6,32652375,858725,2664,2026-07-28,600.0,3111500,500.0,1989400,0.6121,0.3286
2026-07-02,528.7,530.5,32954950,302575,2158,2026-07-28,550.0,3450825,500.0,2107000,0.566,0.3268
