Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1894.7,1900.6,7803125,-97075,1882,2026-06-30,2000.0,143825,1900.0,157300,0.8462,0.3358
2026-06-09,1898.6,1905.1,7705500,-97625,1687,2026-06-30,2000.0,139975,1900.0,157300,0.7894,0.3339
2026-06-10,1891.0,1895.0,7472850,-232650,3572,2026-06-30,2000.0,136400,1800.0,147675,0.8032,0.3277
2026-06-11,1940.1,1950.1,7832550,359700,4627,2026-06-30,2000.0,157300,1900.0,178750,0.7902,0.3337
2026-06-12,1990.1,1995.2,7807800,-24750,5494,2026-06-30,2100.0,160875,1900.0,188375,0.8648,0.2932
2026-06-15,2030.1,2033.2,7947775,139975,3267,2026-06-30,2100.0,173250,1900.0,166650,0.9295,0.2933
2026-06-16,1974.7,1978.0,7886450,-61325,2686,2026-06-30,2100.0,213950,1900.0,180675,0.6931,0.2889
2026-06-17,1976.7,1981.1,7811375,-75075,1634,2026-06-30,2120.0,163075,1900.0,169675,0.6869,0.2955
2026-06-18,1976.6,1979.1,7490725,-320650,2762,2026-06-30,2120.0,163350,1900.0,155925,0.6377,0.3213
2026-06-19,1973.2,1976.9,7408775,-81950,751,2026-06-30,2120.0,164725,1900.0,150700,0.6404,0.2951
2026-06-22,1988.8,1988.7,7319950,-88825,1215,2026-06-30,2120.0,164725,1900.0,145750,0.6252,0.305
2026-06-23,1968.9,1968.9,7059525,-260425,3025,2026-06-30,2120.0,164725,1900.0,175725,0.678,0.2752
2026-06-24,1942.2,1943.1,5476350,-1583175,9393,2026-06-30,2100.0,169125,1900.0,149325,0.6536,0.2566
2026-06-25,1969.4,1968.3,3257925,-2218425,11228,2026-06-30,2200.0,184250,1900.0,176000,0.6182,0.2246
2026-06-29,1892.7,1891.8,1949475,-1308450,6071,2026-06-30,2200.0,150700,1800.0,141075,0.5377,0.0
2026-07-01,1918.3,1919.1,5155975,-30525,4215,2026-07-28,2000.0,189475,1900.0,84700,0.854,0.3215
2026-07-02,1950.7,1958.8,5284125,128150,3625,2026-07-28,2000.0,169950,1900.0,91025,0.845,0.3146
2026-07-03,1993.4,2003.5,5104825,-179300,3440,2026-07-28,2000.0,156475,1900.0,111650,0.7844,0.2861
2026-07-06,2004.4,2007.5,4997025,-107800,1809,2026-07-28,2000.0,157025,1900.0,110000,0.7383,0.2889
2026-07-07,1980.4,1976.8,4880975,-116050,2175,2026-07-28,2000.0,158950,1900.0,119625,0.7199,0.2704
2026-07-13,1994.4,1987.9,4325750,-55550,2941,2026-07-28,2100.0,222200,1900.0,111375,0.5734,0.3141
2026-07-15,2002.9,2005.8,4818275,455950,8875,2026-07-28,2040.0,493075,2040.0,193325,0.4943,0.3379
2026-07-16,2024.8,2010.6,4713775,-104500,6959,2026-07-28,2100.0,331650,2040.0,199650,0.5258,0.3295
2026-07-21,1957.4,1965.6,4679125,227150,3938,2026-07-28,2100.0,333025,1860.0,176825,0.5723,0.2719
2026-07-23,1954.4,1960.6,3617625,-1136025,6482,2026-07-28,2040.0,292875,1860.0,172700,0.6066,0.2868
2026-07-27,1983.9,1988.8,854975,-1143175,6019,2026-07-28,2100.0,216425,1860.0,171325,0.7091,0.0
2026-07-29,1992.9,1980.2,3942125,-1375,1795,2026-08-25,2000.0,492250,1900.0,196900,0.7708,0.346
2026-07-31,2180.8,2164.2,4074950,25300,14959,2026-08-25,2200.0,451000,2000.0,466675,1.0104,0.29
2026-08-03,2206.93,2176.7,4030400,-44550,7291,2026-08-25,2200.0,328625,2000.0,447700,1.0338,0.288
2026-08-04,2219.05,2196.8,3959175,-71225,2992,2026-08-25,2200.0,275550,2000.0,456500,1.1218,0.2822
2026-08-06,2211.86,2205.1,3700950,-86350,2357,2026-08-25,2200.0,234850,2000.0,459250,1.142,0.2824
2026-08-07,2200.44,2207.4,3625050,-75900,1083,2026-08-25,2200.0,220825,2000.0,471900,1.1046,0.2646
2026-08-11,2200.0,2214.9,3447950,-193875,1870,2026-08-25,2000.0,212300,2000.0,484550,1.154,0.2744
2026-08-12,2239.17,2248.0,3266450,-181500,2739,2026-08-25,2000.0,214225,2000.0,419925,1.1208,0.2836
2026-08-13,2234.91,2239.5,3267000,550,2427,2026-08-25,2000.0,213125,2000.0,393525,0.9772,0.2702
