Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1738.4,1745.1,4335825,3250,823,2026-06-30,2000.0,266175,1640.0,56550,0.4685,0.2268
2026-06-09,1777.7,1784.4,4315675,-20150,2043,2026-06-30,2000.0,266175,1760.0,70200,0.4957,0.2279
2026-06-10,1732.2,1735.5,4255225,-60450,1174,2026-06-30,2000.0,267800,1760.0,68575,0.4679,0.2329
2026-06-11,1712.4,1718.3,4290325,35100,701,2026-06-30,2000.0,316225,1760.0,66625,0.4067,0.2324
2026-06-12,1696.8,1699.3,4381000,90675,3100,2026-06-30,2000.0,272675,1700.0,75400,0.4499,0.227
2026-06-15,1734.1,1737.2,4380350,-650,1756,2026-06-30,2000.0,269750,1660.0,69225,0.503,0.2197
2026-06-16,1783.6,1786.2,4303975,-76375,1618,2026-06-30,2000.0,267475,1700.0,148850,0.6389,0.2151
2026-06-17,1790.5,1791.6,4376125,72150,1844,2026-06-30,2000.0,266175,1700.0,153725,0.6256,0.2118
2026-06-18,1839.0,1846.8,4485650,109525,1938,2026-06-30,2000.0,257400,1760.0,165425,0.7546,0.2014
2026-06-19,1870.1,1871.7,4355325,-130325,2477,2026-06-30,2000.0,256100,1780.0,109850,0.7914,0.1951
2026-06-22,1860.2,1864.9,4195100,-160225,1196,2026-06-30,2000.0,254475,1800.0,103675,0.6657,0.2098
2026-06-23,1832.5,1832.8,4115150,-79950,910,2026-06-30,2000.0,254800,1780.0,140725,0.609,0.1965
2026-06-24,1821.7,1825.1,3040700,-1074450,3731,2026-06-30,2000.0,253500,1780.0,142350,0.6271,0.185
2026-06-25,1813.6,1817.4,1218100,-1822600,6503,2026-06-30,2000.0,246025,1780.0,84825,0.551,0.1686
2026-06-29,1768.1,1770.0,390325,-827775,2867,2026-06-30,1900.0,127725,1640.0,76375,0.6977,0.0
2026-07-01,1757.6,1765.2,4758975,4225,851,2026-07-28,2000.0,119600,1760.0,75400,0.6589,0.2596
2026-07-02,1761.0,1769.0,4689425,-69550,914,2026-07-28,2000.0,122850,1760.0,89050,0.6502,0.2621
2026-07-03,1772.8,1777.5,4684225,-5200,552,2026-07-28,2000.0,168675,1760.0,92625,0.4798,0.2665
2026-07-06,1785.4,1790.0,4680000,-4225,334,2026-07-28,1900.0,167700,1760.0,95225,0.4695,0.2773
