Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,475.4,476.65,17300275,150775,1948,2026-06-30,520.0,687275,470.0,559625,0.6261,0.2819
2026-06-09,474.75,477.85,17535225,234950,1482,2026-06-30,520.0,671550,470.0,554075,0.644,0.2753
2026-06-10,465.8,468.3,17657325,122100,1598,2026-06-30,500.0,682650,470.0,583675,0.6302,0.8263
2026-06-11,460.4,462.75,17934825,277500,1685,2026-06-30,500.0,1026750,470.0,589225,0.6417,0.2721
2026-06-12,468.15,470.95,18067100,132275,2151,2026-06-30,500.0,1181225,470.0,557775,0.6453,0.2566
2026-06-15,486.15,487.75,17974600,-92500,2921,2026-06-30,500.0,879675,470.0,803825,0.7585,0.2628
2026-06-16,490.35,491.35,17766475,-208125,1798,2026-06-30,500.0,804750,470.0,774225,0.7974,0.2545
2026-06-17,503.7,503.75,17367800,-398675,2506,2026-06-30,520.0,861175,470.0,826950,0.9095,0.2572
2026-06-18,522.1,524.3,16822975,-544825,4294,2026-06-30,520.0,511525,495.0,558700,1.0165,0.2535
2026-06-19,500.3,502.45,17627725,804750,3561,2026-06-30,520.0,872275,520.0,576275,0.819,0.2618
2026-06-22,506.3,507.6,17731325,103600,1714,2026-06-30,540.0,660450,520.0,576275,0.8448,0.2718
2026-06-23,498.6,498.8,17431625,-299700,1811,2026-06-30,520.0,750175,480.0,617900,0.839,0.2631
2026-06-24,496.35,497.1,13454125,-3977500,5484,2026-06-30,520.0,694675,480.0,595700,0.912,0.2368
2026-06-25,491.05,491.35,7880075,-5574050,6718,2026-06-30,520.0,574425,480.0,662300,0.8865,0.202
2026-06-29,492.4,490.25,3036775,-4843300,6027,2026-06-30,520.0,557775,475.0,602175,0.8663,0.0
2026-07-01,492.95,494.9,17039425,-36075,993,2026-07-28,550.0,478225,500.0,232175,0.6132,0.3164
2026-07-02,495.95,498.7,16946000,-93425,1084,2026-07-28,520.0,532800,500.0,271950,0.6197,0.3203
2026-07-03,485.25,487.45,18032875,1086875,2956,2026-07-28,500.0,638250,480.0,487475,0.6865,0.3247
2026-07-06,485.1,486.75,18821900,789025,3680,2026-07-28,500.0,701150,480.0,501350,0.6019,0.3299
2026-07-07,487.85,489.3,19397250,575350,3806,2026-07-28,500.0,718725,480.0,518925,0.6756,0.3291
2026-07-13,519.7,521.6,19461075,-1006400,5116,2026-07-28,560.0,986050,480.0,616975,0.7241,0.3846
2026-07-15,525.15,525.05,19266825,-148925,14156,2026-07-28,550.0,1208050,480.0,651200,0.6554,0.3458
2026-07-16,508.85,509.1,20179800,912975,7819,2026-07-28,530.0,1244125,480.0,801975,0.657,0.3036
2026-07-21,500.5,500.5,19161375,-290450,1533,2026-07-28,560.0,1667775,480.0,761275,0.5316,0.3026
2026-07-23,501.5,500.85,12937975,-4829425,6351,2026-07-28,530.0,1972100,480.0,691900,0.6379,0.2716
2026-07-27,509.8,509.3,2045175,-5358525,6690,2026-07-28,530.0,885225,475.0,631775,0.7676,0.0
2026-07-29,511.65,513.3,19184500,-186850,1080,2026-08-25,520.0,531875,500.0,443075,0.7427,0.2572
2026-07-31,515.4,517.15,18608225,-153550,868,2026-08-25,520.0,748325,500.0,506900,0.7033,0.2445
2026-08-03,522.28,519.25,18245625,-362600,2164,2026-08-25,520.0,742775,500.0,486550,0.6821,0.2564
2026-08-04,513.54,508.9,17839550,-406075,3773,2026-08-25,520.0,992525,500.0,567025,0.6489,0.279
2026-08-06,507.01,507.7,17567600,-365375,2774,2026-08-25,520.0,934250,500.0,517075,0.6333,0.264
2026-08-07,501.05,504.9,17797000,229400,1587,2026-08-25,520.0,973100,500.0,528175,0.6028,0.2674
2026-08-11,501.5,498.35,17994025,-144300,1957,2026-08-25,520.0,1131275,500.0,623450,0.6366,0.258
2026-08-12,506.4,502.95,17783125,-210900,1741,2026-08-25,520.0,1088725,500.0,629000,0.634,0.251
2026-08-13,506.98,507.05,17743350,-39775,1272,2026-08-25,520.0,982350,500.0,625300,0.6333,0.2484
2026-08-14,509.13,507.65,18180875,437525,1748,2026-08-25,520.0,969400,500.0,654900,0.6271,0.2298
2026-08-19,499.51,499.65,15654700,-1712175,2447,2026-08-25,520.0,998075,500.0,618825,0.6419,0.2219
2026-08-27,510.0,511.25,15591800,-42550,862,2026-09-29,520.0,501350,520.0,335775,1.0004,0.2223
