Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,894.95,895.9,35589400,142100,3419,2026-06-30,900.0,724500,900.0,974400,0.9441,0.2949
2026-06-09,922.85,926.05,35283500,-305900,6764,2026-06-30,930.0,728000,900.0,1025500,1.0261,0.2748
2026-06-10,883.95,885.3,35391300,107800,6263,2026-06-30,900.0,856800,900.0,971600,0.8399,0.3079
2026-06-11,888.95,888.95,35371700,-19600,2747,2026-06-30,900.0,888300,900.0,990500,0.8526,0.2932
2026-06-12,917.35,920.2,35422100,50400,4323,2026-06-30,930.0,690900,900.0,1054200,1.0322,0.2581
2026-06-15,933.2,933.0,35638400,216300,8762,2026-06-30,1000.0,708400,900.0,1005900,0.9635,0.2759
2026-06-16,926.0,928.8,35758100,119700,3047,2026-06-30,940.0,723100,900.0,958300,0.9099,0.2663
2026-06-17,935.45,936.65,35658000,-100100,3138,2026-06-30,1000.0,1283800,900.0,980700,0.8214,0.2719
2026-06-18,938.75,938.6,35346500,-311500,3197,2026-06-30,940.0,1136100,900.0,985600,0.8636,0.2627
2026-06-19,947.45,946.1,33890500,-1456000,6901,2026-06-30,940.0,830900,900.0,1033900,0.8696,0.26
2026-06-22,921.1,921.95,33618200,-272300,3958,2026-06-30,940.0,1789200,900.0,1002400,0.6803,0.2922
2026-06-23,905.45,903.7,30589300,-3028900,6929,2026-06-30,940.0,1309700,900.0,966000,0.686,0.286
2026-06-24,927.6,927.65,24458000,-6131300,11674,2026-06-30,940.0,830900,900.0,885500,0.7755,0.2753
2026-06-25,918.95,918.35,11727100,-12730900,21158,2026-06-30,940.0,907900,900.0,760900,0.7213,0.2552
2026-06-29,915.4,914.7,3983000,-7744100,13408,2026-06-30,940.0,742000,900.0,489300,0.7016,0.0
2026-07-01,941.6,945.15,40984300,245700,4414,2026-07-28,950.0,1935500,900.0,1092000,0.7742,0.3031
2026-07-02,943.5,947.35,41799800,815500,4460,2026-07-28,950.0,1995700,900.0,1106700,0.756,0.306
2026-07-03,974.4,979.7,41814500,14700,13983,2026-07-28,950.0,1634500,900.0,1204000,0.7683,0.3194
2026-07-06,1009.8,1012.0,40009900,-1804600,13906,2026-07-28,1000.0,1685600,950.0,992600,0.8457,0.3086
2026-07-07,1022.2,1023.55,38551100,-1458800,9369,2026-07-28,1000.0,1683500,950.0,1054900,0.8552,0.2937
2026-07-13,1012.9,1016.3,36390900,-220500,2710,2026-07-28,1000.0,1621900,1000.0,894600,0.8473,0.3506
2026-07-15,1009.65,1011.65,36008700,-312900,4432,2026-07-28,1000.0,1612100,1000.0,1134700,0.8575,0.3833
2026-07-16,1013.5,1014.05,35564900,-443800,2700,2026-07-28,1000.0,1579200,1000.0,1243200,0.8573,0.3813
2026-07-21,1063.5,1064.85,33170900,-555800,10956,2026-07-28,1000.0,919100,1000.0,1598100,1.0049,0.4487
2026-07-23,1005.5,1003.1,25108300,-7088900,21058,2026-07-28,1020.0,1149400,1000.0,1446900,0.6978,0.2978
2026-07-27,1007.05,1007.1,5245800,-8806000,16088,2026-07-28,1000.0,711200,1000.0,646800,0.82,0.0
2026-07-29,1012.3,1013.8,34618500,-584500,2942,2026-08-25,1000.0,922600,1000.0,1199100,0.8149,0.2534
2026-07-31,1012.45,1010.25,34045900,-142100,4032,2026-08-25,1050.0,1203300,1000.0,1029000,0.579,0.2457
2026-08-03,1028.9,1016.9,33721100,-324800,1921,2026-08-25,1050.0,1199800,1000.0,968100,0.5461,0.2632
