Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,135.61,136.02,108605250,-658125,1701,2026-06-30,150.0,6795750,145.0,3461250,0.8536,0.2806
2026-06-09,138.14,139.04,111432750,2827500,3082,2026-06-30,150.0,6820125,145.0,3363750,0.8393,0.274
2026-06-10,136.88,137.48,112266375,833625,2356,2026-06-30,150.0,6742125,130.0,3436875,0.8597,0.2747
2026-06-11,134.24,134.9,113119500,853125,1536,2026-06-30,150.0,6829875,145.0,3324750,0.8288,0.2777
2026-06-12,140.94,141.54,114625875,1506375,5308,2026-06-30,150.0,8307000,140.0,3968250,0.7771,0.2832
2026-06-15,144.49,144.79,116731875,2106000,5225,2026-06-30,150.0,9954750,145.0,3934125,0.7184,0.293
2026-06-16,145.11,145.79,118170000,1438125,1902,2026-06-30,150.0,10091250,145.0,4177875,0.7372,0.2792
2026-06-17,145.42,146.04,118457625,287625,2473,2026-06-30,150.0,11787750,145.0,4129125,0.6921,0.2793
2026-06-18,146.11,146.47,116707500,-1750125,1858,2026-06-30,150.0,11763375,145.0,3978000,0.6783,0.2667
2026-06-19,143.43,143.97,117979875,1272375,2001,2026-06-30,150.0,11778000,140.0,3651375,0.637,0.2672
2026-06-22,144.38,144.37,116166375,-1813500,1506,2026-06-30,150.0,11826750,145.0,3792750,0.6407,0.2661
2026-06-23,143.17,143.55,116107875,-58500,1883,2026-06-30,150.0,12250875,145.0,3475875,0.5946,0.2524
2026-06-24,146.3,146.56,97524375,-18583500,5924,2026-06-30,150.0,11846250,130.0,3948750,0.6947,0.2546
2026-06-25,143.89,143.98,71443125,-26081250,6682,2026-06-30,150.0,11841375,130.0,3631875,0.6495,0.262
2026-06-29,139.18,139.43,47287500,-24155625,6183,2026-06-30,150.0,7059000,130.0,3163875,0.6972,0.0
2026-07-01,139.83,140.72,127393500,1452750,1734,2026-07-28,150.0,10876125,140.0,5596500,0.6285,0.2685
2026-07-02,141.62,142.61,136894875,9501375,5274,2026-07-28,150.0,11475750,140.0,5411250,0.605,0.2602
2026-07-03,141.56,142.37,137031375,136500,1304,2026-07-28,150.0,12021750,140.0,5250375,0.5738,0.2574
2026-07-06,141.69,142.62,136680375,-351000,1566,2026-07-28,150.0,11841375,140.0,5304000,0.5604,0.2568
2026-07-07,142.18,142.72,139522500,2842125,2472,2026-07-28,150.0,11963250,140.0,5406375,0.5517,0.2491
2026-07-13,139.95,140.54,141004500,1243125,1820,2026-07-28,150.0,12679875,140.0,6279000,0.6488,0.2786
