Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,120.16,116.14,63438600,1918200,1753,2026-06-30,130.0,10187850,130.0,3381000,0.545,0.3857
2026-06-09,122.47,122.12,62403600,-1035000,2370,2026-06-30,130.0,9349500,130.0,3339600,0.5796,0.3488
2026-06-10,120.58,117.29,63507600,1104000,1508,2026-06-30,130.0,9956700,130.0,3329250,0.5525,0.3815
2026-06-11,118.3,115.76,63731850,224250,1195,2026-06-30,130.0,10225800,130.0,3318900,0.5209,0.369
2026-06-12,122.13,121.13,62386350,-1345500,1893,2026-06-30,130.0,9967050,130.0,3198150,0.5399,0.3149
2026-06-15,124.82,124.87,60626850,-1759500,1989,2026-06-30,130.0,8766450,130.0,3001500,0.5981,0.3185
2026-06-16,126.15,126.38,59205450,-1421400,1415,2026-06-30,130.0,7983300,130.0,2922150,0.6144,0.3033
2026-06-17,126.46,126.73,57908250,-1297200,1678,2026-06-30,130.0,9418500,130.0,2949750,0.5816,0.3175
2026-06-18,127.96,128.08,57942750,34500,2452,2026-06-30,130.0,7086300,130.0,2766900,0.6198,0.3009
2026-06-19,127.16,127.22,58039350,96600,1161,2026-06-30,130.0,8345550,130.0,2760000,0.5799,0.2917
2026-06-22,130.85,130.99,55182750,-2856600,3048,2026-06-30,140.0,4874850,130.0,2925600,0.6328,0.3016
2026-06-23,127.31,126.99,54630750,-552000,2737,2026-06-30,140.0,4761000,130.0,2332200,0.6293,0.2632
2026-06-24,127.53,127.71,29549250,-25081500,10902,2026-06-30,140.0,4681650,130.0,1804350,0.5731,0.2344
2026-06-25,127.47,128.06,18371250,-11178000,6164,2026-06-30,130.0,4667850,110.0,1725000,0.5651,0.24
2026-06-29,127.48,128.06,11874900,-6496350,4277,2026-06-30,135.0,3405150,110.0,1731900,0.6683,0.0
2026-07-01,127.93,125.64,56987850,425350,1067,2026-07-28,130.0,6552200,130.0,4113225,0.878,0.4075
2026-07-02,128.58,127.05,54924450,-2063400,1212,2026-07-28,130.0,6402875,130.0,3886975,0.8598,0.3571
2026-07-03,128.49,126.46,54580550,-343900,1141,2026-07-28,130.0,6022775,130.0,3678825,0.845,0.2457
2026-07-06,126.73,125.87,54684625,104075,747,2026-07-28,130.0,6054450,130.0,3656200,0.8091,0.3397
2026-07-07,125.16,123.78,55562475,877850,771,2026-07-28,130.0,6054450,130.0,3633575,0.7877,0.3339
2026-07-13,124.81,124.5,55548900,855225,1429,2026-07-28,130.0,5909650,130.0,3488775,0.7568,0.3571
2026-07-15,121.36,120.21,61322800,1375600,1312,2026-07-28,140.0,5801050,130.0,3411850,0.6064,0.2844
2026-07-16,120.83,119.96,62010600,687800,1074,2026-07-28,140.0,5660775,130.0,3411850,0.5881,0.3008
2026-07-21,121.15,120.53,64580800,31675,1133,2026-07-28,130.0,4439025,130.0,3384700,0.6253,0.2708
2026-07-23,119.58,119.48,45783950,-18244800,5006,2026-07-28,130.0,4362100,130.0,3185600,0.6247,0.3156
2026-07-27,120.29,120.5,10185775,-12710725,6784,2026-07-28,130.0,3194650,130.0,2592825,0.6199,0.0
2026-07-29,120.82,119.17,63445025,-181000,1376,2026-08-25,120.0,4298750,120.0,4488800,1.0353,0.3433
