Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,94.7,93.49,60290500,1704250,2033,2026-06-30,100.0,13102750,100.0,4891750,0.6255,0.3339
2026-06-09,96.01,96.24,59351250,-939250,1583,2026-06-30,100.0,12316500,100.0,4891750,0.6519,0.3136
2026-06-10,94.8,94.02,63652250,4301000,2820,2026-06-30,100.0,14756000,100.0,4896000,0.5865,0.3305
2026-06-11,93.33,92.38,64676500,1024250,1646,2026-06-30,100.0,15329750,100.0,4891750,0.5603,0.3159
2026-06-12,95.89,96.0,62959500,-1717000,1885,2026-06-30,100.0,14029250,100.0,4874750,0.6099,0.3079
2026-06-15,97.08,97.42,61637750,-1321750,1562,2026-06-30,100.0,12699000,100.0,4908750,0.6489,0.3093
2026-06-16,97.63,97.85,61421000,-216750,985,2026-06-30,100.0,12571500,100.0,4976750,0.6407,0.2976
2026-06-17,100.44,100.46,62696000,1275000,3123,2026-06-30,100.0,10854500,100.0,5172250,0.7111,0.3184
2026-06-18,100.13,100.07,64438500,1742500,1593,2026-06-30,100.0,11135000,100.0,5219000,0.7047,0.3072
2026-06-19,99.51,99.11,65505250,1066750,2308,2026-06-30,100.0,10977750,100.0,4666500,0.6107,0.3072
2026-06-22,100.9,100.95,63784000,-1721250,1779,2026-06-30,100.0,8814500,100.0,4917250,0.6487,0.3167
2026-06-23,98.67,98.0,66376500,2592500,4511,2026-06-30,100.0,9817500,100.0,4288250,0.5786,0.3221
2026-06-24,92.5,92.14,51076500,-15300000,15062,2026-06-30,100.0,11781000,100.0,3472250,0.4813,0.3336
2026-06-25,91.77,91.98,29121000,-21955500,9078,2026-06-30,100.0,11300750,100.0,3230000,0.4426,0.2602
