Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1156.3,1161.9,12351250,-18125,2108,2026-06-30,1300.0,366875,1200.0,595625,0.6821,0.293
2026-06-09,1149.9,1158.0,12523125,171875,1517,2026-06-30,1200.0,421875,1200.0,590000,0.6493,0.2748
2026-06-10,1121.1,1124.7,12625000,101875,2808,2026-06-30,1200.0,476250,1200.0,563750,0.6268,0.2781
2026-06-11,1121.3,1126.3,12588125,-36875,2040,2026-06-30,1200.0,488750,1200.0,561250,0.6154,0.2717
2026-06-12,1148.5,1153.6,12547500,-40625,1692,2026-06-30,1200.0,522500,1200.0,557500,0.6231,0.2517
2026-06-15,1149.5,1150.8,12692500,145000,2014,2026-06-30,1200.0,510000,1200.0,556250,0.6233,0.2617
2026-06-16,1139.8,1141.5,12781875,89375,1680,2026-06-30,1200.0,524375,1200.0,536250,0.5838,0.2515
2026-06-17,1135.8,1140.7,12871875,90000,1953,2026-06-30,1200.0,543125,1200.0,536250,0.5742,0.2483
2026-06-18,1131.9,1137.0,12709375,-162500,1900,2026-06-30,1200.0,520000,1200.0,536250,0.5752,0.2545
2026-06-19,1137.7,1139.4,12682500,-26875,2150,2026-06-30,1150.0,520000,1200.0,537500,0.6003,0.2366
2026-06-22,1132.0,1132.8,11895000,-787500,5089,2026-06-30,1150.0,563125,1200.0,533125,0.6102,0.263
2026-06-23,1082.6,1083.6,11642500,-252500,2970,2026-06-30,1150.0,508125,1200.0,506250,0.5367,0.3173
2026-06-24,1089.7,1091.5,9308750,-2333750,5537,2026-06-30,1140.0,490625,1200.0,395625,0.5367,0.2767
2026-06-25,1059.5,1062.5,6172500,-3136250,7596,2026-06-30,1120.0,755000,1200.0,351875,0.5022,0.2446
2026-06-29,1068.1,1069.4,3865625,-2306875,4821,2026-06-30,1120.0,999375,1190.0,205625,0.5008,0.0
2026-07-01,1028.8,1035.3,14200625,865000,5268,2026-07-28,1100.0,511250,1100.0,414375,0.8698,0.286
