Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,570.95,571.45,22067000,-847000,3065,2026-06-30,680.0,1698000,500.0,442000,0.4868,0.3536
2026-06-09,570.4,573.95,22182000,115000,2371,2026-06-30,680.0,1706000,500.0,435000,0.4688,0.3448
2026-06-10,560.65,562.85,22068000,-114000,4000,2026-06-30,680.0,1716000,500.0,436000,0.46,0.358
2026-06-11,552.25,554.85,22126000,58000,2754,2026-06-30,680.0,1714000,590.0,433000,0.4274,0.3391
2026-06-12,559.35,562.0,22300000,174000,4202,2026-06-30,680.0,1690000,500.0,432000,0.4275,0.3175
2026-06-15,566.2,566.35,22148000,-152000,2421,2026-06-30,600.0,1848000,500.0,424000,0.4217,0.3317
2026-06-16,562.05,564.55,22337000,189000,1197,2026-06-30,600.0,1900000,500.0,418000,0.4099,0.3143
2026-06-17,572.0,573.55,23016000,679000,3319,2026-06-30,570.0,1971000,560.0,432000,0.4222,0.3355
2026-06-18,575.5,578.4,24021000,1005000,5395,2026-06-30,570.0,2315000,570.0,1226000,0.5159,0.3181
2026-06-19,570.1,572.4,24280000,259000,3406,2026-06-30,600.0,1613000,570.0,1239000,0.5574,0.3069
2026-06-22,582.05,583.65,23705000,-575000,3496,2026-06-30,600.0,1877000,570.0,1222000,0.5386,0.3153
2026-06-23,568.85,568.5,19784000,-3921000,6156,2026-06-30,600.0,1647000,570.0,1216000,0.4859,0.2962
2026-06-24,574.4,576.7,13956000,-5828000,9877,2026-06-30,600.0,1531000,570.0,1168000,0.4841,0.2647
2026-06-25,573.5,573.4,7226000,-6730000,10204,2026-06-30,600.0,1582000,570.0,1105000,0.4854,0.2224
2026-06-29,586.25,585.65,2121000,-5105000,7799,2026-06-30,600.0,1021000,570.0,333000,0.5059,0.0
2026-07-01,569.45,572.45,23458650,223600,1790,2026-07-28,580.0,1194325,580.0,554700,0.6435,0.3249
2026-07-02,565.35,568.8,23536050,77400,2538,2026-07-28,580.0,1286775,580.0,524600,0.5891,0.3137
2026-07-03,550.2,553.15,24283175,747125,3202,2026-07-28,580.0,1555525,580.0,547175,0.6024,0.3187
2026-07-06,547.4,550.4,24504625,221450,4466,2026-07-28,580.0,1593150,580.0,560075,0.5394,0.3304
2026-07-07,544.2,546.6,25279700,775075,3098,2026-07-28,580.0,1739350,550.0,555775,0.5151,0.325
2026-07-13,553.65,555.6,26032200,47300,2702,2026-07-28,580.0,1570575,540.0,764325,0.5862,0.3414
2026-07-15,549.85,550.2,25725825,-8600,2154,2026-07-28,580.0,1694200,540.0,842800,0.609,0.3491
2026-07-16,543.4,545.35,25465675,-260150,2498,2026-07-28,580.0,1740425,540.0,849250,0.5932,0.3579
2026-07-21,566.2,567.5,23261925,-504175,3052,2026-07-28,600.0,1373850,540.0,973950,0.6695,0.4446
2026-07-23,557.35,559.45,14431875,-8630100,10447,2026-07-28,600.0,1343750,540.0,775075,0.5127,0.211
2026-07-27,549.7,550.95,3327125,-6054400,7285,2026-07-28,600.0,1088975,540.0,560075,0.5395,0.0
2026-07-29,545.7,549.05,24948600,151575,1378,2026-08-25,600.0,1124450,600.0,656825,0.8036,0.2656
2026-07-31,554.65,557.45,25121675,-86000,1655,2026-08-25,600.0,1851150,530.0,1567350,0.9917,0.2483
2026-08-03,568.99,567.0,24684150,-437525,1699,2026-08-25,600.0,1680225,530.0,1540475,1.0213,0.2536
2026-08-04,568.0,569.45,24448725,-235425,1282,2026-08-25,600.0,1744725,500.0,1558750,1.0337,0.2504
