Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,354.2,354.85,41710150,-695600,4021,2026-06-30,400.0,2704850,350.0,1051625,0.5657,0.3846
2026-06-09,355.05,357.15,40971075,-739075,3646,2026-06-30,400.0,2948075,350.0,1083350,0.5361,0.3768
2026-06-10,338.7,339.2,41260125,289050,4267,2026-06-30,400.0,3301750,350.0,710875,0.4277,0.4193
2026-06-11,330.8,331.55,39776100,-1484025,4801,2026-06-30,400.0,3367550,350.0,611000,0.397,0.4134
2026-06-12,344.75,346.7,40360075,583975,4870,2026-06-30,400.0,3341700,350.0,586325,0.393,0.3743
2026-06-15,383.0,384.35,41732475,1372400,17140,2026-06-30,400.0,3367550,360.0,1687300,0.7631,0.4312
2026-06-16,378.55,379.2,39989950,-1742525,4632,2026-06-30,400.0,2886975,360.0,1511050,0.7169,0.3891
2026-06-17,383.05,384.8,40055750,65800,2762,2026-06-30,400.0,2562675,350.0,1318350,0.7569,0.38
2026-06-18,382.95,385.0,39878325,-177425,1685,2026-06-30,400.0,2397000,360.0,1305425,0.743,0.3637
2026-06-19,383.5,385.0,40122725,244400,2092,2026-06-30,400.0,2441650,350.0,1183225,0.7161,0.3638
2026-06-22,381.1,381.8,39729100,-393625,1445,2026-06-30,400.0,2585000,360.0,1160900,0.6834,0.3748
2026-06-23,373.1,373.75,37377925,-2351175,5254,2026-06-30,400.0,2513325,360.0,1166775,0.6731,0.3517
2026-06-24,376.2,376.9,25566825,-11811100,14806,2026-06-30,400.0,2562675,360.0,1380625,0.7301,0.3347
2026-06-25,377.8,377.95,15369000,-10197825,11108,2026-06-30,400.0,2236025,360.0,1131525,0.7244,0.2545
2026-06-29,377.85,377.8,5905550,-9463450,11604,2026-06-30,400.0,1589775,350.0,920025,0.7634,0.0
2026-07-01,381.05,383.65,42016050,1088100,3823,2026-07-28,400.0,1996650,380.0,801900,0.6508,0.4087
2026-07-02,388.1,390.4,43162200,1146150,4298,2026-07-28,400.0,2257200,380.0,985500,0.7356,0.4048
