Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,755.3,752.7,7794075,-76925,1749,2026-06-30,800.0,741200,720.0,940950,0.9189,0.3887
2026-06-09,756.15,757.3,7781325,-12750,1190,2026-06-30,800.0,708475,720.0,936700,0.8849,0.3609
2026-06-10,733.0,728.85,7812775,31450,1822,2026-06-30,800.0,699975,720.0,938400,0.9121,0.3498
2026-06-11,736.9,731.4,7799600,-13175,2472,2026-06-30,800.0,758200,720.0,938825,0.8642,0.3575
2026-06-12,749.05,747.65,7769425,-30175,1756,2026-06-30,800.0,715275,720.0,707625,0.8152,0.3301
2026-06-15,757.0,759.6,7556925,-212500,2454,2026-06-30,800.0,715275,720.0,881025,0.9009,0.3421
2026-06-16,756.55,759.35,7476175,-80750,2217,2026-06-30,800.0,1101175,720.0,1078650,0.814,0.3375
2026-06-17,752.0,750.65,7383525,-92650,2933,2026-06-30,800.0,1137300,720.0,1082475,0.9093,0.3311
2026-06-18,745.95,747.35,7430700,47175,2502,2026-06-30,800.0,1157700,720.0,1086300,0.8923,0.3473
2026-06-19,760.35,746.2,7740100,309400,5792,2026-06-30,800.0,1288600,720.0,960500,0.8806,0.3427
2026-06-22,756.4,756.9,7407750,-332350,2878,2026-06-30,800.0,1166200,720.0,937125,0.8392,0.3372
2026-06-23,741.15,741.8,7341025,-66725,2674,2026-06-30,800.0,1072275,720.0,949025,0.8234,0.3282
2026-06-24,736.05,739.25,4962725,-2378300,10188,2026-06-30,800.0,980050,720.0,753525,0.7118,0.3528
2026-06-25,742.55,741.8,3093575,-1869150,7794,2026-06-30,800.0,804525,700.0,440725,0.6471,0.3565
2026-06-29,712.2,711.7,1883600,-1209975,7482,2026-06-30,800.0,620075,700.0,624750,0.7924,0.0
2026-07-01,557.55,550.45,12519350,4925900,20114,2026-07-28,600.0,3508425,480.0,1504275,0.5613,0.5054
2026-07-02,558.8,547.2,14078650,1559300,8818,2026-07-28,600.0,3632425,480.0,1691050,0.5445,0.4803
2026-07-03,558.65,548.6,14674625,595975,3974,2026-07-28,600.0,3514625,480.0,1629050,0.5272,0.4728
2026-07-06,558.0,553.8,14561475,-113150,5226,2026-07-28,600.0,3265075,480.0,1656175,0.5332,0.4634
2026-07-07,562.45,556.4,14573875,12400,4233,2026-07-28,600.0,3128675,480.0,1484125,0.5463,0.4524
2026-07-13,573.45,574.3,14552175,-348750,6651,2026-07-28,600.0,2611750,560.0,968750,0.5409,0.4373
2026-07-15,551.6,552.35,14927275,-39525,3172,2026-07-28,600.0,3532450,500.0,957900,0.4741,0.437
2026-07-16,551.35,552.35,14819550,-107725,1854,2026-07-28,600.0,3618475,500.0,872650,0.4585,0.4292
2026-07-21,564.45,566.55,13795775,-241800,4620,2026-07-28,600.0,3123250,540.0,726950,0.3819,0.3957
2026-07-23,550.85,552.6,10543100,-3233300,8025,2026-07-28,600.0,2797750,540.0,604500,0.3887,0.3497
2026-07-27,585.2,586.25,2646625,-2833400,8144,2026-07-28,600.0,1177225,560.0,399900,0.5732,0.0
2026-07-29,638.75,637.65,12305450,679675,34529,2026-08-25,650.0,1753825,600.0,1925875,0.7443,0.3872
2026-07-31,598.4,593.9,13978675,-159650,6431,2026-08-25,600.0,3349550,600.0,1839850,0.5339,0.3725
2026-08-03,619.25,616.9,13144000,-834675,6018,2026-08-25,700.0,2299425,600.0,1777075,0.636,0.3679
2026-08-04,625.4,621.95,12615450,-528550,3182,2026-08-25,700.0,2298650,600.0,1370975,0.6106,0.3569
2026-08-06,623.0,621.25,12520900,65875,5006,2026-08-25,700.0,3020950,600.0,1410500,0.5334,0.3543
2026-08-07,629.81,629.15,12296150,-224750,3332,2026-08-25,700.0,3362725,600.0,1656175,0.5407,0.3488
2026-08-11,627.05,625.2,12517025,304575,1809,2026-08-25,700.0,3461150,600.0,1677100,0.5208,0.3458
