Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,540.95,541.9,27824000,-772000,3625,2026-06-30,550.0,959000,520.0,553000,0.7216,0.2853
2026-06-09,552.75,556.5,27892000,68000,1511,2026-06-30,550.0,838000,520.0,534000,0.7044,0.2566
2026-06-10,541.0,542.4,27793000,-99000,1246,2026-06-30,550.0,913000,520.0,546000,0.6719,0.2811
2026-06-11,535.9,536.75,27728000,-65000,1588,2026-06-30,550.0,954000,520.0,528000,0.6521,0.2747
2026-06-12,559.5,560.75,27335000,-393000,4029,2026-06-30,590.0,851000,520.0,518000,0.6909,0.2518
2026-06-15,553.85,554.7,26952000,-383000,4012,2026-06-30,590.0,850000,520.0,498000,0.6641,0.2658
2026-06-16,552.8,554.75,26758000,-194000,1609,2026-06-30,590.0,845000,520.0,503000,0.6663,0.2531
2026-06-17,551.05,551.65,26722000,-36000,1652,2026-06-30,560.0,853000,520.0,504000,0.6736,0.2599
2026-06-18,550.15,550.75,26526000,-196000,2712,2026-06-30,580.0,1199000,550.0,542000,0.5947,0.2625
2026-06-19,549.9,550.1,26483000,-43000,1776,2026-06-30,580.0,1200000,550.0,515000,0.5731,0.2548
2026-06-22,548.5,548.25,24521000,-1962000,4853,2026-06-30,580.0,1172000,550.0,547000,0.5711,0.2726
2026-06-23,541.2,540.65,21757000,-2764000,4337,2026-06-30,550.0,931000,550.0,519000,0.6235,0.2447
2026-06-24,550.55,550.2,17638000,-4119000,5244,2026-06-30,560.0,669000,550.0,489000,0.6807,0.2291
2026-06-25,549.85,549.2,8599000,-9039000,10422,2026-06-30,560.0,563000,550.0,382000,0.6816,0.2287
2026-06-29,560.75,559.6,3073000,-5526000,7168,2026-06-30,590.0,425000,490.0,308000,0.6727,0.0
2026-07-01,554.45,555.7,23908000,147000,3586,2026-07-28,560.0,1085000,500.0,505000,0.6435,0.2581
2026-07-02,552.9,555.3,23900000,-8000,1037,2026-07-28,560.0,1035000,500.0,523000,0.7044,0.2522
2026-07-03,553.7,555.05,24047000,147000,2061,2026-07-28,600.0,1459000,500.0,560000,0.5943,0.2495
