Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,395.5,390.6,21651000,179200,2402,2026-06-30,450.0,3574200,400.0,1426600,0.7036,0.2633
2026-06-09,403.9,401.4,21694400,43400,2101,2026-06-30,450.0,3404800,400.0,1496600,0.7282,0.2593
2026-06-10,395.95,392.0,22474200,779800,2562,2026-06-30,450.0,3487400,400.0,1468600,0.7184,0.2526
2026-06-11,393.2,388.95,23158800,684600,1655,2026-06-30,450.0,2987600,400.0,1485400,0.7151,1.1132
2026-06-12,399.35,398.05,23342200,183400,2576,2026-06-30,450.0,3025400,400.0,1475600,0.7451,0.248
2026-06-15,405.7,402.5,22992200,-350000,3553,2026-06-30,450.0,2986200,400.0,1484000,0.7184,0.2504
2026-06-16,411.0,407.8,22033200,-959000,2802,2026-06-30,450.0,3263400,400.0,1379000,0.7091,0.244
2026-06-17,418.15,418.05,20539400,-1493800,4108,2026-06-30,450.0,3064600,400.0,1429400,0.7895,0.2476
2026-06-18,430.0,426.7,21618800,1079400,7991,2026-06-30,450.0,2857400,400.0,1311800,0.6552,0.2712
2026-06-19,440.15,440.3,21320600,-298200,5227,2026-06-30,450.0,2822400,400.0,1272600,0.7664,0.2632
2026-06-22,442.4,438.0,21135800,-184800,2602,2026-06-30,450.0,2769200,400.0,1313200,0.7537,0.3019
2026-06-23,440.15,437.2,20385400,-750400,4669,2026-06-30,450.0,2695000,400.0,1292200,0.8063,0.2698
2026-06-24,436.6,433.55,15222200,-5163200,7631,2026-06-30,450.0,2360400,400.0,1176000,0.8042,0.2682
2026-06-25,423.35,418.35,8493800,-6728400,7329,2026-06-30,440.0,2238600,390.0,1129800,0.798,0.2144
2026-06-29,431.25,433.1,3379600,-5114200,6056,2026-06-30,440.0,1500800,390.0,974400,0.9031,0.0
2026-07-01,434.7,434.85,20785800,-348600,1803,2026-07-28,440.0,1342600,430.0,802200,0.6289,0.2599
2026-07-02,432.1,429.9,20923000,137200,1331,2026-07-28,440.0,1561000,430.0,786800,0.6405,0.2556
2026-07-03,430.25,429.3,20613600,-309400,1223,2026-07-28,440.0,1680000,430.0,812000,0.6115,0.2515
2026-07-06,429.1,429.5,20792800,179200,1530,2026-07-28,440.0,1680000,430.0,817600,0.5946,0.2522
2026-07-07,435.4,436.65,20462400,-330400,2848,2026-07-28,450.0,2627800,430.0,938000,0.5241,0.2594
2026-07-13,441.3,441.55,19705000,-166600,919,2026-07-28,450.0,2014600,430.0,1082200,0.6009,0.2596
2026-07-15,439.75,436.75,21043400,261800,2474,2026-07-28,450.0,2035600,430.0,1402800,0.6498,0.2956
