Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,870.9,872.85,12751200,-84150,2631,2026-06-30,1060.0,606150,750.0,459450,0.7022,0.4189
2026-06-09,887.9,893.7,12548250,-202950,2122,2026-06-30,1060.0,614250,900.0,315900,0.6677,0.3872
2026-06-10,861.95,863.3,12588300,40050,2585,2026-06-30,1060.0,607950,800.0,345150,0.6547,0.4084
2026-06-11,868.05,869.3,12506850,-81450,1514,2026-06-30,1060.0,604800,900.0,304650,0.6171,0.38
2026-06-12,899.3,904.7,12420450,-86400,3138,2026-06-30,1060.0,603900,900.0,306000,0.5964,0.3588
2026-06-15,920.85,925.8,12748500,328050,3946,2026-06-30,1060.0,606150,900.0,391950,0.6367,0.3603
2026-06-16,937.95,939.65,12726450,-22050,1833,2026-06-30,1060.0,606600,900.0,318150,0.6807,0.3403
2026-06-17,914.8,916.55,12914550,188100,8197,2026-06-30,1060.0,604800,900.0,379800,0.6322,0.3564
2026-06-18,923.95,928.95,12922650,8100,3967,2026-06-30,950.0,486900,900.0,398700,0.6849,0.3482
2026-06-19,918.15,918.75,12650400,-272250,2820,2026-06-30,950.0,516150,900.0,397350,0.6196,0.343
2026-06-22,926.65,927.55,12635100,-15300,2015,2026-06-30,950.0,537300,900.0,389250,0.6154,0.3826
2026-06-23,910.75,911.8,11791350,-843750,7382,2026-06-30,1000.0,604800,900.0,386550,0.6642,0.38
2026-06-24,937.85,938.15,8696250,-3095100,12080,2026-06-30,1000.0,444150,900.0,450000,0.7249,0.3529
2026-06-25,947.45,946.65,5989950,-2706300,10673,2026-06-30,1000.0,524700,900.0,410850,0.7197,0.3094
2026-06-29,939.6,936.7,1755450,-4234500,12146,2026-06-30,990.0,441900,920.0,355050,0.6597,0.0
2026-07-01,992.3,995.35,12290000,-41875,4597,2026-07-28,1000.0,636875,980.0,251875,0.7262,0.377
2026-07-02,1006.2,1008.5,11885000,-405000,4558,2026-07-28,1000.0,494375,980.0,243125,0.6992,0.342
2026-07-03,1057.0,1057.9,10510625,-1374375,9183,2026-07-28,1040.0,441875,980.0,240625,0.7584,0.3842
2026-07-06,1095.9,1085.25,10812500,301875,8309,2026-07-28,1080.0,467500,1040.0,265625,0.7631,0.3842
2026-07-07,1102.55,1088.3,11003750,191250,3292,2026-07-28,1040.0,416875,1000.0,323750,0.7804,0.3704
2026-07-13,1198.65,1149.1,15165000,526250,4297,2026-07-28,1200.0,583750,1100.0,436875,0.7722,0.4829
2026-07-15,1162.4,1161.6,15036250,-214375,2448,2026-07-28,1200.0,560000,1100.0,571875,0.8178,0.4068
2026-07-16,1178.1,1172.15,15217500,181250,2432,2026-07-28,1200.0,576875,1100.0,838125,0.8583,0.397
2026-07-21,1198.95,1195.5,16001250,296875,3322,2026-07-28,1200.0,579375,1100.0,984375,0.8574,0.4265
2026-07-23,1146.4,1145.55,9950000,-5391875,12206,2026-07-28,1200.0,933125,1100.0,733750,0.7446,0.448
2026-07-27,1198.75,1197.8,2640000,-2644375,11147,2026-07-28,1040.0,378125,1100.0,433125,0.9103,0.0
2026-07-29,1316.35,1234.85,13785000,74375,5010,2026-08-25,1300.0,876250,1200.0,478750,0.6326,0.4391
2026-07-31,1243.95,1236.5,12062500,-1528125,5335,2026-08-25,1300.0,700625,1160.0,548125,0.7444,0.359
2026-08-03,1239.76,1231.3,11807500,-255000,2827,2026-08-25,1400.0,721875,1160.0,563125,0.707,0.3754
2026-08-04,1229.81,1224.4,11635000,-172500,2185,2026-08-25,1300.0,748750,1160.0,548125,0.7039,0.3731
2026-08-06,1214.03,1221.6,11468125,67500,2572,2026-08-25,1300.0,881875,1160.0,551875,0.6815,0.3747
2026-08-07,1218.63,1214.0,11318125,-150000,1758,2026-08-25,1300.0,910625,1160.0,533750,0.6752,0.3685
2026-08-11,1212.02,1206.3,11211250,30000,1285,2026-08-25,1300.0,871250,1200.0,541250,0.6601,0.3808
2026-08-12,1208.97,1201.5,11216250,5000,1956,2026-08-25,1300.0,870625,1200.0,527500,0.7071,0.3444
2026-08-13,1232.31,1237.6,11235625,19375,2632,2026-08-25,1300.0,855625,1200.0,644375,0.7443,0.3462
2026-08-14,1243.86,1237.4,11392500,156875,1784,2026-08-25,1300.0,921875,1200.0,698750,0.7139,0.3248
