Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,3875.5,3885.5,13446650,-81725,8957,2026-06-30,4000.0,1135575,4000.0,792400,0.7081,0.2311
2026-06-09,3900.6,3926.3,13505800,59150,6314,2026-06-30,4000.0,1160600,4000.0,793100,0.6947,0.2126
2026-06-10,3917.5,3925.1,13243825,-261975,10594,2026-06-30,4000.0,1113000,4000.0,775775,0.7153,0.2044
2026-06-11,3861.6,3873.7,13415500,171675,6233,2026-06-30,4000.0,1122275,4000.0,775950,0.6903,0.2126
2026-06-12,4049.3,4068.2,13278650,-136850,23563,2026-06-30,4000.0,1551025,4000.0,1009575,0.7065,0.1994
2026-06-15,4169.9,4175.0,13095250,-183400,24198,2026-06-30,4000.0,1468950,4000.0,1039325,0.7407,0.2002
2026-06-16,4186.4,4190.7,13046075,-49175,14715,2026-06-30,4000.0,1314425,4000.0,1053150,0.7115,0.1943
2026-06-17,4207.7,4221.1,12967675,-78400,8097,2026-06-30,4000.0,1306550,4000.0,1121925,0.7068,0.1905
2026-06-18,4189.9,4198.8,13191850,224175,8678,2026-06-30,4200.0,1353450,4000.0,1019375,0.6904,0.2001
2026-06-19,4209.4,4216.1,13338150,146300,10026,2026-06-30,4000.0,1294125,4000.0,999250,0.708,0.2051
2026-06-22,4201.3,4198.0,13036450,-301700,5751,2026-06-30,4200.0,1294650,4000.0,989450,0.6836,0.2211
2026-06-23,4179.3,4172.8,12452475,-583975,9738,2026-06-30,4000.0,1279250,4000.0,984550,0.7109,0.2102
2026-06-24,4181.7,4177.4,9350250,-3102225,22691,2026-06-30,4000.0,1268750,4000.0,1004850,0.7262,0.1894
2026-06-25,4217.0,4201.0,4790975,-4559275,34172,2026-06-30,4000.0,1243375,4000.0,1003975,0.7348,0.1404
2026-06-29,4165.2,4166.0,2356375,-2434600,21623,2026-06-30,4000.0,1212750,4000.0,998725,0.6941,0.0
