Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,261.7,258.8,49574250,2601000,3713,2026-06-30,280.0,3377250,290.0,2502000,0.6508,0.3678
2026-06-09,265.55,265.8,49243500,-330750,2425,2026-06-30,280.0,3386250,290.0,2495250,0.6248,0.3379
2026-06-10,260.35,260.65,48377250,-866250,2671,2026-06-30,280.0,3424500,290.0,2495250,0.6133,0.3399
2026-06-11,256.9,257.4,47846250,-531000,1703,2026-06-30,280.0,3534750,290.0,2445750,0.5876,0.3246
2026-06-12,275.95,275.3,46730250,-1116000,5565,2026-06-30,280.0,3147750,290.0,2425500,0.7602,0.3175
2026-06-15,293.25,292.15,45429750,-1300500,8953,2026-06-30,300.0,2938500,290.0,3330000,0.7921,0.3231
2026-06-16,294.25,293.05,46122750,693000,2510,2026-06-30,310.0,3476250,280.0,3548250,0.8089,0.3013
2026-06-17,294.15,294.1,45477000,-645750,3134,2026-06-30,310.0,2931750,280.0,3595500,0.8492,0.2995
2026-06-18,286.9,287.15,46953000,1476000,3537,2026-06-30,300.0,3321000,290.0,3089250,0.7436,0.294
2026-06-19,286.5,285.3,48485250,1532250,2548,2026-06-30,300.0,3539250,290.0,3080250,0.7205,0.2899
2026-06-22,288.7,288.65,48370500,-114750,2461,2026-06-30,300.0,3627000,290.0,3055500,0.7192,0.3043
2026-06-23,286.35,285.95,48636000,265500,3557,2026-06-30,300.0,3582000,290.0,2884500,0.7127,0.284
2026-06-24,296.55,297.05,27009000,-21627000,12586,2026-06-30,305.0,2490750,280.0,2110500,0.6671,0.285
2026-06-25,299.0,299.5,12222000,-14787000,10584,2026-06-30,310.0,2155500,280.0,1986750,0.7609,0.2426
2026-06-29,299.05,300.85,5906250,-6315750,7200,2026-06-30,310.0,2074500,280.0,1912500,0.7328,0.0
2026-07-01,312.7,313.0,43861500,-888750,3563,2026-07-28,300.0,2153250,300.0,1968750,0.712,0.3705
2026-07-02,315.25,316.55,42896250,-965250,2504,2026-07-28,300.0,2063250,300.0,2124000,0.7753,0.3606
2026-07-03,327.0,327.0,40212000,-2684250,5274,2026-07-28,340.0,2295000,300.0,2029500,0.8052,0.3637
2026-07-06,335.6,336.35,39192750,-1019250,5058,2026-07-28,340.0,2567250,300.0,2099250,0.9077,0.3725
2026-07-07,334.2,334.2,38574000,-618750,2423,2026-07-28,340.0,2371500,300.0,2164500,0.9612,0.3704
2026-07-13,324.7,323.25,44489250,2529000,11343,2026-07-28,330.0,5004000,300.0,2360250,0.5163,0.3916
2026-07-15,312.4,309.95,49477500,1653750,3438,2026-07-28,330.0,5573250,300.0,2396250,0.4539,0.3762
2026-07-16,309.55,309.25,49925250,447750,2368,2026-07-28,330.0,5658750,300.0,2594250,0.4885,0.378
2026-07-21,306.75,305.95,50103000,1307250,3549,2026-07-28,330.0,4747500,300.0,2700000,0.4675,0.3526
2026-07-23,305.05,304.45,33525000,-15963750,9199,2026-07-28,330.0,3651750,300.0,2436750,0.5083,0.3278
2026-07-27,312.2,311.85,7508250,-10341000,7759,2026-07-28,330.0,2711250,310.0,1374750,0.4872,0.0
2026-07-29,309.15,310.65,49419000,-2036250,5693,2026-08-25,310.0,1710000,300.0,2781000,0.8066,0.3444
2026-07-31,311.25,311.85,49218750,-432000,3758,2026-08-25,310.0,2128500,300.0,2722500,0.6895,0.3376
2026-08-03,318.0,319.2,47389500,-1828125,5852,2026-08-25,350.0,3651750,300.0,2587500,0.6491,0.356
2026-08-04,317.93,321.05,45668250,-1721250,2676,2026-08-25,350.0,3078000,300.0,2553750,0.645,0.3665
2026-08-06,316.86,319.15,44230500,-591750,1598,2026-08-25,350.0,3075750,300.0,2596500,0.6696,0.3574
2026-08-07,308.47,307.75,45274500,1044000,4255,2026-08-25,320.0,3019500,300.0,2562750,0.6742,0.3451
2026-08-11,315.45,314.5,43958250,-94500,1134,2026-08-25,320.0,2976750,300.0,2612250,0.7533,0.3465
