Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2254.5,2255.1,6509300,-51000,1280,2026-06-30,2300.0,791350,2300.0,290275,0.6031,0.2296
2026-06-09,2264.2,2267.9,6473175,-36125,1899,2026-06-30,2300.0,782000,2300.0,283050,0.6036,0.2131
2026-06-10,2247.2,2248.9,6425150,-48025,1820,2026-06-30,2300.0,812175,2300.0,274125,0.5675,0.2117
2026-06-11,2273.3,2273.6,6341850,-83300,1362,2026-06-30,2300.0,850425,2300.0,260950,0.5509,0.2057
2026-06-12,2293.3,2295.0,6408575,66725,1795,2026-06-30,2300.0,733550,2300.0,275400,0.5682,0.1891
2026-06-15,2273.1,2276.3,6451925,43350,1431,2026-06-30,2300.0,861050,2300.0,284325,0.5323,0.2095
2026-06-16,2277.8,2275.0,6430250,-21675,1184,2026-06-30,2300.0,909925,2300.0,273700,0.5228,0.1983
2026-06-17,2271.4,2273.0,6404325,-25925,1237,2026-06-30,2300.0,926500,2300.0,272425,0.5415,0.2044
2026-06-18,2327.1,2330.7,6175675,-228650,2329,2026-06-30,2300.0,434350,2300.0,297925,0.6822,0.2011
2026-06-19,2351.6,2346.6,6006525,-169150,2438,2026-06-30,2400.0,357425,2300.0,255425,0.7086,0.2021
2026-06-22,2340.0,2347.1,5715400,-291125,2406,2026-06-30,2500.0,341700,2300.0,257550,0.7243,0.2072
2026-06-23,2357.8,2365.8,5446800,-268600,2403,2026-06-30,2500.0,381225,2300.0,226100,0.7014,0.211
2026-06-24,2367.6,2376.5,3934225,-1512575,5580,2026-06-30,2400.0,694025,2300.0,232475,0.6991,0.2153
2026-06-25,2343.5,2351.5,2364275,-1569950,5086,2026-06-30,2400.0,625600,2300.0,187000,0.668,0.1795
