Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,809.0,810.75,15060000,-102000,1135,2026-06-30,830.0,726000,780.0,716400,0.6051,0.1957
2026-06-09,813.2,818.65,15028800,-31200,989,2026-06-30,830.0,744000,780.0,703200,0.6155,0.2229
2026-06-10,819.9,821.6,14534400,-494400,2674,2026-06-30,830.0,681600,780.0,632400,0.579,0.1921
2026-06-11,810.8,813.8,14683200,148800,1532,2026-06-30,830.0,674400,780.0,519600,0.547,0.1902
2026-06-12,819.05,821.0,14905200,222000,1502,2026-06-30,830.0,644400,780.0,528000,0.5753,0.18
2026-06-15,809.65,811.0,14956800,51600,1682,2026-06-30,830.0,650400,780.0,535200,0.5321,0.1979
2026-06-16,808.45,812.1,15081600,124800,1129,2026-06-30,840.0,645600,780.0,488400,0.5405,0.1885
2026-06-17,805.0,807.95,15348000,266400,1515,2026-06-30,840.0,612000,780.0,492000,0.5346,0.1947
2026-06-18,820.75,824.3,15930000,582000,4242,2026-06-30,830.0,906000,780.0,472800,0.5181,0.2107
2026-06-19,817.05,819.45,15759600,-170400,2917,2026-06-30,830.0,865200,825.0,427200,0.5276,0.2116
2026-06-22,812.45,815.0,15643200,-116400,1544,2026-06-30,830.0,897600,825.0,385200,0.5232,0.2318
2026-06-23,821.05,823.1,15415200,-228000,1518,2026-06-30,830.0,772800,825.0,370800,0.5492,0.2269
2026-06-24,819.45,819.55,11151600,-4263600,4317,2026-06-30,830.0,812400,810.0,292800,0.4776,0.2261
2026-06-25,825.8,826.45,6670800,-4480800,5171,2026-06-30,840.0,782400,810.0,342000,0.4584,0.1953
2026-06-29,839.95,838.55,1701600,-4969200,5870,2026-06-30,845.0,392400,810.0,315600,0.5301,0.0
2026-07-01,851.0,856.25,16249200,645600,1919,2026-07-28,850.0,752400,800.0,351600,0.495,0.2314
2026-07-02,856.0,860.8,16665600,416400,3049,2026-07-28,850.0,673200,800.0,453600,0.5644,0.2389
2026-07-03,838.55,842.3,17391600,726000,8457,2026-07-28,900.0,1507200,800.0,738000,0.5084,0.2277
2026-07-06,838.1,842.0,17252400,-139200,1609,2026-07-28,900.0,1580400,800.0,1068000,0.5633,0.2214
2026-07-07,847.65,849.1,16590000,-662400,2433,2026-07-28,900.0,1423200,800.0,1070400,0.606,0.2154
2026-07-13,846.75,847.7,14732400,-435600,1461,2026-07-28,900.0,1021200,800.0,614400,0.6276,0.2192
2026-07-15,844.45,845.25,13666800,-241200,1262,2026-07-28,900.0,1034400,800.0,591600,0.6155,0.2169
2026-07-16,839.25,841.95,13405200,-261600,1098,2026-07-28,900.0,1068000,800.0,558000,0.5782,0.216
2026-07-21,853.55,853.4,12105600,-896400,1671,2026-07-28,900.0,985200,800.0,541200,0.6502,0.2215
2026-07-23,853.2,852.05,7579200,-4378800,4558,2026-07-28,900.0,777600,800.0,427200,0.6183,0.2261
2026-07-27,858.65,859.15,970800,-2973600,2945,2026-07-28,900.0,562800,800.0,374400,0.6897,0.0
2026-07-29,878.7,879.5,14407200,442800,4195,2026-08-25,900.0,876000,800.0,500400,0.5002,0.2602
