Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,12912.0,12942.0,2968700,-39200,5184,2026-06-30,14000.0,209250,12500.0,100600,0.4516,0.2368
2026-06-09,13120.0,13189.0,2938150,-30550,8111,2026-06-30,14000.0,214850,12500.0,109600,0.4659,0.2101
2026-06-10,13073.0,13127.0,2924800,-13350,4766,2026-06-30,14000.0,210750,12500.0,105950,0.4725,0.2103
2026-06-11,13098.0,13161.0,2981500,56700,6565,2026-06-30,14000.0,217400,12500.0,126850,0.4921,0.2064
2026-06-12,13366.0,13439.0,3193650,212150,13987,2026-06-30,13500.0,247000,12500.0,108500,0.4887,0.1918
2026-06-15,13805.0,13860.0,3285050,91400,14297,2026-06-30,14000.0,260100,12500.0,137900,0.654,0.1981
2026-06-16,13691.0,13713.0,3233150,-51900,4747,2026-06-30,14000.0,390950,12500.0,140600,0.5458,0.1979
2026-06-17,13630.0,13649.0,3207650,-25500,5920,2026-06-30,14000.0,485650,12500.0,134600,0.4906,0.1944
2026-06-18,13484.0,13537.0,3165550,-42100,4517,2026-06-30,14000.0,532150,12500.0,138100,0.4522,0.2083
2026-06-19,13395.0,13445.0,3122400,-43150,8761,2026-06-30,14000.0,544050,12500.0,126450,0.4215,0.2173
2026-06-22,13421.0,13425.0,3075150,-47250,4546,2026-06-30,14000.0,493400,13000.0,135150,0.4227,0.2319
2026-06-23,13451.0,13466.0,2808600,-266550,10778,2026-06-30,14000.0,424100,13000.0,138200,0.4563,0.2188
2026-06-24,13248.0,13256.0,2077900,-730700,18641,2026-06-30,14000.0,452100,12500.0,130050,0.4028,0.2033
2026-06-25,13745.0,13752.0,1282200,-795700,31650,2026-06-30,14000.0,214450,13500.0,155800,0.6438,0.1778
2026-06-29,13412.0,13455.0,556700,-725500,17624,2026-06-30,13700.0,321100,13300.0,130000,0.4938,0.0
2026-07-01,14397.0,14433.0,2819000,-437200,24579,2026-07-28,15000.0,233750,13500.0,215050,0.9593,0.235
2026-07-02,14348.0,14405.0,2823900,4900,6145,2026-07-28,15000.0,235500,14000.0,202350,0.9113,0.2289
2026-07-03,14366.0,14405.0,2831900,8000,6639,2026-07-28,15000.0,217400,14000.0,213550,0.9173,0.2268
2026-07-06,14456.0,14487.0,2808900,-23000,5075,2026-07-28,15000.0,229150,14000.0,232150,0.9236,0.2325
2026-07-07,14538.0,14556.0,2728400,-80500,6010,2026-07-28,15000.0,235650,14000.0,232750,0.9666,0.2254
2026-07-13,13695.0,13750.0,2332150,-85850,9785,2026-07-28,15000.0,317750,13000.0,183000,0.5725,0.2711
2026-07-15,13583.0,13623.0,2252100,13100,7489,2026-07-28,15000.0,349050,13000.0,189350,0.4789,0.2587
2026-07-16,13784.0,13786.0,2249550,-2550,7424,2026-07-28,14500.0,334900,13000.0,187450,0.4894,0.2457
2026-07-21,13597.0,13628.0,2143750,-49900,8558,2026-07-28,15000.0,350750,13000.0,181600,0.4528,0.2617
2026-07-23,13403.0,13383.0,1620300,-430900,12013,2026-07-28,14000.0,333600,13000.0,154700,0.3903,0.2646
2026-07-27,13729.0,13719.0,481050,-616200,15630,2026-07-28,14000.0,273400,13000.0,140550,0.4397,0.0
2026-07-29,13948.0,13839.0,2173800,-105150,7879,2026-08-25,14000.0,197550,13000.0,117900,0.6738,0.2633
2026-07-31,14234.0,14126.0,2066200,-34750,17068,2026-08-25,14000.0,205000,13500.0,225900,0.68,0.2893
2026-08-03,14149.34,14036.0,2045600,-20600,24570,2026-08-25,15000.0,271500,13000.0,161200,0.5278,0.2142
2026-08-04,14167.83,14048.0,2055550,9950,5852,2026-08-25,15000.0,285600,13000.0,160150,0.5369,0.2277
2026-08-06,14079.66,13915.0,2099500,39900,5379,2026-08-25,15000.0,319050,13000.0,153400,0.4336,0.2333
