Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1007.45,1010.05,10860150,-70875,8762,2026-06-30,1100.0,1204875,950.0,277725,0.4963,0.2794
2026-06-09,1003.1,1006.25,10618650,-241500,3778,2026-06-30,1100.0,1276275,1000.0,282450,0.5018,0.2501
2026-06-10,1010.1,1010.95,10510500,-108150,3314,2026-06-30,1100.0,1223775,1000.0,345450,0.5629,0.2439
2026-06-11,1009.6,1014.7,11401425,890925,3548,2026-06-30,1100.0,1181775,1000.0,349125,0.5815,0.2435
2026-06-12,1012.45,1015.8,11687025,285600,1772,2026-06-30,1100.0,1284675,1000.0,343875,0.5374,0.2301
2026-06-15,1028.9,1032.8,11739000,51975,1999,2026-06-30,1100.0,1222200,1000.0,360150,0.5959,0.2467
2026-06-16,1024.1,1025.0,11720100,-18900,1618,2026-06-30,1100.0,1225350,1000.0,339150,0.5465,0.2429
2026-06-17,1026.15,1029.1,11776800,56700,1482,2026-06-30,1100.0,1159200,1000.0,338625,0.5613,0.2533
2026-06-18,1090.45,1095.4,11671800,-105000,7307,2026-06-30,1100.0,980175,1050.0,561750,0.846,0.2801
2026-06-19,1094.8,1095.0,11256000,-415800,3837,2026-06-30,1100.0,762825,1050.0,519225,0.8614,0.2505
2026-06-22,1094.65,1095.15,11109000,-147000,2024,2026-06-30,1100.0,753900,1050.0,489300,0.8404,0.2644
2026-06-23,1078.05,1078.5,10272675,-836325,3853,2026-06-30,1100.0,875700,1050.0,424200,0.7468,0.251
2026-06-24,1081.7,1084.35,7383600,-2889075,8108,2026-06-30,1100.0,655725,1040.0,405825,0.7758,0.2483
2026-06-25,1123.35,1123.3,3759000,-3624600,11962,2026-06-30,1120.0,406875,1080.0,575925,0.8473,0.223
2026-06-29,1149.95,1148.3,1972950,-1786050,7780,2026-06-30,1160.0,816900,1080.0,549675,0.7188,0.0
2026-07-01,1139.9,1138.2,13132350,234150,2266,2026-07-28,1140.0,764400,1100.0,312375,0.579,0.2586
2026-07-02,1127.4,1128.6,13045725,-86625,1457,2026-07-28,1140.0,955500,1100.0,308175,0.5827,0.247
2026-07-03,1153.4,1155.7,13652100,606375,4114,2026-07-28,1140.0,982800,1100.0,331800,0.6066,0.2543
2026-07-06,1132.5,1135.0,13451550,-200550,3451,2026-07-28,1140.0,1006425,1100.0,279300,0.5388,0.2684
2026-07-07,1118.6,1119.6,12745425,-706125,3198,2026-07-28,1140.0,998550,1100.0,268275,0.4605,0.2671
2026-07-13,1106.3,1100.3,10963050,-424725,2918,2026-07-28,1140.0,1033725,1100.0,333900,0.4579,0.2932
2026-07-15,1102.7,1106.9,10560900,-172725,3195,2026-07-28,1140.0,1034250,1100.0,332325,0.421,0.2838
2026-07-16,1098.2,1101.8,10387650,-173250,1525,2026-07-28,1140.0,1033200,1100.0,321825,0.4198,0.2841
2026-07-21,1100.4,1101.8,10248525,-81375,1574,2026-07-28,1140.0,978600,1100.0,221025,0.4433,0.2736
2026-07-23,1084.2,1083.7,6435975,-3642450,7998,2026-07-28,1140.0,972300,1100.0,189000,0.4583,0.2474
2026-07-27,1114.5,1112.5,618975,-2507400,6017,2026-07-28,1140.0,892500,1160.0,137550,0.4444,0.0
2026-07-29,1111.4,1117.1,9675225,-80325,1511,2026-08-25,1100.0,276675,1100.0,311325,0.9205,0.2723
2026-07-31,1098.5,1104.0,9688875,145425,2575,2026-08-25,1120.0,288750,1100.0,334425,0.7371,0.2805
2026-08-03,1100.33,1096.2,9686775,-2100,1885,2026-08-25,1150.0,407400,1100.0,378000,0.7117,0.2989
2026-08-04,1076.99,1073.6,9866850,180075,1531,2026-08-25,1150.0,447825,1100.0,461475,0.6722,0.3002
2026-08-06,1072.41,1077.9,10164525,308175,3044,2026-08-25,1150.0,462525,1100.0,433650,0.6896,0.3012
2026-08-07,1070.01,1076.8,10115175,-49350,1754,2026-08-25,1150.0,491400,1100.0,435750,0.653,0.2986
2026-08-11,1040.0,1044.6,10887975,511875,3131,2026-08-25,1100.0,573825,1100.0,432075,0.6279,0.3346
2026-08-12,1007.5,1012.0,11406150,518175,3736,2026-08-25,1100.0,653625,1100.0,434175,0.5959,0.3475
2026-08-13,1013.29,1014.6,11505900,99750,7012,2026-08-25,1100.0,861525,1000.0,460425,0.6238,0.3266
