Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1577.5,1580.6,10325200,-104800,1098,2026-06-30,1700.0,166400,1600.0,144400,0.663,0.2938
2026-06-09,1594.1,1601.8,10034000,-291200,2493,2026-06-30,1700.0,169200,1600.0,136000,0.6508,0.2771
2026-06-10,1598.4,1600.8,9966000,-68000,2549,2026-06-30,1700.0,169600,1600.0,131600,0.6462,0.2744
2026-06-11,1562.1,1568.0,9908400,-57600,1392,2026-06-30,1700.0,175600,1600.0,125200,0.6329,0.2761
2026-06-12,1579.0,1582.7,9646400,-262000,2215,2026-06-30,1560.0,326800,1480.0,238400,0.6707,0.2784
2026-06-15,1632.6,1635.4,9383600,-262800,2850,2026-06-30,1560.0,322000,1480.0,234400,0.6062,0.2691
2026-06-16,1612.3,1619.7,9319600,-64000,1510,2026-06-30,1700.0,235600,1540.0,122800,0.5894,0.27
2026-06-17,1631.8,1638.2,9253600,-66000,1043,2026-06-30,1700.0,224800,1540.0,108800,0.5635,0.2617
2026-06-18,1688.2,1689.8,8904800,-348800,3219,2026-06-30,1760.0,218000,1600.0,196400,0.6575,0.2542
2026-06-19,1669.4,1670.1,8831600,-73200,1395,2026-06-30,1700.0,248000,1600.0,201600,0.5779,0.247
2026-06-22,1686.6,1689.8,8723600,-108000,1830,2026-06-30,1700.0,252800,1600.0,161600,0.6009,0.2681
2026-06-23,1688.6,1686.7,8427600,-296000,2050,2026-06-30,1760.0,240400,1640.0,188000,0.6492,0.2339
2026-06-24,1662.3,1666.3,6020800,-2406800,6757,2026-06-30,1760.0,228400,1620.0,202400,0.6708,0.2148
2026-06-25,1611.4,1613.7,3326400,-2694400,8261,2026-06-30,1660.0,200800,1580.0,178000,0.5991,0.1925
2026-06-29,1601.6,1608.5,788400,-2538000,7977,2026-06-30,1660.0,191200,1540.0,160800,0.4954,0.0
2026-07-01,1608.9,1616.1,9160000,80800,1807,2026-07-28,1920.0,81200,1600.0,54000,0.715,0.2905
2026-07-02,1618.3,1622.0,9011600,-148400,1740,2026-07-28,1920.0,81600,1600.0,50800,0.7142,0.29
2026-07-03,1596.6,1605.6,9062800,51200,1534,2026-07-28,1920.0,79600,1480.0,53600,0.6214,0.2889
2026-07-06,1581.8,1589.3,9146400,83600,2296,2026-07-28,1640.0,100800,1480.0,53600,0.5617,0.2975
2026-07-07,1608.9,1611.4,9042400,-104000,2443,2026-07-28,1800.0,159200,1480.0,53600,0.5234,0.2892
2026-07-13,1631.8,1638.0,8800800,-259600,2119,2026-07-28,1800.0,274800,1500.0,270800,0.6082,0.2927
2026-07-15,1611.1,1616.0,8739600,-28800,1556,2026-07-28,1800.0,279600,1500.0,276000,0.5747,0.2986
2026-07-16,1578.4,1579.3,8705600,-34000,1177,2026-07-28,1700.0,218400,1500.0,300400,0.5742,0.2954
2026-07-21,1539.4,1543.9,8545200,-70000,985,2026-07-28,1580.0,256000,1500.0,242400,0.5654,0.2973
2026-07-23,1503.9,1507.2,6506800,-1804400,4983,2026-07-28,1580.0,232400,1500.0,235200,0.5342,0.2536
2026-07-27,1511.1,1509.0,1340000,-2412000,8286,2026-07-28,1700.0,187600,1460.0,106000,0.4102,0.0
2026-07-29,1515.1,1524.9,9654400,422000,2486,2026-08-25,1600.0,156400,1460.0,66800,0.7126,0.3187
2026-07-31,1499.0,1507.1,9648000,43200,1082,2026-08-25,1600.0,296800,1500.0,90000,0.6986,0.3265
2026-08-03,1542.5,1535.8,9628000,-20000,1667,2026-08-25,1600.0,516400,1500.0,116400,0.5997,0.354
2026-08-04,1519.3,1506.2,9434000,-194000,3141,2026-08-25,1600.0,547600,1500.0,128400,0.5751,0.3763
2026-08-06,1518.8,1526.0,9160800,-125200,1847,2026-08-25,1600.0,566000,1500.0,145600,0.5695,0.3671
2026-08-07,1497.4,1506.9,9149200,-11600,784,2026-08-25,1600.0,598800,1500.0,131200,0.5277,0.3633
2026-08-11,1499.0,1507.0,9415200,317600,3393,2026-08-25,1600.0,722800,1500.0,135200,0.5113,0.3873
2026-08-12,1516.0,1527.1,9541200,126000,2563,2026-08-25,1600.0,642400,1500.0,144800,0.4807,0.4028
2026-08-13,1512.4,1518.9,9681200,140000,3098,2026-08-25,1600.0,580400,1500.0,360800,0.6251,0.3984
2026-08-14,1538.14,1550.5,10006800,325600,12342,2026-08-25,1600.0,545600,1500.0,348400,0.4905,0.2898
2026-08-19,1546.12,1553.0,9530800,-128800,1626,2026-08-25,1600.0,557600,1500.0,275200,0.4842,0.2696
