Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1398.9,1406.2,11657500,-57000,2089,2026-06-30,1450.0,805000,1300.0,160000,0.5022,0.1976
2026-06-09,1410.4,1415.8,11390000,-267500,2006,2026-06-30,1450.0,759000,1400.0,174000,0.5111,0.1835
2026-06-10,1438.3,1441.1,11404000,14000,3515,2026-06-30,1450.0,800500,1400.0,218500,0.5121,0.2031
2026-06-11,1422.5,1429.3,11471500,67500,1766,2026-06-30,1450.0,841000,1400.0,232500,0.5279,0.1908
2026-06-12,1375.7,1382.2,12087500,616000,6904,2026-06-30,1450.0,935000,1300.0,430500,0.6171,0.2189
2026-06-15,1374.7,1381.3,12496500,409000,4571,2026-06-30,1450.0,990000,1300.0,403000,0.61,0.226
2026-06-16,1391.7,1398.3,12636500,140000,2652,2026-06-30,1450.0,854500,1300.0,489000,0.6581,0.1967
2026-06-17,1407.3,1412.8,12396500,-240000,1805,2026-06-30,1450.0,840000,1300.0,557500,0.6674,0.198
2026-06-18,1400.4,1404.5,12526000,129500,1475,2026-06-30,1400.0,888500,1300.0,504500,0.6509,0.2004
2026-06-19,1414.8,1416.6,12346000,-180000,1989,2026-06-30,1450.0,851000,1300.0,523000,0.6802,0.1852
2026-06-22,1401.9,1404.8,12196000,-150000,1781,2026-06-30,1450.0,895000,1300.0,569500,0.6584,0.2063
2026-06-23,1392.2,1396.4,11975000,-221000,2232,2026-06-30,1450.0,860000,1300.0,564500,0.7057,0.1968
2026-06-24,1382.6,1387.3,10387500,-1587500,4697,2026-06-30,1450.0,825000,1300.0,476000,0.6766,0.2053
2026-06-25,1402.6,1404.9,7558500,-2829000,7343,2026-06-30,1450.0,791500,1300.0,432500,0.6662,0.1769
2026-06-29,1387.3,1390.8,3834000,-3724500,9798,2026-06-30,1450.0,794500,1300.0,348500,0.6487,0.0
