Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,73.51,73.76,151104000,-499200,2636,2026-06-30,80.0,16160000,72.0,9004800,0.6257,0.2652
2026-06-09,74.0,74.36,149676800,-1427200,1949,2026-06-30,80.0,16435200,73.0,9100800,0.6225,0.2613
2026-06-10,72.67,72.95,145529600,-4147200,2573,2026-06-30,80.0,17907200,72.0,8576000,0.5603,0.2644
2026-06-11,72.13,72.5,140704000,-4825600,3151,2026-06-30,80.0,20025600,72.0,8448000,0.5412,0.2469
2026-06-12,73.79,74.17,140230400,-473600,2693,2026-06-30,80.0,17440000,72.0,7961600,0.5162,0.2307
2026-06-15,74.69,74.74,138003200,-2227200,4909,2026-06-30,80.0,17299200,72.0,8006400,0.5337,0.242
2026-06-16,74.75,74.92,137036800,-966400,1988,2026-06-30,80.0,18579200,72.0,7859200,0.5322,0.2244
2026-06-17,74.41,74.71,132972800,-4064000,2212,2026-06-30,80.0,19302400,72.0,7859200,0.5361,0.2263
2026-06-18,75.94,76.3,135520000,2547200,5645,2026-06-30,80.0,17926400,75.0,8409600,0.5426,0.232
2026-06-19,75.82,76.01,135161600,-358400,1780,2026-06-30,80.0,15801600,75.0,8390400,0.559,0.2306
2026-06-22,78.22,78.47,129241600,-5920000,7798,2026-06-30,80.0,12371200,75.0,10137600,0.7543,0.2697
2026-06-23,77.9,77.86,124057600,-5184000,2110,2026-06-30,80.0,12742400,75.0,9721600,0.7624,0.242
2026-06-24,79.31,79.44,88563200,-35494400,10821,2026-06-30,80.0,9913600,75.0,9107200,0.9527,0.2223
2026-06-25,79.4,79.34,58809600,-29753600,7008,2026-06-30,80.0,10937600,75.0,8339200,0.9783,0.1337
2026-06-29,81.57,81.2,30380800,-28428800,8757,2026-06-30,85.0,6048000,73.0,8710400,1.1182,0.0
2026-07-01,79.57,78.77,106175150,97300,1310,2026-07-28,88.0,14740950,80.0,7269700,0.7089,0.278
2026-07-02,80.59,79.39,109955950,3780800,2003,2026-07-28,88.0,15957200,80.0,7895200,0.6158,0.287
2026-07-03,80.53,80.45,104910250,-5045700,2840,2026-07-28,88.0,15387300,80.0,7624150,0.6587,0.276
2026-07-06,79.85,80.2,103978950,-931300,1132,2026-07-28,88.0,15324750,80.0,7631100,0.6603,0.2849
2026-07-07,78.89,79.21,105000600,1021650,1233,2026-07-28,88.0,17430600,80.0,7297500,0.6003,0.2832
2026-07-13,79.46,79.33,107238500,-48650,2359,2026-07-28,88.0,16179600,80.0,7610250,0.598,0.2764
2026-07-15,79.09,78.81,107335800,674150,787,2026-07-28,88.0,16534050,80.0,7512950,0.6172,0.2717
2026-07-16,78.91,78.92,106849300,-486500,1658,2026-07-28,88.0,16346400,80.0,7269700,0.5735,0.2644
2026-07-21,80.31,79.72,127560300,16867650,7381,2026-07-28,88.0,15227450,70.0,6804050,0.5213,0.3096
2026-07-23,80.25,79.59,86159150,-41713900,14445,2026-07-28,88.0,13121600,70.0,6727600,0.4391,0.2555
2026-07-27,79.72,79.76,20168900,-28717400,6179,2026-07-28,88.0,9417250,70.0,6609450,0.4972,0.0
2026-07-29,77.9,78.13,121423450,-3509750,1238,2026-08-25,80.0,6519100,75.0,6345350,0.792,0.2716
2026-07-31,78.73,78.86,118608700,-271050,847,2026-08-25,80.0,8298300,75.0,7095950,0.7736,0.2665
2026-08-03,79.25,79.45,123432000,4837200,3173,2026-08-25,80.0,8402550,75.0,6970850,0.7704,0.2824
2026-08-04,80.5,80.57,118893650,-4538350,1937,2026-08-25,80.0,6519100,75.0,6546900,0.7363,0.2688
2026-08-06,77.52,77.36,124905400,5497450,2459,2026-08-25,80.0,11856700,76.0,7790950,0.746,0.2818
2026-08-07,76.92,76.65,126517800,1612400,1173,2026-08-25,80.0,13364850,76.0,7770100,0.7149,0.2658
2026-08-11,76.95,76.26,127775750,1765300,1047,2026-08-25,80.0,14817400,76.0,7832650,0.6798,0.2788
2026-08-12,76.85,76.17,129624450,1848700,1494,2026-08-25,80.0,14935550,76.0,8034200,0.6864,0.277
2026-08-13,77.5,77.63,129527150,-97300,1611,2026-08-25,80.0,13545550,76.0,7943850,0.706,0.2468
2026-08-14,76.9,77.0,128887750,-639400,1275,2026-08-25,80.0,14907750,76.0,7832650,0.6504,0.2384
2026-08-19,76.17,76.01,127011250,-2147550,2644,2026-08-25,80.0,13309250,76.0,7964700,0.6593,0.2223
2026-08-27,76.55,74.94,130986650,1563750,1122,2026-09-29,80.0,8152350,74.0,7617200,1.0565,0.219
2026-09-02,75.65,76.09,132460050,-7499050,2006,2026-09-29,80.0,7290550,72.0,7575500,1.0173,0.2067
