Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,23123.0,23174.6,19581575,89765,75100,2026-06-09,24000.0,16166540,22500.0,10122710,0.6386,0.0
2026-06-09,23242.1,23331.1,19417060,-164515,58686,2026-06-09,23250.0,22372740,23200.0,24168560,0.8287,0.0
2026-06-10,23214.95,23240.1,19134310,-282750,53330,2026-06-16,24000.0,7357285,21200.0,8634470,0.8191,0.1595
2026-06-11,23161.6,23200.0,18778175,-356135,61460,2026-06-16,24000.0,9163440,21200.0,8710455,0.9193,0.1552
2026-06-12,23622.9,23686.6,18200000,-578175,110054,2026-06-16,24000.0,10501595,22500.0,13968175,1.7395,0.1646
2026-06-15,23853.9,23916.6,17817930,-382070,72076,2026-06-16,24000.0,18472935,23500.0,10364640,0.9463,0.0
2026-06-16,23989.15,24001.0,17180800,-637130,50265,2026-06-16,24000.0,39735410,23950.0,30768010,1.1374,0.0
2026-06-17,24085.7,24094.0,16807115,-373685,38564,2026-06-23,25000.0,7681180,24000.0,8136570,1.0717,0.1335
2026-06-18,24168.0,24192.5,16511170,-295945,44358,2026-06-23,24500.0,9636900,24000.0,9708205,1.1154,0.1112
2026-06-19,24013.1,24056.9,16483480,-27690,56868,2026-06-23,25000.0,11670750,23500.0,9523800,0.7763,0.1168
2026-06-22,24102.9,24123.8,16090685,-392795,32256,2026-06-23,24200.0,13347230,24000.0,13145535,0.8717,0.0
2026-06-23,23824.1,23852.5,15876575,-214110,57105,2026-06-23,23850.0,24620570,23800.0,24136060,0.5765,0.0
2026-06-24,24021.65,24051.8,13134745,-2741830,89318,2026-06-30,25000.0,12766865,24000.0,12100410,1.2089,0.1258
2026-06-25,24056.0,24102.3,9944155,-3190590,87672,2026-06-30,25000.0,12900835,24000.0,12543680,1.0249,0.1063
