Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,9755.5,9794.0,1103400,-14475,1822,2026-06-30,10500.0,68850,9000.0,39075,0.7473,0.5382
2026-06-09,9639.5,9704.5,1132275,28875,2884,2026-06-30,10500.0,80325,9000.0,46275,0.7084,0.3923
2026-06-10,9469.5,9509.5,1142850,10575,1889,2026-06-30,10500.0,82500,9500.0,60900,0.7356,0.4092
2026-06-11,9265.5,9317.0,1176975,34125,5205,2026-06-30,10000.0,81300,9000.0,69825,0.7343,0.373
2026-06-12,9327.0,9372.5,1168425,-8550,2309,2026-06-30,10500.0,79650,9000.0,67575,0.7024,0.3667
2026-06-15,9372.5,9422.5,1175625,7200,1040,2026-06-30,11000.0,90375,9000.0,63150,0.6778,0.3736
2026-06-16,9500.5,9549.0,1187100,11475,2075,2026-06-30,10000.0,82200,9000.0,59025,0.667,0.3731
2026-06-17,9444.0,9481.0,1175325,-11775,1595,2026-06-30,10000.0,92325,9000.0,59175,0.6446,0.3701
2026-06-18,9399.5,9435.5,1181475,6150,1355,2026-06-30,10000.0,91725,9000.0,63150,0.6498,0.3548
2026-06-19,9639.0,9649.0,1159650,-21825,3388,2026-06-30,10000.0,99375,9000.0,63675,0.6685,0.3475
2026-06-22,9731.5,9759.0,1157325,-2325,2762,2026-06-30,10000.0,89325,9000.0,60975,0.6798,0.3441
2026-06-23,9862.5,9888.0,1132725,-24600,3355,2026-06-30,10000.0,91500,9000.0,56925,0.6972,0.3417
2026-06-24,10468.5,10512.5,850800,-281925,11224,2026-06-30,11000.0,104625,9500.0,54675,0.8224,0.4142
2026-06-25,10974.5,10922.5,394500,-456300,12908,2026-06-30,11000.0,90225,10000.0,72150,0.9983,0.3333
2026-06-29,10874.0,10899.5,173775,-220725,6458,2026-06-30,11000.0,67650,10000.0,45525,0.987,0.0
2026-07-01,10863.0,10851.0,1354100,-1000,3631,2026-07-28,11000.0,88100,10000.0,50400,0.7198,0.3989
2026-07-02,10986.0,11042.0,1349700,-4400,3537,2026-07-28,11000.0,73700,11000.0,55000,0.734,0.3948
2026-07-03,11248.0,11292.0,1292200,-57500,2826,2026-07-28,11500.0,58200,11000.0,64200,0.9359,0.3789
