Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,419.95,420.8,29750400,-2409300,7809,2026-06-30,500.0,1686600,400.0,790200,0.795,0.3257
2026-06-09,422.05,423.1,29297700,-452700,1813,2026-06-30,500.0,1672200,400.0,683100,0.7674,0.2902
2026-06-10,419.6,420.15,28555200,-742500,3730,2026-06-30,500.0,1666800,510.0,553500,0.717,0.2876
2026-06-11,419.15,419.05,28586700,31500,6386,2026-06-30,500.0,1649700,510.0,553500,0.6755,0.2802
2026-06-12,425.55,426.45,27300600,-1286100,7700,2026-06-30,500.0,1615500,510.0,553500,0.6533,0.2687
2026-06-15,425.7,427.1,27097200,-203400,1913,2026-06-30,500.0,1596600,510.0,553500,0.6566,0.2659
2026-06-16,425.55,426.2,26879400,-217800,1703,2026-06-30,500.0,1563300,510.0,553500,0.6598,0.2604
2026-06-17,419.0,419.4,27342000,462600,3614,2026-06-30,500.0,1513800,510.0,553500,0.6183,0.2689
2026-06-18,424.3,424.7,25877700,-1464300,7307,2026-06-30,500.0,1412100,510.0,553500,0.6539,0.2715
2026-06-19,421.75,422.0,25668000,-209700,3575,2026-06-30,425.0,3402000,425.0,933300,0.568,0.3158
2026-06-22,418.25,419.7,25147800,-520200,2161,2026-06-30,425.0,1602000,425.0,574200,0.6185,0.2768
2026-06-23,414.65,414.15,24218100,-929700,2369,2026-06-30,425.0,1359000,510.0,553500,0.6,0.2676
2026-06-24,414.25,414.05,17610300,-6607800,10077,2026-06-30,425.0,1158300,510.0,553500,0.7201,0.2544
2026-06-25,412.55,411.1,12557700,-5052600,8056,2026-06-30,425.0,935100,510.0,553500,0.7368,0.2613
2026-06-29,412.6,411.65,3950100,-8607600,13071,2026-06-30,460.0,792900,445.0,445500,0.6626,0.0
2026-07-01,413.2,413.7,23318900,585875,2804,2026-07-28,420.0,533200,490.0,548250,1.0734,0.2871
2026-07-02,413.5,415.4,24584175,1265275,5774,2026-07-28,420.0,844950,420.0,591250,0.9132,0.2885
2026-07-03,414.0,414.7,24417550,-166625,1769,2026-07-28,420.0,1062100,420.0,624575,0.8296,0.2872
2026-07-06,415.5,417.55,24692750,275200,1573,2026-07-28,420.0,1100800,420.0,643925,0.7925,0.295
2026-07-07,414.5,414.45,24991600,298850,1353,2026-07-28,420.0,1091125,420.0,720250,0.8527,0.278
2026-07-13,408.9,409.65,25177575,258000,2161,2026-07-28,420.0,1166375,420.0,709500,0.7941,0.295
2026-07-15,347.95,347.9,29600125,4221525,50287,2026-07-28,340.0,2877775,350.0,4337625,0.7874,0.8184
2026-07-16,347.3,347.55,31250250,1650125,9247,2026-07-28,340.0,3450750,350.0,3830225,0.7659,0.631
2026-07-21,340.25,340.55,30711675,709500,5899,2026-07-28,350.0,2329525,350.0,3171250,0.7761,0.5046
2026-07-23,337.65,337.55,22241750,-8469925,11815,2026-07-28,350.0,2170425,350.0,2285450,0.7246,0.4022
2026-07-27,346.85,347.65,6501600,-6477950,8885,2026-07-28,350.0,1472750,350.0,956750,0.7176,0.0
