Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,267.35,265.35,30717300,571900,1041,2026-06-30,280.0,2023500,280.0,2084300,0.9704,0.2738
2026-06-09,268.8,268.0,30766700,49400,842,2026-06-30,280.0,2033000,280.0,2086200,1.0148,0.2599
2026-06-10,268.3,265.7,30827500,60800,946,2026-06-30,280.0,2152700,280.0,2027300,1.0174,0.253
2026-06-11,263.05,261.45,31047900,220400,1508,2026-06-30,280.0,1630200,280.0,2080500,1.1042,0.2462
2026-06-12,274.75,276.35,31747100,699200,2847,2026-06-30,280.0,1499100,280.0,2097600,1.0457,0.2601
2026-06-15,285.9,286.55,31749000,1900,4449,2026-06-30,290.0,1668200,280.0,2306600,0.9608,0.2588
2026-06-16,290.55,290.95,31906700,157700,3593,2026-06-30,290.0,1620700,280.0,1898100,0.9858,0.2555
2026-06-17,292.0,292.4,31389900,-516800,1732,2026-06-30,300.0,1326200,280.0,1770800,1.1173,0.2463
2026-06-18,288.25,289.5,31640700,250800,1278,2026-06-30,300.0,1183700,280.0,1706200,1.1242,0.2485
2026-06-19,288.7,289.2,31802200,161500,1457,2026-06-30,300.0,1295800,280.0,1708100,1.0913,0.246
2026-06-22,286.45,286.6,31942800,140600,3239,2026-06-30,300.0,1402200,280.0,1721400,1.0721,0.2566
2026-06-23,284.95,285.85,31515300,-427500,850,2026-06-30,290.0,1651100,280.0,1520000,1.1075,0.2487
2026-06-24,287.85,288.2,24107200,-7408100,4470,2026-06-30,300.0,1178000,285.0,1233100,1.0418,0.2208
2026-06-25,282.25,283.25,11818000,-12289200,8050,2026-06-30,300.0,1071600,280.0,931000,1.0651,0.2099
2026-06-29,281.25,281.9,5454900,-6363100,4530,2026-06-30,300.0,843600,285.0,849300,1.1548,0.0
2026-07-01,279.1,280.9,34543900,-9500,931,2026-07-28,290.0,1039300,280.0,851200,0.7449,0.2424
