Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,428.4,429.3,51139400,204100,4824,2026-06-30,450.0,2449200,420.0,1771900,0.6937,0.2861
2026-06-09,435.6,438.15,51363000,223600,4299,2026-06-30,450.0,2511600,420.0,1725100,0.6512,0.2752
2026-06-10,431.3,431.4,51344800,-18200,4221,2026-06-30,450.0,2574000,420.0,1757600,0.6188,0.2817
2026-06-11,413.55,412.7,51316200,-28600,7897,2026-06-30,440.0,2800200,420.0,1387100,0.532,0.3174
2026-06-12,421.05,422.15,51235600,-80600,6992,2026-06-30,450.0,2849600,420.0,1452100,0.5532,0.2859
2026-06-15,424.5,425.55,50607700,-627900,4363,2026-06-30,450.0,2756000,420.0,1506700,0.5689,0.2865
2026-06-16,427.5,428.15,49601500,-1006200,4419,2026-06-30,450.0,2719600,410.0,1658800,0.5786,0.2805
2026-06-17,431.75,433.3,48499100,-1102400,3230,2026-06-30,450.0,2687100,410.0,1634100,0.6062,0.2822
2026-06-18,429.3,428.9,48176700,-322400,5111,2026-06-30,450.0,2828800,410.0,1615900,0.5777,0.2826
2026-06-19,431.0,430.8,48783800,607100,3569,2026-06-30,450.0,2840500,410.0,1619800,0.5776,0.2735
2026-06-22,440.95,441.65,49452000,668200,8200,2026-06-30,450.0,2843100,410.0,1539200,0.6243,0.3023
2026-06-23,430.9,431.7,48896900,-555100,5331,2026-06-30,450.0,2883400,410.0,1415700,0.5667,0.2853
2026-06-24,437.1,438.25,35880000,-13016900,15453,2026-06-30,450.0,2668900,410.0,1393600,0.5848,0.2957
2026-06-25,432.65,433.1,24102000,-11778000,12245,2026-06-30,450.0,2568800,430.0,2386800,0.6685,0.356
2026-06-29,424.45,424.7,8899800,-15202200,14073,2026-06-30,450.0,1790100,410.0,1270100,0.6351,0.0
2026-07-01,430.75,432.65,51395500,87100,2592,2026-07-28,450.0,1705600,430.0,1172600,0.8177,0.2603
2026-07-02,430.05,431.25,51184900,-210600,3222,2026-07-28,450.0,1753700,410.0,1365000,0.811,0.2579
2026-07-03,425.8,426.65,51543700,358800,2997,2026-07-28,450.0,1890200,410.0,1540500,0.7527,0.2626
2026-07-06,421.1,423.2,51151100,-392600,3425,2026-07-28,450.0,2029300,410.0,1557400,0.7383,0.2726
2026-07-07,413.15,414.2,50908000,-243100,2426,2026-07-28,430.0,2375100,410.0,1671800,0.7014,0.276
2026-07-13,405.1,407.05,52984100,417300,2762,2026-07-28,430.0,2427100,400.0,1904500,0.6188,0.2852
2026-07-15,405.65,405.9,52079300,57200,3048,2026-07-28,430.0,2393300,400.0,1938300,0.5993,0.2913
2026-07-16,401.35,402.9,52594100,514800,1866,2026-07-28,430.0,2217800,400.0,2225600,0.5977,0.2806
2026-07-21,414.85,414.6,49351900,-850200,3472,2026-07-28,420.0,2483000,400.0,1257100,0.5204,0.2793
2026-07-23,410.05,410.1,42018600,-7155200,7778,2026-07-28,430.0,1713400,410.0,1045200,0.5506,0.2336
2026-07-27,420.1,420.1,16945500,-16669900,15508,2026-07-28,435.0,1530100,410.0,578500,0.5643,0.0
2026-07-29,427.1,424.6,47793200,1479400,5074,2026-08-25,440.0,1653600,400.0,1006200,0.6882,0.2727
2026-07-31,424.35,425.7,50857300,1380600,5546,2026-08-25,440.0,1734200,400.0,1064700,0.7455,0.2738
2026-08-03,421.39,419.3,53127100,2269800,4498,2026-08-25,440.0,1774500,400.0,1277900,0.7608,0.2953
2026-08-04,420.0,419.6,54744300,1617200,4909,2026-08-25,440.0,1770600,400.0,1453400,0.771,0.2946
2026-08-06,418.0,416.85,56386200,829400,3253,2026-08-25,430.0,1892800,400.0,1974700,0.7838,0.29
2026-08-07,420.0,418.55,57123300,737100,3040,2026-08-25,420.0,2346500,400.0,1903200,0.653,0.2802
