Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1741.5,1745.4,3889200,1750,1101,2026-06-30,1900.0,166600,1700.0,41300,0.5477,0.3044
2026-06-09,1754.1,1765.7,3898650,9450,838,2026-06-30,1900.0,166250,1700.0,41300,0.5113,0.2914
2026-06-10,1765.7,1769.8,3916500,17850,1845,2026-06-30,1900.0,194250,1800.0,49000,0.5973,0.2879
2026-06-11,1732.8,1740.5,3897250,-19250,534,2026-06-30,1900.0,219800,1800.0,45850,0.4878,0.2925
2026-06-12,1757.6,1767.9,3924550,27300,1002,2026-06-30,1900.0,219800,1800.0,45850,0.4545,0.2833
2026-06-15,1846.9,1852.5,4052650,128100,1573,2026-06-30,1900.0,207550,1760.0,163800,0.6734,0.2879
2026-06-16,1868.2,1871.8,3881150,-171500,2736,2026-06-30,1900.0,191450,1760.0,169050,0.7013,0.2543
2026-06-17,1869.1,1873.7,3874850,-6300,1649,2026-06-30,1960.0,243250,1800.0,166250,0.6483,0.2545
2026-06-18,1853.7,1862.8,3908800,33950,826,2026-06-30,1960.0,222950,1780.0,161000,0.6204,0.2416
2026-06-19,1881.1,1883.7,3878000,-30800,1542,2026-06-30,1960.0,249200,1780.0,159250,0.5753,0.2374
2026-06-22,1871.1,1875.4,3855950,-22050,1147,2026-06-30,1960.0,248850,1780.0,149100,0.5413,0.2549
2026-06-23,1851.6,1853.7,3843000,-12950,632,2026-06-30,1960.0,242550,1800.0,139650,0.4398,0.2518
2026-06-24,1912.3,1916.2,2817850,-1025150,4276,2026-06-30,1960.0,247450,1800.0,122150,0.5343,0.24
2026-06-25,1904.6,1904.7,1872150,-945700,3363,2026-06-30,1980.0,166250,1860.0,96250,0.533,0.1744
2026-06-29,1912.0,1914.1,662900,-1209250,4004,2026-06-30,1980.0,164500,1860.0,98000,0.62,0.0
2026-07-01,2018.5,2024.2,3965150,-19600,1625,2026-07-28,2000.0,116550,2020.0,70350,0.7622,0.3135
2026-07-02,2012.5,2020.0,3952550,-12600,786,2026-07-28,2000.0,93100,2020.0,66150,0.8163,0.3105
2026-07-03,2047.6,2057.0,3973200,20650,1746,2026-07-28,2000.0,63700,2020.0,61950,0.8893,0.9062
2026-07-06,2105.8,2106.6,3769850,-203350,4112,2026-07-28,2100.0,86450,2020.0,63350,0.7377,0.3106
2026-07-07,2075.1,2074.1,3674300,-95550,3116,2026-07-28,2100.0,124600,2020.0,69300,0.7112,0.3187
2026-07-13,2154.0,2155.8,3627750,-71050,2555,2026-07-28,2100.0,88550,2100.0,89950,0.845,0.3372
2026-07-15,2132.6,2137.6,3383100,-71050,573,2026-07-28,2300.0,285600,1900.0,71050,0.5448,0.3174
2026-07-16,2086.3,2094.2,3367350,-15750,1446,2026-07-28,2300.0,252700,1900.0,68600,0.545,0.3334
2026-07-21,2091.2,2092.1,3272850,-31150,889,2026-07-28,2300.0,179900,1900.0,70000,0.5361,0.3317
2026-07-23,2035.6,2041.2,2276750,-840700,3002,2026-07-28,2300.0,149450,1960.0,86450,0.5927,0.2603
2026-07-27,2036.6,2033.4,280000,-696500,2799,2026-07-28,2300.0,91000,2000.0,57750,0.6644,0.0
2026-07-29,1910.5,1912.4,3565800,213500,6466,2026-08-25,2100.0,251300,1900.0,194250,0.6437,0.2967
2026-07-31,1893.3,1903.3,3676750,148400,1287,2026-08-25,2100.0,224350,1900.0,180600,0.6782,0.2765
2026-08-03,1955.0,1924.2,3707900,31150,930,2026-08-25,2100.0,212800,1900.0,164850,0.7098,0.2933
2026-08-04,1932.3,1946.2,3611650,-96250,1540,2026-08-25,2000.0,188650,1900.0,136150,0.5888,0.2666
2026-08-06,1913.01,1923.7,3651550,1750,724,2026-08-25,2100.0,186900,1900.0,139650,0.5854,0.2645
2026-08-07,1895.5,1908.1,3690050,38500,642,2026-08-25,2100.0,183400,1900.0,152950,0.5769,0.2608
2026-08-11,1908.71,1912.1,3679200,-45150,413,2026-08-25,2200.0,202650,1900.0,140700,0.5421,0.2648
